CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,66,0ms,0,0,10,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.83ms,0.90ms,0.00ms,15.13ms,1(DR73,0.20,0.13(W0.25),1.00,17.35/20.07,19.24,1,1.23,0,0,-2208943985.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,64,0ms,0,0,16,1/0/1/11,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,0.51ms,0.00ms,15.39ms,1(DR73,0.19,0.06(W0.14),1.00,17.37/20.21,19.28,1,1.23,0,0,-2208943984.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,67,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.83ms,0.57ms,0.00ms,14.94ms,1(DR73,0.20,0.05(W0.10),1.00,17.27/20.07,19.29,1,1.23,0,0,-2208943983.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
4,4,1382,525,69,0ms,0,0,8,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.83ms,1.09ms,0.00ms,14.51ms,1(DR73,0.20,0.19(W0.33),1.00,17.32/20.08,19.22,1,1.23,0,0,-2208943982.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
4,4,1478,525,71,0ms,0,0,7,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,0.70ms,0.00ms,14.27ms,1(DR72,0.20,0.11(W0.14),1.00,17.26/20.33,19.25,1,1.23,0,0,-2208943981.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,68,0ms,0,0,9,0/1/0/8,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,0.60ms,0.00ms,14.70ms,1(DR73,0.20,0.02(W0.05),1.00,17.27/19.98,19.14,1,1.23,0,0,-2208943980.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,0.57ms,0.00ms,13.86ms,1(DR73,0.20,0.09(W0.17),1.00,17.20/19.91,19.08,1,1.23,0,0,-2208943979.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,65,0ms,0,0,15,0/0/1/11,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,1.03ms,0.00ms,15.49ms,1(DR73,0.19,0.14(W0.21),1.00,17.19/20.18,19.25,1,1.23,0,0,-2208943978.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,61,0ms,0,0,21,0/3/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.83ms,1.02ms,0.00ms,17.00ms,1(DR73,0.20,0.13(W0.18),1.00,17.28/20.03,19.24,1,1.23,0,0,-2208943977.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,72,0ms,0,0,10,0/1/0/9,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.84ms,0.39ms,0.00ms,13.86ms,1(DR73,0.20,0.07(W0.10),1.00,17.25/20.01,19.15,1,1.23,0,0,-2208943976.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,72,0ms,0,0,11,0/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.83ms,0.71ms,0.00ms,13.86ms,1(DR73,0.20,0.11(W0.17),1.00,17.20/20.23,19.29,1,1.23,0,0,-2208943975.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
3,4,1382,525,66,0ms,0,0,4,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8109,0,22.5C/0.0C,1.85ms,1.38ms,0.00ms,15.13ms,1(DR73,0.20,0.05(W0.09),1.00,17.14/20.19,19.28,1,1.23,0,0,-2208943974.937,True,True,999999,0,BeatSaber,PopStars-Medium,stationary_boundary_redo0.3,False,False,ogcat_VrApi.log
