timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 2:09:59 AM,287602240.0,525000000.0,23.091,193.779,40.49,1.339,27.599,28.866,6.216,4.904,1535126528.0,1106075648.0,1268691072.0,120842728.0,1469142.875,80.442,13.984,37.45,40.816,20.385,77.075,90.79,0.0,0.0,1.353,4658775.0,355844480.0,0.716,25.939,72.623,3.759,98.647,1419378432.0,55762796544.0,22204125184.0,59916517376.0,3600412416.0,0.33,2.206,0.571,33.799,2.333,4979613.0,21.37,0.82,0.936,10231561.0,367.184,10.292,89.709,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:00 AM,284383104.0,525000000.0,21.784,213.946,112.453,1.335,26.754,28.638,7.486,4.462,1560624384.0,987383168.0,1289981696.0,117892864.0,4877082.5,79.71,13.781,37.968,41.331,20.345,76.415,90.117,0.0,0.0,1.348,4669864.0,356692416.0,0.717,25.245,72.625,3.757,98.652,1491732224.0,56689668096.0,23080413184.0,60006404096.0,3606054144.0,0.321,2.149,0.617,32.847,2.231,4987598.0,21.304,0.758,0.936,10243921.0,385.206,10.066,89.936,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:01 AM,273620672.0,525000000.0,26.158,174.16,34.443,1.368,27.382,28.619,7.454,6.032,1717928832.0,993406272.0,1466288640.0,111317408.0,312094.469,81.502,14.716,38.073,41.437,20.357,78.113,90.647,0.0,0.0,1.389,4452571.0,343520672.0,0.722,25.001,73.282,3.869,98.611,1406657408.0,53224939520.0,21664739328.0,56346664960.0,3386869760.0,0.32,2.151,0.624,32.746,2.225,4750384.5,22.338,0.788,0.937,9750444.0,386.488,10.667,89.316,0.001,0.023,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:02 AM,279388640.0,525000000.0,24.037,208.965,94.235,1.376,26.556,28.953,6.677,4.974,1736223872.0,964007488.0,1463437696.0,118652376.0,4868038.0,79.938,13.373,38.916,42.396,21.083,76.503,90.428,0.0,0.0,1.383,4665262.5,356321120.0,0.716,25.433,72.619,3.759,98.617,1423199360.0,56147726336.0,22260420608.0,60556460032.0,3609076480.0,0.333,2.231,0.572,33.955,2.332,4986521.0,21.333,0.731,0.936,10245402.0,367.657,11.428,88.573,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:03 AM,286814432.0,525000000.0,25.941,189.151,25.698,1.339,28.088,28.758,7.291,6.138,1817876864.0,1042831936.0,1544994688.0,113920600.0,338958.406,81.999,14.786,37.951,41.319,19.866,78.701,90.898,0.0,0.0,1.316,4514335.0,348601280.0,0.73,25.235,73.377,3.844,98.684,1486344960.0,57178329088.0,22969794560.0,61292802048.0,3562135040.0,0.327,2.239,0.625,33.344,2.215,4841416.5,21.929,0.715,0.932,9914682.0,398.998,14.551,85.425,0.001,0.031,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:04 AM,265381952.0,525000000.0,25.836,183.591,28.774,1.339,27.564,28.82,7.093,5.727,1749822336.0,1002750016.0,1484409088.0,111937016.0,328995.812,81.34,14.011,38.287,41.701,20.141,77.97,90.676,0.0,0.0,1.359,4440252.5,342549504.0,0.722,25.21,73.278,3.869,98.641,1399939072.0,54227255296.0,21625137152.0,58408656896.0,3397789184.0,0.329,2.263,0.619,33.547,2.243,4737184.5,22.369,0.638,0.937,9723081.0,386.167,15.24,84.743,0.001,0.021,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:05 AM,285174240.0,525000000.0,25.219,199.187,57.237,1.341,27.77,28.952,6.5,5.69,1774374656.0,1021956480.0,1494815744.0,119514152.0,356943.219,81.074,14.39,37.955,41.39,20.298,77.667,90.585,0.0,0.0,1.444,4841162.0,376821888.0,0.724,24.687,73.846,3.991,98.556,1417412352.0,56097153024.0,22019981312.0,60990881792.0,3581732352.0,0.334,2.293,0.583,34.065,2.323,5147900.0,23.527,0.785,0.94,10553528.0,364.693,14.902,85.099,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:06 AM,265250816.0,525000000.0,25.958,223.869,150.097,1.34,25.906,28.826,8.445,4.391,1747431680.0,1283606656.0,1484164096.0,105135144.0,8264173.0,77.115,13.08,38.621,42.1,20.866,73.909,88.838,0.0,0.0,1.489,4657850.5,366454816.0,0.734,22.572,74.584,4.091,98.511,1377591296.0,53324484608.0,21287659520.0,57184301056.0,3444673280.0,0.326,2.208,0.594,33.315,2.301,4961029.0,24.406,0.701,0.939,10151539.0,372.764,11.938,88.04,0.002,0.029,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:07 AM,274576448.0,525000000.0,28.895,203.778,52.906,1.346,27.446,28.838,7.381,5.691,1900270848.0,1413215488.0,1640314752.0,112932560.0,4854085.5,79.045,14.61,37.546,40.913,20.358,75.799,90.132,0.0,0.0,1.396,4615248.0,352303424.0,0.711,24.469,72.559,3.776,98.604,1386912128.0,53997211648.0,21601232896.0,57839308800.0,3476325888.0,0.328,2.196,0.584,33.523,2.307,4910229.0,21.63,0.736,0.94,10112476.0,365.3,10.583,89.447,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
12/7/2023 2:10:08 AM,273191936.0,525000000.0,27.643,238.852,238.587,1.321,25.703,28.727,7.934,4.806,2000811264.0,1413629824.0,1717976448.0,116145016.0,11663610.0,77.141,13.261,38.499,41.924,20.818,73.942,89.939,0.0,0.0,1.463,4874248.0,379527264.0,0.729,23.828,73.888,3.975,98.537,1482330368.0,56569028608.0,22871203840.0,60103118848.0,3646268416.0,0.323,2.156,0.606,32.915,2.268,5189253.5,23.321,0.739,0.939,10643951.0,377.613,10.099,89.885,0.002,0.021,Quest-2,BeatSaber,PopStars-Easy,False,True,0.2
