Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1656249,3709,6.143027541
1.002,-1690917,3709,6.271611153
2.006,-1723631,3709,6.392947379000001
3.01,-1670897,3709,6.197356973
4.012,-1658690,3709,6.15208121
5.02,-1669432,3709,6.191923288
6.022,-1772948,3709,6.575864132
7.025,-1679686,3709,6.229955374
8.027,-1604003,3709,5.949247127
9.029,-1559081,3709,5.782631429
10.032,-1535643,3716,5.706449388
11.035,-1591796,3716,5.915113936
12.038,-1530760,3716,5.6883041599999995
13.041,-1541014,3716,5.7264080239999995
14.044,-1753417,3716,6.5156975720000005
15.056,-1682128,3716,6.250787647999999
16.059,-1827147,3716,6.789678252
17.062,-1617674,3716,6.011276584000001
18.064,-1769530,3716,6.57557348
19.067,-1752928,3716,6.513880448
20.07,-1727049,3703,6.395262447
21.073,-1825194,3703,6.758693382
22.076,-1733397,3703,6.418769090999999
23.078,-1738280,3703,6.43685084
24.082,-1731932,3703,6.413344196
25.085,-1853026,3703,6.8617552779999995
26.087,-1748045,3703,6.473010635
27.091,-1738280,3703,6.43685084
28.096,-1743163,3703,6.454932589
29.098,-1748534,3703,6.474821402
30.1,-1563964,3700,5.7866668
31.102,-1750487,3700,6.476801900000001
32.104,-1798827,3700,6.6556599
33.108,-1753905,3700,6.489448500000001
34.11,-1773436,3698,6.5581663279999995
35.115,-1797850,3698,6.648449299999999
36.119,-1750975,3698,6.475105549999999
37.122,-1780760,3698,6.585250479999999
38.124,-1745604,3698,6.4552435919999995
39.127,-1779784,3698,6.581641232
40.13,-1760741,3697,6.509459477
41.134,-1725096,3697,6.377679912
42.136,-1744628,3697,6.4498897159999995
43.138,-1681639,3697,6.217019382999999
44.141,-1746092,3697,6.455302124000001
45.146,-1743651,3697,6.446277747000001
46.149,-1754393,3697,6.485990921000001
47.152,-1779784,3697,6.579861448
48.154,-1773924,3697,6.558197028
49.158,-1765624,3697,6.527511928
50.16,-1784178,3696,6.5943218880000005
51.163,-1792967,3696,6.626806032000001
52.165,-1772948,3696,6.552815808000001
53.167,-1756835,3696,6.4932621600000004
54.172,-1765135,3696,6.52393896
55.175,-1698241,3696,6.276698736
56.177,-1730467,3696,6.395806032000001
57.179,-1723143,3696,6.368736528
58.182,-1737303,3696,6.421071888
59.184,-1764159,3696,6.520331664
60.186,-1761229,3696,6.509502384
61.189,-1758299,3696,6.498673104000001
62.191,-1758299,3696,6.498673104000001
63.194,-1752928,3696,6.478821888000001
64.197,-1771483,3696,6.547401168
65.201,-1793456,3696,6.628613376
66.203,-1797362,3696,6.643049952000001
67.205,-1795409,3696,6.635831664
68.208,-1801268,3693,6.6520827240000004
69.212,-1743651,3693,6.439303143
70.215,-1760741,3696,6.507698736
71.217,-1747557,3696,6.458970672
72.221,-1754393,3696,6.484236528
73.223,-1787596,3696,6.606954816
74.225,-1759276,3696,6.502284096
75.227,-1771483,3696,6.547401168
76.229,-1765135,3696,6.52393896
77.232,-1784667,3696,6.596129232
78.234,-1769042,3696,6.5383792320000005
79.238,-1781737,3696,6.585299952000001
80.24,-1792967,3693,6.621427131000001
81.243,-1739745,3693,6.424878284999999
82.247,-1784667,3693,6.590775231
83.249,-1710448,3693,6.316684464000001
84.252,-1764159,3693,6.515039187
85.255,-1774901,3693,6.554709393
86.258,-1802733,3693,6.657492969
87.26,-1759276,3693,6.497006268000001
88.263,-1775389,3693,6.556511576999999
89.265,-1760741,3693,6.502416513
90.267,-1783690,3692,6.58538348
91.27,-1770995,3692,6.538513539999999
92.272,-1775389,3692,6.554736188
93.275,-1772460,3692,6.543922320000001
94.277,-1800292,3692,6.6466780640000005
95.28,-1818846,3692,6.715179432
96.283,-1788085,3692,6.601609820000001
97.285,-1778807,3692,6.567355444
98.287,-1788085,3692,6.601609820000001
99.29,-1755370,3692,6.48082604
100.295,-1784667,3692,6.588990564
101.297,-1788085,3692,6.601609820000001
102.299,-1814940,3692,6.70075848
103.302,-1721190,3695,6.35979705
104.304,-1879881,3695,6.946160295
105.306,-1753905,3695,6.480678975
106.308,-1772460,3695,6.5492397
