CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2786,0,45.2C/0.0C,3.43ms,0.94ms,0.27ms,13.80ms,2(DR0,0.35,0.14(W0.20),1.00,15.54/21.29,19.19,0,1.21,0,0,15:52:16.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2786,0,45.2C/0.0C,3.44ms,0.93ms,0.27ms,13.87ms,2(DR0,0.36,0.22(W0.25),1.00,15.59/21.68,19.13,0,1.21,0,0,15:52:17.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2786,0,45.2C/0.0C,3.42ms,0.96ms,0.27ms,13.87ms,2(DR0,0.36,0.11(W0.19),1.00,15.53/21.20,19.10,0,1.21,0,0,15:52:18.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,5,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,2786,0,45.2C/0.0C,3.43ms,0.91ms,0.27ms,13.90ms,2(DR0,0.36,0.11(W0.23),1.00,15.61/21.16,19.14,0,1.21,0,0,15:52:19.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2786,0,45.2C/0.0C,3.45ms,0.96ms,0.27ms,13.45ms,2(DR0,0.36,0.16(W0.17),1.00,15.49/21.65,19.15,0,1.21,0,0,15:52:20.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2809,0,45.2C/0.0C,3.44ms,0.98ms,0.27ms,13.10ms,2(DR0,0.36,0.13(W0.14),1.00,15.48/21.30,19.12,0,1.21,0,0,15:52:21.106,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2809,0,45.2C/0.0C,3.42ms,1.01ms,0.27ms,13.10ms,2(DR0,0.36,0.24(W0.27),1.00,15.51/21.23,19.14,0,1.21,0,0,15:52:22.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2809,0,45.2C/0.0C,3.04ms,0.91ms,0.20ms,13.12ms,2(DR0,0.32,0.14(W0.18),1.00,15.51/21.23,19.14,0,1.21,0,0,15:52:23.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,2809,0,45.2C/0.0C,1.69ms,0.89ms,0.00ms,13.48ms,1(DR6,0.20,0.11(W0.14),1.00,15.58/24.89,20.44,0,1.21,0,0,15:52:24.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
5,4,1478,525,72,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2809,0,45.2C/0.0C,1.73ms,0.81ms,0.00ms,13.94ms,1(DR72,0.20,0.18(W0.19),1.00,17.53/25.42,22.72,0,1.21,0,0,15:52:25.099,old_experiments,Quest-2,BeatSaber-W,record0,Quest-2,PopStars-Hard
