timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701906232923.7148,0,0,0,0,0,0,0,0,55266647554,13369406889,19512458,24451222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716670,61036051968,869204,26267185152,193,342528,0,0,883.65625,373472.0,757.734375,12008.78125,23550.078125,36.1,4701.0,0.0,4701.0,1710761232,1153299116,0,1426034660
1701906233926.8647,0,0,0,0,0,0,0,0,55277617089,13370185345,19514597,24454626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716675,61036363264,869238,26267643904,193,342528,0,0,883.734375,373482.09375,757.796875,12009.484375,23551.28125,16.9,4701.0,0.0,4701.0,1710820993,1153351942,0,1426213512
1701906234924.4556,0,0,0,0,0,0,0,0,55288631732,13370963554,19516712,24458051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716675,61036363264,869247,26268065792,193,342528,0,0,883.765625,373492.6875,757.828125,12009.6875,23552.484375,12.2,4701.0,0.0,4701.0,1710874542,1153401910,0,1426365221
1701906235917.7512,0,0,0,0,0,0,0,0,55299976800,13371733218,19518824,24461442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716684,61036625408,869288,26268692480,193,342528,0,0,883.8125,373503.1875,757.875,12010.0625,23553.421875,11.8,4701.0,0.0,4701.0,1710927678,1153451533,0,1426524548
1701906236923.6558,0,0,0,0,0,0,0,0,55311221914,13372515203,19520873,24464824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716686,61036658176,869337,26269286400,193,342528,0,0,883.859375,373513.625,757.875,12010.421875,23554.8125,14.7,4701.0,0.0,4701.0,1710982874,1153538490,0,1426690782
1701906237921.806,0,0,0,0,0,0,0,0,55322399225,13373344622,19523075,24468325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716689,61036822016,869399,26270023680,193,342528,0,0,883.890625,373523.3125,757.90625,12011.03125,23556.5,19.6,4701.0,0.0,4701.0,1711056499,1153611028,0,1426972271
1701906238922.646,0,0,0,0,0,0,0,0,55332661646,13374171754,19525846,24472266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716690,61036953088,869399,26270023680,193,342528,0,0,883.9375,373534.03125,757.921875,12011.265625,23557.5625,11.3,4701.0,0.0,4701.0,1711125737,1153670499,0,1427163759
1701906239915.9836,0,0,0,0,0,0,0,0,55342597955,13374981059,19528582,24476073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716690,61036953088,869447,26270461952,193,342528,0,0,883.953125,373544.203125,757.953125,12011.59375,23558.875,14.2,4701.0,0.0,4701.0,1711190346,1153728018,0,1427348650
1701906240923.2173,0,0,0,0,0,0,0,0,55353038896,13375809832,19531323,24479956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716691,61037084160,869479,26270695424,193,342528,0,0,884.0,373555.125,757.96875,12011.890625,23559.84375,10.8,4701.0,0.0,4701.0,1711256967,1153784556,0,1427564042
1701906241920.9521,0,0,0,0,0,0,0,0,55363431538,13376621178,19533993,24483742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716698,61037198848,869524,26271145984,193,342528,0,0,884.09375,373565.125,758.015625,12012.5,23561.234375,17.6,4701.0,0.0,4701.0,1711328148,1153855513,0,1427753658
1701906242914.4753,0,0,0,0,0,0,0,0,55374474012,13377426168,19536574,24487510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716699,61037329920,869541,26271338496,193,342528,0,0,884.140625,373575.28125,758.03125,12012.890625,23562.5,14.5,4701.0,0.0,4701.0,1711392923,1153913221,0,1427953236
1701906243919.642,0,0,0,0,0,0,0,0,55385801437,13378254034,19539286,24491442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716701,61037477376,869572,26271764480,193,342528,0,0,884.234375,373585.578125,758.046875,12013.375,23563.71875,15.0,4701.0,0.0,4701.0,1711465639,1153972589,0,1428172574
1701906244916.0896,0,0,0,0,0,0,0,0,55397059556,13379071123,19541974,24495285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716702,61037493760,869596,26272100352,193,342528,0,0,884.296875,373596.28125,758.0625,12013.671875,23564.71875,11.4,4701.0,0.0,4701.0,1711528668,1154027254,0,1428348909
1701906245920.9255,0,0,0,0,0,0,0,0,55407719726,13379882192,19544629,24499051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716704,61037772288,869619,26272575488,193,342528,0,0,884.3125,373606.84375,758.09375,12014.03125,23565.9375,13.3,4701.0,0.0,4701.0,1711596197,1154085813,0,1428539099
1701906246924.6143,0,0,0,0,0,0,0,0,55418241164,13380710982,19547345,24502930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716705,61037903360,869619,26272575488,193,342528,0,0,884.375,373617.4375,758.140625,12014.46875,23566.953125,12.9,4701.0,0.0,4701.0,1711666700,1154144779,0,1428770940
1701906247920.9426,0,0,0,0,0,0,0,0,55429293107,13381529027,19550024,24506790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716713,61038116352,869653,26273042432,193,342528,0,0,884.453125,373627.046875,758.1875,12014.84375,23568.96875,20.7,4701.0,0.0,4701.0,1711737934,1154204262,0,1428970716
1701906248918.1875,0,0,0,0,0,0,0,0,55440269232,13382334588,19552703,24510572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716716,61038329344,869683,26273402880,193,342528,0,0,884.46875,373636.6875,758.21875,12015.40625,23570.578125,18.7,4701.0,0.0,4701.0,1711805102,1154260651,0,1429157083
1701906249913.8674,0,0,0,0,0,0,0,0,55451426299,13383157140,19555388,24514427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716717,61038460416,869684,26273406976,193,342528,0,0,884.625,373647.1875,758.234375,12015.8125,23571.671875,13.7,4701.0,0.0,4701.0,1711871920,1154317233,0,1429378226
1701906250913.58,0,0,0,0,0,0,0,0,55462684989,13383978192,19558083,24518284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716720,61038673408,869739,26274197504,193,342528,0,0,884.6875,373658.109375,758.234375,12016.140625,23572.421875,9.5,4701.0,0.0,4701.0,1711936368,1154372170,0,1429560366
1701906251923.5254,0,0,0,0,0,0,0,0,55473914739,13384797340,19560762,24522138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716734,61050449408,869785,26274709504,193,342528,0,0,884.6875,373668.953125,758.25,12016.421875,23573.484375,11.1,4701.0,0.0,4701.0,1712003030,1154429144,0,1429741487
1701906252912.5671,0,0,0,0,0,0,0,0,55478490380,13385589135,19563334,24525461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464553,25013885,59643,114753,0,0,0,0,1716750,61050653184,869832,26275291136,193,342528,0,0,884.71875,373679.46875,758.28125,12016.6875,23574.515625,11.4,4701.0,0.0,4701.0,1712072034,1154483917,0,1429979906
