CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,5,2/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,3.32ms,0.83ms,0.27ms,13.79ms,2(DR0,0.34,0.14(W0.22),1.00,15.37/21.50,19.21,0,1.21,0,0,15:46:26.074,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.34ms,0.77ms,0.27ms,13.40ms,2(DR0,0.34,0.12(W0.19),1.00,15.58/21.83,19.30,0,1.21,0,0,15:46:27.074,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.38ms,0.93ms,0.27ms,13.62ms,2(DR0,0.35,0.18(W0.22),1.00,15.65/21.63,19.31,0,1.21,0,0,15:46:28.074,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.39ms,0.90ms,0.27ms,13.87ms,2(DR0,0.35,0.17(W0.19),1.00,15.83/21.33,19.20,0,1.21,0,0,15:46:29.074,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.41ms,0.89ms,0.27ms,13.87ms,2(DR0,0.35,0.13(W0.15),1.00,15.66/21.58,19.17,0,1.21,0,0,15:46:30.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2792,0,44.5C/0.0C,3.39ms,0.88ms,0.28ms,13.90ms,2(DR0,0.34,0.15(W0.26),1.00,15.72/21.48,19.16,0,1.21,0,0,15:46:31.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,4,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,3.33ms,0.99ms,0.29ms,13.87ms,2(DR0,0.35,0.19(W0.27),1.00,15.49/21.33,19.08,0,1.21,0,0,15:46:32.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.38ms,0.88ms,0.29ms,13.97ms,2(DR0,0.35,0.20(W0.24),1.00,15.73/21.46,19.28,0,1.21,0,0,15:46:33.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,1.74ms,0.86ms,0.00ms,13.89ms,1(DR56,0.20,0.22(W0.27),1.00,14.77/21.38,18.78,0,1.21,0,0,15:46:34.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,3.22ms,0.87ms,0.27ms,13.87ms,2(DR33,0.33,0.17(W0.22),1.00,14.95/21.11,18.94,0,1.21,0,0,15:46:35.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.73ms,0.83ms,0.00ms,13.88ms,1(DR59,0.20,0.16(W0.18),1.00,14.64/21.21,18.71,0,1.21,0,0,15:46:36.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.71ms,0.88ms,0.00ms,13.88ms,1(DR73,0.20,0.16(W0.23),1.00,14.44/20.61,18.26,0,1.21,0,0,15:46:37.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,71,0ms,0,0,7,0/1/0/7,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.78ms,0.85ms,0.00ms,14.26ms,1(DR73,0.21,0.25(W0.29),1.00,14.95/20.71,18.57,0,1.21,0,0,15:46:38.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.99ms,1.06ms,0.00ms,13.13ms,1(DR73,0.24,0.29(W0.36),1.00,15.12/20.84,18.68,0,1.21,0,0,15:46:39.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,2.03ms,1.17ms,0.00ms,13.42ms,1(DR73,0.25,0.09(W0.15),1.00,15.18/21.09,18.78,0,1.21,0,0,15:46:40.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,2.04ms,1.12ms,0.00ms,13.87ms,1(DR73,0.25,0.19(W0.20),1.00,15.35/20.75,18.64,0,1.21,0,0,15:46:41.082,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,1.92ms,0.88ms,0.00ms,13.87ms,1(DR73,0.22,0.23(W0.26),1.00,15.19/20.93,18.51,0,1.21,0,0,15:46:42.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2792,0,44.5C/0.0C,1.83ms,0.87ms,0.00ms,13.89ms,1(DR73,0.22,0.27(W0.27),1.00,14.85/20.91,18.53,0,1.21,0,0,15:46:43.075,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,2.01ms,1.04ms,0.00ms,13.86ms,1(DR73,0.23,0.25(W0.29),1.00,14.87/20.64,18.43,0,1.21,0,0,15:46:44.076,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.95ms,0.92ms,0.00ms,13.88ms,1(DR73,0.23,0.19(W0.27),1.00,14.97/20.62,18.49,0,1.21,0,0,15:46:45.076,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2792,0,44.5C/0.0C,1.98ms,1.06ms,0.00ms,13.86ms,1(DR73,0.24,0.07(W0.11),1.00,15.36/20.60,18.69,0,1.21,0,0,15:46:46.076,True,True,999999,0,Quest-2,BeatSaber,PopStars-Medium,True,True,0
