CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,2802,0,38.0C/0.0C,3.46ms,0.91ms,0.28ms,13.90ms,2(DR0,0.35,0.14(W0.26),1.00,15.87/21.34,19.35,0,1.21,0,0,18:05:18.016,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2802,0,38.0C/0.0C,3.40ms,0.83ms,0.27ms,13.90ms,2(DR0,0.35,0.16(W0.18),1.00,15.83/22.48,19.53,0,1.21,0,0,18:05:19.016,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.0C/0.0C,3.38ms,0.82ms,0.27ms,13.90ms,2(DR0,0.35,0.14(W0.19),1.00,15.89/21.68,19.52,0,1.21,0,0,18:05:20.016,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.0C/0.0C,3.37ms,0.86ms,0.27ms,13.90ms,2(DR0,0.35,0.23(W0.29),1.00,15.79/21.79,19.46,0,1.21,0,0,18:05:21.016,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2802,0,38.0C/0.0C,3.39ms,0.84ms,0.27ms,13.90ms,2(DR0,0.35,0.07(W0.10),1.00,16.00/21.41,19.31,0,1.21,0,0,18:05:22.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.0C/0.0C,3.41ms,0.93ms,0.29ms,13.90ms,2(DR0,0.35,0.12(W0.15),1.00,15.99/21.29,19.35,0,1.21,0,0,18:05:23.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.0C/0.0C,3.37ms,0.87ms,0.27ms,13.90ms,2(DR0,0.35,0.13(W0.19),1.00,16.01/21.40,19.41,0,1.21,0,0,18:05:24.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.2C/0.0C,2.73ms,0.61ms,0.20ms,13.90ms,2(DR0,0.27,0.17(W0.26),1.00,15.82/21.60,19.30,0,1.21,0,0,18:05:25.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,6,2/0/0/3,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.2C/0.0C,1.82ms,0.78ms,0.00ms,13.87ms,1(DR54,0.21,0.07(W0.14),1.00,15.95/25.63,23.43,0,1.21,0,0,18:05:26.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
5,4,1478,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2802,0,38.2C/0.0C,1.70ms,0.88ms,0.00ms,13.92ms,1(DR72,0.20,0.20(W0.29),1.00,16.70/23.64,20.97,0,1.21,0,0,18:05:27.017,Quest-2,BeatSaber,PopStars-Medium,True,True,1
