timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 1:03:19 AM,222659168.0,525000000.0,27.702,119.442,2.427,1.459,29.838,29.475,7.135,5.583,1364022784.0,1081559168.0,1173536256.0,103110016.0,214040.141,78.619,15.257,34.488,37.657,24.169,73.539,89.398,0.0,0.0,0.92,3028721.75,178253360.0,0.591,34.044,57.563,1.291,99.08,1300766720.0,38867726336.0,16958568448.0,37684039680.0,3067136512.0,0.304,1.658,0.596,25.587,2.192,3348557.75,1.058,1.085,0.904,6963680.0,398.054,0.001,99.973,0.001,0.035,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:20 AM,223578432.0,525000000.0,31.329,119.455,68.829,1.48,30.146,29.294,8.045,7.292,1700135808.0,977607360.0,1502744192.0,103043520.0,2461729.75,80.108,16.096,35.074,38.239,24.172,74.984,89.264,0.0,0.0,0.903,3052434.75,180028912.0,0.597,33.758,57.684,1.295,99.097,1384811648.0,40536776704.0,18015326208.0,38738923520.0,3151985408.0,0.299,1.635,0.627,25.139,2.12,3391995.75,0.92,1.086,0.9,7030079.0,417.896,0.001,99.965,0.001,0.043,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:21 AM,226206576.0,525000000.0,30.72,119.413,35.632,1.477,29.841,29.364,8.0,6.981,1615159936.0,976655616.0,1421717376.0,101655232.0,2460864.5,78.909,15.839,35.118,38.315,24.38,73.804,89.222,0.0,0.0,0.925,3028017.0,178210560.0,0.591,33.572,57.562,1.291,99.075,1328807808.0,39198887936.0,17295163392.0,37674704896.0,3066371840.0,0.3,1.644,0.616,25.316,2.148,3347755.5,1.058,1.108,0.904,6961991.0,406.68,0.001,99.973,0.001,0.035,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:22 AM,221185200.0,525000000.0,30.158,104.574,2.363,1.503,31.115,29.537,7.503,7.005,1558080896.0,901224192.0,1371439360.0,101544232.0,187397.422,80.792,16.618,34.86,38.078,24.496,75.525,88.986,0.0,0.0,0.934,3028197.5,178134368.0,0.592,33.533,57.533,1.292,99.066,1292042496.0,38793756672.0,16871548928.0,37706493952.0,3068961024.0,0.305,1.664,0.589,25.658,2.204,3346103.75,0.928,0.945,0.905,6963473.5,395.516,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:23 AM,217065104.0,525000000.0,29.674,109.52,2.389,1.523,30.769,29.598,7.554,6.861,1553330560.0,889984000.0,1361020928.0,105730088.0,196259.016,80.335,16.207,35.277,38.546,24.891,75.033,88.678,0.0,0.0,0.966,3177012.5,185517456.0,0.578,33.28,57.108,1.285,99.034,1304188672.0,39368036352.0,17054792704.0,38372380672.0,3127054080.0,0.307,1.671,0.583,25.755,2.222,3487759.25,0.891,1.057,0.911,7286335.0,382.473,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:24 AM,225760688.0,525000000.0,30.219,109.535,2.317,1.525,30.979,29.665,6.741,6.8,1684540672.0,950216256.0,1484274048.0,110473600.0,196287.625,80.97,15.955,34.792,38.038,24.717,75.622,89.293,0.0,0.0,0.936,3240558.0,190528960.0,0.591,34.091,57.503,1.293,99.064,1348859776.0,41133195264.0,17650651136.0,40390291456.0,3287400704.0,0.309,1.681,0.564,25.989,2.258,3581870.75,0.868,1.076,0.905,7458312.0,385.279,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:25 AM,238430768.0,525000000.0,36.233,164.306,237.208,1.37,30.802,29.305,8.893,7.748,1947176064.0,1482260352.0,1748754304.0,103776536.0,4791289.5,77.533,17.331,33.501,36.539,23.1,72.768,88.615,0.0,0.0,0.911,3184065.5,186020384.0,0.579,32.592,57.136,1.286,99.089,1383723392.0,40489820160.0,18003486720.0,38681165824.0,3145747968.0,0.298,1.635,0.628,25.124,2.116,3508485.75,0.91,1.084,0.908,7288057.0,403.342,0.002,100.0,0.002,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:26 AM,220797040.0,525000000.0,30.71,119.467,2.308,1.542,31.029,29.767,7.842,6.132,1643169536.0,1121329664.0,1450453760.0,104438696.0,214085.531,79.938,16.185,35.223,38.522,25.045,74.634,88.234,0.0,0.0,0.952,3244505.0,190854304.0,0.593,32.189,57.531,1.293,99.048,1345509376.0,41104179200.0,17623492608.0,40387084288.0,3287141632.0,0.31,1.684,0.561,26.001,2.26,3582189.5,0.872,1.125,0.906,7455112.5,384.153,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:27 AM,243420960.0,525000000.0,41.065,124.408,45.051,1.298,33.899,29.231,8.053,11.411,2016958208.0,1693176832.0,1825771264.0,101560632.0,1346553.375,78.758,20.634,31.156,33.968,21.405,74.308,89.98,0.0,0.0,0.862,3028590.5,178238896.0,0.591,33.534,57.561,1.291,99.138,1365470464.0,39745409024.0,17748629504.0,37834756096.0,3079401472.0,0.297,1.63,0.636,25.022,2.101,3355465.25,1.059,1.136,0.903,6963140.5,416.949,0.001,99.997,0.001,0.003,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
12/7/2023 1:03:28 AM,236393312.0,525000000.0,38.131,129.467,165.122,1.356,33.399,29.558,7.838,10.409,1823616640.0,1477906560.0,1635038720.0,99264016.0,2480660.25,78.52,20.117,31.99,34.945,22.48,73.865,89.307,0.0,0.0,0.905,3030524.75,178351264.0,0.591,32.755,57.56,1.291,99.095,1291973120.0,38791974912.0,16870744064.0,37704802304.0,3068828928.0,0.305,1.664,0.589,25.658,2.204,3350556.5,1.062,1.065,0.904,6967625.0,395.169,0.001,100.0,0.001,0.0,Quest-2,BeatSaber,PopStars-Medium,False,True,0.1
