timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/5/2023 9:15:12 PM,300629536.0,525000000.0,25.629,233.304,38.791,1.188,28.125,29.747,7.413,8.625,1561269760.0,1080790400.0,1278966272.0,110756224.0,8263772.5,76.126,16.751,36.033,39.269,18.965,73.258,90.264,0.0,0.0,1.353,4444831.5,342820000.0,0.721,24.918,73.262,3.866,98.647,1397250816.0,54218891264.0,21607624704.0,58424631296.0,3398950656.0,0.321,2.266,0.617,33.565,2.245,4743183.0,22.487,0.763,0.937,9729072.0,385.053,15.25,84.751,0.002,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:13 PM,266300000.0,525000000.0,17.948,154.297,2.135,1.484,26.601,30.576,3.656,2.531,1154401920.0,757299584.0,893518912.0,111430768.0,276500.781,79.025,11.092,40.453,44.367,22.954,75.339,89.957,0.0,0.0,1.533,4452204.0,343497856.0,0.722,25.028,73.283,3.87,98.467,1091535616.0,50652676096.0,17952425984.0,58583494656.0,3408503040.0,0.378,2.626,0.355,39.085,2.82,4750007.5,22.392,0.714,0.937,9750106.0,300.125,16.895,83.106,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:14 PM,268575136.0,525000000.0,19.639,149.378,23.32,1.466,26.259,30.286,4.613,3.728,1255972864.0,799204672.0,995855104.0,116681824.0,3640511.25,78.25,12.263,39.939,43.72,22.806,74.595,89.626,0.0,0.0,1.531,4623535.5,352913568.0,0.711,25.236,72.554,3.776,98.469,1178433664.0,51592159232.0,19115243520.0,57979281408.0,3487274240.0,0.356,2.412,0.414,37.022,2.684,4918576.0,21.628,0.772,0.94,10131167.0,309.704,11.361,88.67,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:15 PM,287734432.0,525000000.0,20.097,149.338,2.364,1.465,26.626,30.318,4.103,4.022,1314305664.0,823599808.0,1051415616.0,119414848.0,1391589.875,78.731,12.448,39.705,43.478,22.783,75.029,89.95,0.0,0.0,1.503,4665583.5,356387712.0,0.716,25.595,72.627,3.76,98.497,1196829312.0,53158862848.0,19541897216.0,60019855360.0,3607041024.0,0.361,2.433,0.389,37.511,2.731,4986739.5,21.34,0.778,0.936,10247026.0,309.063,11.087,88.914,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:16 PM,274072832.0,525000000.0,24.96,144.331,22.106,1.331,27.28,29.727,6.959,6.528,1620449920.0,988116416.0,1355504384.0,116491648.0,3629882.75,79.551,15.272,37.764,41.161,20.484,76.166,90.224,0.0,0.0,1.413,4618059.0,352369664.0,0.71,25.225,72.526,3.777,98.587,1390600320.0,54170091520.0,21665167360.0,58033786880.0,3488028672.0,0.321,2.197,0.584,33.537,2.308,4922735.5,21.616,0.81,0.938,10102917.0,364.84,10.567,89.446,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:17 PM,279921088.0,525000000.0,25.145,114.501,8.947,1.374,27.732,29.763,6.79,6.69,1639795584.0,987290816.0,1372732928.0,118926088.0,1329249.5,80.822,15.259,38.1,41.541,20.744,77.386,90.248,0.0,0.0,1.403,4670753.0,356790784.0,0.717,25.462,72.631,3.758,98.597,1422151168.0,55871164416.0,22247112704.0,60032397312.0,3607853824.0,0.323,2.206,0.571,33.793,2.333,4987752.0,21.285,0.829,0.936,10245657.0,367.04,10.291,89.709,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:18 PM,286722528.0,525000000.0,21.028,154.364,2.436,1.401,26.809,30.267,5.133,4.307,1356399744.0,895358016.0,1083598848.0,112580352.0,1407322.125,78.299,12.748,39.17,42.847,21.694,74.814,89.802,0.0,0.0,1.541,4665230.0,367052192.0,0.734,24.132,74.589,4.089,98.459,1224024576.0,52696735744.0,19527772160.0,59373985792.0,3481970688.0,0.353,2.463,0.463,36.614,2.59,4979027.5,24.427,0.781,0.937,10171117.0,329.311,16.067,83.917,0.001,0.022,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:19 PM,284640704.0,525000000.0,21.262,149.363,1.945,1.402,26.266,30.182,5.396,3.745,1397152128.0,918208384.0,1131626624.0,111867888.0,267658.562,78.55,12.187,39.547,43.244,21.67,75.074,90.116,0.0,0.0,1.453,4456116.5,343828000.0,0.722,25.104,73.291,3.867,98.547,1232563072.0,52354547712.0,19646017536.0,58599124992.0,3408967168.0,0.349,2.44,0.49,36.263,2.526,4755709.0,22.426,0.749,0.937,9757060.0,338.76,16.105,83.896,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:20 PM,268546560.0,525000000.0,18.893,134.438,8.001,1.427,26.563,30.397,5.14,2.677,1209411584.0,873338944.0,949392000.0,108119352.0,1365174.75,78.632,11.68,39.962,43.763,22.279,75.079,89.296,0.0,0.0,1.484,4453906.5,343634016.0,0.722,24.275,73.284,3.87,98.516,1162308736.0,51515068416.0,18803372032.0,58604490752.0,3409452544.0,0.363,2.527,0.427,37.596,2.665,4751562.5,22.408,0.638,0.937,9753489.0,319.659,16.49,83.511,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:21 PM,288411008.0,525000000.0,25.094,164.246,2.171,1.39,27.899,30.393,4.602,4.524,1642839936.0,1198665344.0,1371000320.0,116262704.0,1424499.875,78.315,13.061,38.586,42.266,21.64,74.884,89.884,0.0,0.0,1.454,4634841.0,353801632.0,0.712,25.085,72.564,3.771,98.546,1194183808.0,53298286592.0,19403520000.0,60704436224.0,3542547712.0,0.365,2.533,0.415,37.806,2.692,4934286.0,21.523,0.667,0.939,10166614.0,312.754,16.009,84.009,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:22 PM,281073696.0,525000000.0,24.593,134.448,14.874,1.344,27.576,29.849,6.587,5.887,1679954176.0,1015242368.0,1398934656.0,115326440.0,3613960.25,80.361,14.29,38.39,41.869,20.469,77.021,90.456,0.0,0.0,1.351,4521653.0,349158080.0,0.73,25.505,73.378,3.841,98.649,1420672768.0,56595615744.0,22209181696.0,61599023104.0,3586920960.0,0.329,2.303,0.578,34.352,2.325,4851897.0,21.932,0.688,0.932,9940203.0,380.43,14.809,85.167,0.001,0.031,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:23 PM,280211616.0,525000000.0,19.552,159.27,4.974,1.44,26.47,30.395,4.284,3.217,1356459648.0,837104000.0,1081476352.0,119566808.0,1409216.625,78.744,11.695,39.958,43.786,22.448,75.083,89.93,0.0,0.0,1.475,4662386.0,356130176.0,0.716,25.645,72.623,3.76,98.525,1206168448.0,53949128704.0,19627823104.0,61469220864.0,3586695936.0,0.365,2.534,0.411,37.865,2.697,4962111.5,21.363,0.727,0.94,10222664.0,313.611,15.843,84.18,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:24 PM,285254560.0,525000000.0,19.314,154.344,1.953,1.461,26.516,30.411,4.076,3.016,1352617472.0,837021696.0,1076994304.0,117371968.0,276583.938,79.266,11.602,39.902,43.73,22.563,75.621,90.182,0.0,0.0,1.537,4738810.0,372950656.0,0.743,24.768,74.645,4.057,98.463,1209196288.0,54286573568.0,19616829440.0,62040514560.0,3649486080.0,0.366,2.538,0.397,37.936,2.734,5064196.5,23.942,0.746,0.936,10370245.0,318.165,15.779,84.221,0.001,0.005,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:25 PM,257866192.0,525000000.0,19.554,129.406,2.178,1.501,25.927,30.343,4.025,2.924,1230635392.0,825413696.0,978366336.0,113417728.0,231895.094,78.785,11.639,39.969,43.793,23.109,75.057,89.945,0.0,0.0,1.637,4657392.5,366512640.0,0.734,24.352,74.602,4.092,98.363,1119645440.0,49797435392.0,18148360192.0,56442707968.0,3427720192.0,0.361,2.448,0.382,37.419,2.766,4954378.5,24.49,0.679,0.94,10152249.0,303.423,11.777,88.224,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:26 PM,272679424.0,525000000.0,22.854,139.405,2.512,1.387,26.381,30.004,5.381,4.05,1400116096.0,1083800192.0,1147227008.0,112672720.0,1373979.875,78.315,12.75,38.672,42.263,21.618,74.891,90.233,0.0,0.0,1.468,4453754.5,343605184.0,0.722,25.298,73.28,3.869,98.532,1224422912.0,51069313024.0,19495084032.0,56370929664.0,3388765696.0,0.341,2.324,0.487,35.54,2.526,4751295.0,22.338,0.751,0.937,9752734.0,336.416,11.346,88.655,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:27 PM,274844992.0,525000000.0,24.469,149.365,16.352,1.407,26.708,30.288,4.293,4.49,1458273664.0,1143242624.0,1206055424.0,111794952.0,2516027.0,77.148,12.883,38.845,42.542,22.262,73.643,89.887,0.0,0.0,1.53,4453532.5,343604192.0,0.722,25.103,73.284,3.87,98.47,1125942400.0,49887756288.0,18313287680.0,56371380224.0,3388777728.0,0.36,2.44,0.395,37.406,2.726,4751376.5,22.398,0.734,0.937,9752980.0,309.472,11.753,88.249,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:28 PM,285787456.0,525000000.0,25.27,129.403,7.263,1.405,26.429,30.042,5.258,4.247,1655990400.0,1272024960.0,1392629504.0,119265688.0,1355668.375,78.057,12.865,38.89,42.523,21.892,74.589,90.031,0.0,0.0,1.463,4664778.5,356322944.0,0.716,25.567,72.626,3.76,98.537,1277387008.0,53995368448.0,20490846208.0,59814195200.0,3597424128.0,0.344,2.339,0.466,35.949,2.566,4979318.0,21.333,0.763,0.937,10244976.0,330.559,10.802,89.222,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:29 PM,292162016.0,525000000.0,24.167,164.326,6.172,1.327,27.293,30.348,4.478,4.695,1521641472.0,1177703552.0,1248045184.0,115999544.0,2543171.75,77.161,13.125,38.424,42.071,21.442,73.745,89.918,0.0,0.0,1.463,4588544.5,349948032.0,0.705,25.28,72.476,3.789,98.537,1180171648.0,52458635264.0,19129628672.0,59712835584.0,3472588800.0,0.363,2.527,0.421,37.716,2.674,4903981.0,21.718,0.699,0.936,10029036.0,311.466,16.242,83.751,0.001,0.007,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:30 PM,296603168.0,525000000.0,24.14,154.309,1.957,1.373,26.961,30.16,5.443,4.09,1655005952.0,1253686912.0,1373641344.0,119822144.0,276521.688,78.326,12.887,38.442,42.044,21.255,74.949,90.19,0.0,0.0,1.481,4873834.5,379532576.0,0.729,24.585,73.895,3.976,98.519,1311657728.0,55725142016.0,20886005760.0,62343057408.0,3667606272.0,0.348,2.424,0.481,36.19,2.55,5188366.0,23.332,0.751,0.939,10643547.0,334.09,15.227,84.774,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:31 PM,292812032.0,525000000.0,25.173,154.344,11.344,1.332,26.603,30.165,5.633,4.457,1631077888.0,1279631104.0,1358700160.0,112230656.0,1400768.25,76.836,13.07,38.315,41.888,21.06,73.575,89.975,0.0,0.0,1.524,4659940.0,366645216.0,0.734,24.084,74.589,4.091,98.476,1246985472.0,52751699968.0,19769389056.0,59041873920.0,3461373184.0,0.347,2.429,0.489,36.075,2.533,4967732.5,24.456,0.671,0.938,10156037.0,336.826,15.989,83.995,0.001,0.022,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:32 PM,295771360.0,525000000.0,23.661,169.263,22.649,1.368,26.416,30.048,6.047,4.623,1468019584.0,1140599296.0,1209785216.0,111354856.0,2551444.0,76.627,13.483,38.37,41.954,21.474,73.32,89.558,0.0,0.0,1.561,4659460.0,366598528.0,0.734,23.899,74.587,4.091,98.439,1234253056.0,51430666240.0,19542908928.0,56908283904.0,3433614336.0,0.341,2.339,0.488,35.459,2.537,4956316.5,24.534,0.76,0.94,10155107.0,334.196,12.273,87.688,0.001,0.06,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:33 PM,274672192.0,525000000.0,22.132,159.34,9.964,1.414,26.505,30.273,5.096,3.872,1352779264.0,1032640896.0,1102260480.0,109985096.0,2540510.0,76.998,12.515,39.076,42.767,22.234,73.585,89.431,0.0,0.0,1.511,4454228.0,343645472.0,0.722,24.692,73.281,3.869,98.489,1154204672.0,50230939648.0,18653026304.0,56377516032.0,3389155840.0,0.355,2.405,0.423,36.844,2.666,4752024.0,22.383,0.73,0.937,9754002.0,317.272,11.634,88.368,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:34 PM,287879488.0,525000000.0,23.773,154.305,18.773,1.404,26.331,30.143,5.415,3.892,1533807360.0,1160549504.0,1276176512.0,115852536.0,2524302.25,76.97,12.694,38.946,42.591,21.996,73.546,89.577,0.0,0.0,1.492,4614750.0,352142304.0,0.71,25.105,72.529,3.779,98.508,1216801280.0,51886952448.0,19549419520.0,57731022848.0,3472022272.0,0.348,2.362,0.454,36.208,2.597,4909272.5,21.634,0.787,0.94,10111873.0,320.535,11.232,88.794,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:35 PM,266957296.0,525000000.0,23.654,169.271,2.828,1.361,26.829,30.225,5.359,4.15,1508575872.0,1130430336.0,1242831104.0,110103088.0,2551571.0,77.716,12.683,38.779,42.427,21.396,74.33,89.939,0.0,0.0,1.454,4453987.5,343585984.0,0.722,24.72,73.272,3.869,98.546,1204375808.0,52015722496.0,19307626496.0,58597658624.0,3409265408.0,0.354,2.474,0.466,36.778,2.58,4751596.0,22.348,0.72,0.937,9752747.0,331.033,16.257,83.744,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:36 PM,292020320.0,525000000.0,23.946,164.303,7.339,1.355,27.128,30.187,5.326,4.394,1612058624.0,1212028672.0,1333717248.0,117769848.0,2542806.25,77.953,12.946,38.578,42.203,21.304,74.594,89.903,0.0,0.0,1.414,4667099.0,356453376.0,0.716,25.234,72.617,3.759,98.586,1288012928.0,55413374976.0,20688306176.0,62196572160.0,3626780160.0,0.352,2.45,0.469,36.651,2.567,4986394.0,21.359,0.808,0.936,10249154.0,332.743,15.347,84.67,0.001,0.0,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
12/5/2023 9:15:37 PM,289324000.0,525000000.0,23.699,154.368,3.613,1.37,27.249,30.343,4.458,4.228,1524374272.0,1155789952.0,1255384576.0,113033384.0,1400986.125,78.111,12.811,38.708,42.386,21.604,74.653,89.922,0.0,0.0,1.437,4494455.5,346975168.0,0.727,25.15,73.348,3.853,98.563,1192664960.0,53127634944.0,19363131392.0,60498513920.0,3515248128.0,0.363,2.528,0.416,37.792,2.678,4816069.0,22.109,0.712,0.933,9859478.0,322.279,16.069,83.915,0.001,0.021,Quest-2,BeatSaber,PopStars-Easy,False,False,0.0
