CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.43ms,1.34ms,0.28ms,13.86ms,2(DR0,0.39,0.33(W0.38),1.00,15.75/21.00,19.09,0,1.21,0,0,18:53:00.077,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1670,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1804MHz,2219,0,40.7C/0.0C,3.44ms,1.36ms,0.28ms,13.89ms,2(DR0,0.40,0.23(W0.38),1.00,15.59/21.39,19.11,0,1.21,0,0,18:53:01.077,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.58ms,1.54ms,0.31ms,13.86ms,2(DR0,0.40,0.25(W0.32),1.00,15.69/21.16,19.15,0,1.21,0,0,18:53:02.077,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.61ms,1.33ms,0.30ms,13.86ms,2(DR0,0.41,0.26(W0.32),1.00,15.69/21.16,19.15,0,1.21,0,0,18:53:03.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.46ms,1.50ms,0.27ms,13.86ms,2(DR0,0.41,0.15(W0.21),1.00,15.77/21.19,19.24,0,1.21,0,0,18:53:04.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.50ms,1.44ms,0.29ms,13.86ms,2(DR0,0.41,0.20(W0.33),1.00,15.81/21.13,19.19,0,1.21,0,0,18:53:05.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,40.7C/0.0C,3.52ms,1.50ms,0.30ms,13.86ms,2(DR0,0.41,0.35(W0.38),1.00,15.61/21.40,19.18,0,1.21,0,0,18:53:06.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2219,0,40.7C/0.0C,3.52ms,1.41ms,0.28ms,13.87ms,2(DR0,0.41,0.32(W0.36),1.00,15.70/21.10,19.20,0,1.21,0,0,18:53:07.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2219,0,40.7C/0.0C,3.09ms,0.85ms,0.28ms,13.87ms,2(DR0,0.35,0.23(W0.25),1.00,15.41/21.22,19.27,0,1.21,0,0,18:53:08.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,41.0C/0.0C,3.26ms,1.18ms,0.28ms,13.87ms,2(DR0,0.37,0.33(W0.36),1.00,15.71/21.04,19.17,0,1.21,0,0,18:53:09.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,41.0C/0.0C,3.27ms,1.11ms,0.27ms,13.87ms,2(DR0,0.37,0.28(W0.33),1.00,15.70/21.25,19.19,0,1.21,0,0,18:53:10.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,41.0C/0.0C,3.28ms,1.18ms,0.27ms,13.86ms,2(DR0,0.38,0.20(W0.27),1.00,15.66/21.45,19.22,0,1.21,0,0,18:53:11.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2219,0,41.0C/0.0C,3.28ms,1.15ms,0.28ms,13.86ms,2(DR0,0.37,0.18(W0.20),1.00,15.58/21.29,19.14,0,1.21,0,0,18:53:12.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,44,0ms,0,0,1,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,41.0C/0.0C,3.21ms,3.03ms,0.30ms,19.76ms,2(DR0,0.32,0.15(W0.25),1.00,15.50/21.21,19.06,0,1.21,0,0,18:53:13.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,47,0ms,0,0,55,2/2/3/18,1,0,0,FF,0/70/0,N/F/N,1353MHz,2219,0,41.0C/0.0C,3.26ms,2.23ms,0.29ms,22.65ms,2(DR0,0.33,0.16(W0.20),1.00,15.56/21.27,19.14,0,1.21,0,0,18:53:14.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,42,0ms,0,0,45,8/3/0/6,1,0,0,FF,0/70/0,N/F/N,1353MHz,2228,0,41.0C/0.0C,3.36ms,1.18ms,0.29ms,24.34ms,2(DR0,0.32,0.22(W0.33),1.00,15.49/21.22,19.13,0,1.21,0,0,18:53:15.085,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,52,0ms,0,0,51,16/1/0/5,1,0,0,FF,0/70/0,N/F/N,1804MHz,2228,0,41.0C/0.0C,3.36ms,-0.24ms,0.28ms,20.45ms,2(DR0,0.36,0.28(W0.32),1.00,15.46/21.42,19.26,0,1.21,0,0,18:53:16.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,17,7/0/0/4,1,0,0,FF,0/70/0,N/F/N,1804MHz,2228,0,41.0C/0.0C,3.39ms,-0.23ms,0.28ms,13.86ms,2(DR0,0.38,0.33(W0.39),1.00,15.45/21.64,19.25,0,1.21,0,0,18:53:17.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2228,0,41.0C/0.0C,3.39ms,1.16ms,0.27ms,13.86ms,2(DR0,0.37,0.26(W0.36),1.00,15.36/21.75,19.16,0,1.21,0,0,18:53:18.078,Quest-2,BeatSaber,PopStars-Medium,True,False,4
