CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2805,0,42.7C/0.0C,3.99ms,1.40ms,0.28ms,13.86ms,3(DR0,0.44,0.16(W0.23),1.00,15.76/21.75,19.47,0,1.21,0,0,19:41:44.028,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.96ms,1.39ms,0.27ms,13.86ms,3(DR0,0.43,0.07(W0.10),1.00,16.05/21.78,19.57,0,1.21,0,0,19:41:45.034,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2806,0,42.7C/0.0C,3.99ms,1.47ms,0.27ms,13.86ms,3(DR0,0.44,0.25(W0.35),1.00,15.79/22.17,19.57,0,1.21,0,0,19:41:46.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2806,0,42.7C/0.0C,3.97ms,1.42ms,0.28ms,13.86ms,3(DR0,0.43,0.16(W0.23),1.00,15.81/21.74,19.44,0,1.21,0,0,19:41:47.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2806,0,42.7C/0.0C,3.97ms,1.46ms,0.28ms,13.86ms,3(DR0,0.44,0.18(W0.24),1.00,15.84/21.41,19.48,0,1.21,0,0,19:41:48.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2806,0,42.7C/0.0C,3.98ms,1.43ms,0.28ms,13.86ms,3(DR0,0.44,0.22(W0.23),1.00,16.23/21.51,19.53,0,1.21,0,0,19:41:49.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.97ms,1.42ms,0.27ms,13.86ms,3(DR0,0.44,0.04(W0.06),1.00,16.05/21.80,19.55,0,1.21,0,0,19:41:50.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.99ms,1.44ms,0.28ms,13.87ms,3(DR0,0.44,0.11(W0.19),1.00,15.85/21.79,19.48,0,1.21,0,0,19:41:51.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.97ms,1.44ms,0.27ms,13.87ms,3(DR0,0.44,0.19(W0.25),1.00,15.82/21.57,19.43,0,1.21,0,0,19:41:52.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.69ms,1.24ms,0.27ms,14.02ms,3(DR0,0.41,0.14(W0.25),1.00,15.78/21.76,19.41,0,1.21,0,0,19:41:53.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.69ms,1.32ms,0.27ms,13.87ms,3(DR0,0.41,0.24(W0.26),1.00,15.85/21.98,19.64,0,1.21,0,0,19:41:54.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2806,0,42.7C/0.0C,3.81ms,1.39ms,0.29ms,13.87ms,3(DR0,0.42,0.20(W0.23),1.00,16.02/21.71,19.52,0,1.21,0,0,19:41:55.029,old_experiments,Quest-2,Phasmophobia-W,replay0.0,Quest-2,Jeng
