CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,43.5C/0.0C,3.95ms,1.37ms,0.27ms,13.87ms,3(DR0,0.43,0.11(W0.18),1.00,16.11/21.77,19.63,0,1.21,0,0,19:45:30.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,1,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,43.5C/0.0C,3.94ms,1.43ms,0.27ms,13.88ms,3(DR0,0.44,0.12(W0.14),1.00,16.12/21.75,19.48,0,1.21,0,0,19:45:31.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,43.5C/0.0C,3.95ms,1.41ms,0.27ms,13.87ms,3(DR0,0.43,0.15(W0.22),1.00,15.78/21.62,19.44,0,1.21,0,0,19:45:32.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,43.5C/0.0C,3.94ms,1.40ms,0.27ms,13.86ms,3(DR0,0.44,0.13(W0.18),1.00,15.92/21.55,19.40,0,1.21,0,0,19:45:33.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,43.5C/0.0C,3.95ms,1.35ms,0.27ms,13.86ms,3(DR0,0.44,0.12(W0.15),1.00,16.23/21.80,19.46,0,1.21,0,0,19:45:34.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,43.5C/0.0C,3.96ms,1.40ms,0.27ms,13.87ms,3(DR0,0.43,0.20(W0.30),1.00,15.92/21.50,19.48,0,1.21,0,0,19:45:35.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,43.5C/0.0C,3.94ms,1.26ms,0.28ms,13.91ms,3(DR0,0.42,0.09(W0.10),1.00,16.06/21.73,19.56,0,1.21,0,0,19:45:36.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,43.5C/0.0C,3.69ms,1.25ms,0.27ms,13.86ms,3(DR0,0.41,0.07(W0.11),1.00,16.00/21.82,19.58,0,1.21,0,0,19:45:37.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,43.5C/0.0C,3.69ms,1.26ms,0.28ms,13.86ms,3(DR0,0.41,0.19(W0.23),1.00,16.02/21.74,19.46,0,1.21,0,0,19:45:38.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,43.5C/0.0C,3.79ms,1.39ms,0.27ms,13.87ms,3(DR0,0.42,0.15(W0.19),1.00,16.05/21.54,19.45,0,1.21,0,0,19:45:39.046,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,True,0.1
