CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2157,0,36.2C/0.0C,3.65ms,1.63ms,0.31ms,13.86ms,2(DR0,0.43,0.35(W0.39),1.00,15.93/21.19,19.26,0,1.21,0,0,16:37:51.029,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2157,0,36.2C/0.0C,3.60ms,1.58ms,0.28ms,13.86ms,2(DR0,0.42,0.25(W0.30),1.00,15.96/21.33,19.34,0,1.21,0,0,16:37:52.029,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2157,0,36.2C/0.0C,3.57ms,1.54ms,0.29ms,13.86ms,2(DR0,0.41,0.18(W0.29),1.00,16.02/22.02,19.41,0,1.21,0,0,16:37:53.029,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2157,0,36.2C/0.0C,3.67ms,1.46ms,0.29ms,13.87ms,2(DR0,0.42,0.21(W0.33),1.00,15.96/21.33,19.34,0,1.21,0,0,16:37:54.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2157,0,36.2C/0.0C,3.61ms,1.48ms,0.29ms,13.86ms,2(DR0,0.41,0.28(W0.33),1.00,15.77/21.25,19.28,0,1.21,0,0,16:37:55.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2157,0,36.2C/0.0C,3.56ms,1.41ms,0.29ms,13.86ms,2(DR0,0.41,0.21(W0.26),1.00,16.01/21.24,19.32,0,1.21,0,0,16:37:56.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2157,0,36.2C/0.0C,3.52ms,1.37ms,0.28ms,13.86ms,2(DR0,0.41,0.26(W0.35),1.00,15.80/21.15,19.27,0,1.21,0,0,16:37:57.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2157,0,36.2C/0.0C,3.53ms,1.31ms,0.28ms,13.86ms,2(DR0,0.40,0.25(W0.29),1.00,15.69/21.28,19.35,0,1.21,0,0,16:37:58.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2157,0,36.2C/0.0C,3.51ms,1.43ms,0.28ms,13.87ms,2(DR0,0.41,0.29(W0.30),1.00,15.99/21.26,19.30,0,1.21,0,0,16:37:59.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2157,0,36.2C/0.0C,3.54ms,1.33ms,0.28ms,13.86ms,2(DR0,0.41,0.16(W0.21),1.00,15.82/21.40,19.20,0,1.21,0,0,16:38:00.030,old_experiments,Quest-2,Phasmophobia,record0,Quest-2,Jeng
