timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701964362923.3257,0,0,0,0,0,0,0,0,1372916662,3556801380,2275950,2852819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273402,15171701760,174148,8404387840,40,102912,0,0,214.03125,79885.84375,177.671875,2715.6875,6191.34375,16.7,4701.0,0.0,4701.0,442468740,300959844,0,2085624458
1701964363905.9702,0,0,0,0,0,0,0,0,1373332493,3556915272,2276429,2853043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273406,15171759104,174156,8404576256,40,102912,0,0,214.125,79893.93749999999,177.703125,2716.9375000000146,6193.8125,32.2,4701.0,0.0,4701.0,442571580,301029401,0,2086242008
1701964364919.5461,0,0,0,0,0,0,0,0,1373727336,3556940508,2276854,2853240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273408,15171791872,174357,8405923840,40,102912,0,0,214.1875,79904.10937499999,177.71875,2717.5000000000146,6195.078125,15.8,4701.0,0.0,4701.0,442658176,301085929,0,2086575572
1701964365914.4077,0,0,0,0,0,0,0,0,1374075992,3556947794,2277204,2853323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273409,15171808256,174379,8407181312,40,102912,0,0,214.203125,79914.57812499999,177.734375,2717.9843750000146,6196.125,13.0,4701.0,0.0,4701.0,442729251,301133429,0,2086876543
1701964366910.3955,0,0,0,0,0,0,0,0,1374414805,3556953371,2277513,2853364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273410,15172004864,174399,8407734272,40,102912,0,0,214.21875,79924.92187499999,177.75,2718.4687500000146,6197.296875,14.0,4701.0,0.0,4701.0,442800385,301180869,0,2087180966
1701964367919.7485,0,0,0,0,0,0,0,0,1374753665,3556967851,2277801,2853429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273410,15172004864,174409,8407832576,40,102912,0,0,214.25,79934.96874999999,177.8125,2719.0468750000146,6198.671875,16.9,4701.0,0.0,4701.0,442891617,301238278,0,2087676637
1701964368914.5684,0,0,0,0,0,0,0,0,1375078273,3556979538,2278080,2853493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273410,15172004864,174413,8407848960,40,102912,0,0,214.296875,79945.34374999999,177.828125,2719.7031250000146,6199.640625,14.0,4701.0,0.0,4701.0,442974787,301292445,0,2087994893
1701964369912.5227,0,0,0,0,0,0,0,0,1375417244,3556981642,2278376,2853515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273410,15172004864,174416,8407967744,40,102912,0,0,214.3125,79954.14062499999,177.84375,2720.2968750000146,6202.25,26.9,4701.0,0.0,4701.0,443063506,301350349,0,2088347833
1701964370912.0176,0,0,0,0,0,0,0,0,1375756458,3556983680,2278670,2853529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273411,15172013056,174416,8407967744,40,102912,0,0,214.34375,79964.65624999999,177.859375,2720.6875000000146,6203.34375,12.7,4701.0,0.0,4701.0,443139803,301400540,0,2088670511
1701964371919.3794,0,0,0,0,0,0,0,0,1376096280,3556985060,2278965,2853541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273415,15172086784,174456,8409044992,40,102912,0,0,214.34375,79974.37499999999,177.90625,2721.3593750000146,6204.953125,19.3,4701.0,0.0,4701.0,443237171,301460827,0,2089048641
1701964372912.8193,0,0,0,0,0,0,0,0,1376431650,3556986504,2279263,2853554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273417,15172168704,174486,8409503744,40,102912,0,0,214.390625,79984.49999999999,177.96875,2721.9687500000146,6206.21875,16.4,4701.0,0.0,4701.0,443314927,301512083,0,2089381049
1701964373911.0044,0,0,0,0,0,0,0,0,1376776216,3556988116,2279560,2853568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273418,15172185088,174517,8410077184,40,102912,0,0,214.46875,79994.85937499999,178.0,2722.5937500000146,6207.234375,14.5,4701.0,0.0,4701.0,443387416,301563196,0,2089691357
1701964374911.835,0,0,0,0,0,0,0,0,1377117235,3556990136,2279865,2853589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273418,15172185088,174518,8410081280,40,102912,0,0,214.5625,80004.42187499999,178.046875,2723.3593750000146,6208.90625,21.2,4701.0,0.0,4701.0,443475350,301619870,0,2090041274
1701964375917.3772,0,0,0,0,0,0,0,0,1377483642,3556993795,2280186,2853617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273419,15172201472,174557,8410675200,40,102912,0,0,214.640625,80014.18749999999,178.078125,2724.1406250000146,6210.359375,19.4,4701.0,0.0,4701.0,443564863,301676765,0,2090391211
1701964376914.4697,0,0,0,0,0,0,0,0,1377949697,3557002738,2280618,2853669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273419,15172201472,174577,8411039744,40,102912,0,0,214.65625,80024.57812499999,178.125,2724.6250000000146,6211.484375,13.9,4701.0,0.0,4701.0,443643758,301728274,0,2090725210
1701964377910.7737,0,0,0,0,0,0,0,0,1378337072,3557007335,2280986,2853697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273421,15172234240,174620,8411572224,40,102912,0,0,214.6875,80034.64062499999,178.15625,2725.2031250000146,6212.84375,16.6,4701.0,0.0,4701.0,443729783,301783985,0,2091116968
1701964378922.442,0,0,0,0,0,0,0,0,1378679788,3557012710,2281290,2853737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273421,15172234240,174620,8411572224,40,102912,0,0,214.71875,80043.71874999999,178.21875,2726.0312500000146,6215.125,26.1,4701.0,0.0,4701.0,443815487,301841052,0,2091471920
1701964379909.9487,0,0,0,0,0,0,0,0,1378967159,3557016437,2281542,2853771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273421,15172234240,174640,8411969536,40,102912,0,0,214.734375,80051.24999999999,178.265625,2727.2812500000146,6218.15625,36.6,4701.0,0.0,4701.0,443903718,302014489,0,2091801808
1701964380916.2583,0,0,0,0,0,0,0,0,1379282188,3557018591,2281813,2853786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273424,15172283392,174852,8413231104,40,102912,0,0,214.765625,80059.84374999999,178.296875,2728.4843750000146,6220.359375,28.8,4701.0,0.0,4701.0,444006272,302080279,0,2092145606
1701964381912.5022,0,0,0,0,0,0,0,0,1379635332,3557028448,2282144,2853842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273427,15172480000,174891,8413751296,40,102912,0,0,214.78125,80069.51562499999,178.328125,2729.2656250000146,6221.90625,19.7,4701.0,0.0,4701.0,444090418,302134713,0,2092485790
1701964382926.0488,0,0,0,0,0,0,0,0,1379989235,3557033650,2282504,2853881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273427,15172480000,174893,8413759488,40,102912,0,0,214.78125,80079.26562499999,178.390625,2730.0156250000146,6223.59375,20.4,4701.0,0.0,4701.0,444204893,302217786,0,2092872198
1701964383912.6042,0,0,0,0,0,0,0,0,1380343606,3557035588,2282854,2853900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273428,15172496384,174937,8414136320,40,102912,0,0,214.796875,80088.37499999999,178.4375,2731.2343750000146,6225.078125,23.3,4701.0,0.0,4701.0,444333881,302329198,0,2093240249
1701964384925.6768,0,0,0,0,0,0,0,0,1380694014,3557037228,2283202,2853915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273428,15172496384,174971,8414418944,40,102912,0,0,214.859375,80097.89062499999,178.46875,2732.0468750000146,6226.9375,22.5,4701.0,0.0,4701.0,444450873,302398383,0,2093625213
1701964385912.274,0,0,0,0,0,0,0,0,1381025493,3557041980,2283507,2853943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273428,15172496384,174975,8414545920,40,102912,0,0,214.90625,80107.23437499999,178.53125,2732.8125000000146,6228.640625,21.6,4701.0,0.0,4701.0,444566273,302465964,0,2094016951
1701964386908.337,0,0,0,0,0,0,0,0,1381367061,3557055889,2283814,2854008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273428,15172496384,175000,8414853120,40,102912,0,0,214.984375,80116.10937499999,178.59375,2733.5468750000146,6231.03125,26.9,4701.0,0.0,4701.0,444688367,302537392,0,2094424409
