CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.10ms,2.04ms,0.28ms,13.86ms,3(DR0,0.49,0.27(W0.32),1.00,16.01/21.63,19.60,0,1.21,0,0,16:52:35.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.12ms,1.99ms,0.28ms,13.86ms,3(DR0,0.50,0.26(W0.27),1.00,16.11/21.61,19.57,0,1.21,0,0,16:52:36.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.13ms,1.96ms,0.28ms,13.87ms,3(DR0,0.49,0.19(W0.26),1.00,15.94/21.95,19.54,0,1.21,0,0,16:52:37.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.13ms,1.91ms,0.28ms,13.86ms,3(DR0,0.50,0.21(W0.30),1.00,16.06/21.55,19.51,0,1.21,0,0,16:52:38.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.12ms,2.01ms,0.27ms,13.86ms,3(DR0,0.50,0.18(W0.21),1.00,16.05/21.65,19.61,0,1.21,0,0,16:52:39.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.08ms,2.01ms,0.28ms,13.87ms,3(DR0,0.50,0.24(W0.27),1.00,16.14/21.56,19.57,0,1.21,0,0,16:52:40.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2183,0,37.7C/0.0C,4.12ms,1.95ms,0.29ms,13.86ms,3(DR0,0.50,0.55(W0.70),1.00,16.15/21.46,19.54,0,1.21,0,0,16:52:41.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2183,0,37.7C/0.0C,3.98ms,1.81ms,0.29ms,13.87ms,3(DR0,0.46,0.40(W0.48),1.00,16.29/21.85,19.61,0,1.21,0,0,16:52:42.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2183,0,37.7C/0.0C,3.83ms,1.72ms,0.29ms,13.87ms,3(DR0,0.45,0.40(W0.48),1.00,16.07/21.64,19.51,0,1.21,0,0,16:52:43.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2183,0,37.7C/0.0C,3.82ms,1.69ms,0.28ms,13.87ms,3(DR0,0.45,0.35(W0.37),1.00,15.95/21.71,19.46,0,1.21,0,0,16:52:44.096,True,True,999999,0,Quest-2,Phasmophobia,Jenga,False,False,0.2
