CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.19ms,0.78ms,1.62ms,13.87ms,3(DR0,0.49,0.21(W0.28),1.00,19.02/23.91,22.28,1,1.21,0,0,15:05:11.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.19ms,0.82ms,1.61ms,13.86ms,3(DR0,0.49,0.09(W0.11),1.00,18.58/23.86,22.03,1,1.21,0,0,15:05:12.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.17ms,0.92ms,1.56ms,13.86ms,3(DR0,0.49,0.13(W0.18),1.00,18.40/23.28,21.72,1,1.21,0,0,15:05:13.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.16ms,0.89ms,1.58ms,13.86ms,3(DR0,0.49,0.22(W0.32),1.00,18.43/23.10,21.49,1,1.21,0,0,15:05:14.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.16ms,0.85ms,1.56ms,13.86ms,3(DR0,0.49,0.20(W0.21),1.00,18.66/22.81,21.52,1,1.21,0,0,15:05:15.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.03ms,0.94ms,1.48ms,13.84ms,3(DR0,0.48,0.08(W0.14),1.00,18.65/22.96,21.62,1,1.21,0,0,15:05:16.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,63,0ms,0,0,17,0/1/1/10,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.00ms,-0.02ms,1.69ms,16.03ms,3(DR0,0.50,0.21(W0.27),1.00,18.77/22.37,21.43,1,1.21,0,0,15:05:17.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8131,0,28.5C/0.0C,4.01ms,0.76ms,1.91ms,13.86ms,3(DR0,0.50,0.18(W0.23),1.00,18.42/22.40,21.41,1,1.21,0,0,15:05:18.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8131,0,28.5C/0.0C,4.01ms,0.91ms,1.77ms,13.86ms,3(DR0,0.50,0.14(W0.22),1.00,18.53/22.29,21.53,1,1.21,0,0,15:05:19.059,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8131,0,28.0C/0.0C,4.03ms,0.95ms,1.85ms,13.86ms,3(DR0,0.50,0.07(W0.14),1.00,18.63/22.64,21.55,1,1.21,0,0,15:05:20.060,Quest-Pro,BeatSaber,PopStars-Easy,False,True,0.1
