CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8087,0,29.0C/0.0C,2.45ms,0.66ms,0.00ms,13.87ms,2(DR0,0.24,0.18(W0.26),1.00,18.09/23.15,21.50,1,1.21,0,0,13:36:37.061,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.0C/0.0C,2.44ms,0.81ms,0.00ms,13.85ms,2(DR0,0.25,0.16(W0.24),1.00,18.26/22.81,22.07,1,1.21,0,0,13:36:38.061,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.0C/0.0C,2.43ms,0.75ms,0.00ms,13.87ms,2(DR0,0.24,0.22(W0.26),1.00,18.71/22.68,21.73,1,1.21,0,0,13:36:39.061,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.0C/0.0C,2.45ms,0.79ms,0.00ms,13.87ms,2(DR0,0.25,0.09(W0.15),1.00,18.11/22.17,21.21,1,1.21,0,0,13:36:40.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8087,0,29.0C/0.0C,2.43ms,0.76ms,0.00ms,13.19ms,2(DR0,0.25,0.28(W0.32),1.00,18.22/22.51,20.85,1,1.21,0,0,13:36:41.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,71,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.2C/0.0C,2.42ms,0.61ms,0.00ms,13.69ms,2(DR0,0.24,0.14(W0.27),1.00,17.93/21.65,20.76,1,1.21,0,0,13:36:42.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.2C/0.0C,2.29ms,0.85ms,0.00ms,13.87ms,2(DR0,0.24,0.24(W0.32),1.00,17.88/22.06,20.85,1,1.21,0,0,13:36:43.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,2092MHz,8087,0,29.2C/0.0C,2.23ms,0.82ms,0.00ms,13.86ms,2(DR0,0.24,0.10(W0.19),1.00,18.32/22.49,21.07,1,1.21,0,0,13:36:44.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8087,0,29.2C/0.0C,2.25ms,0.85ms,0.00ms,13.35ms,2(DR0,0.25,0.12(W0.20),1.00,18.11/22.19,20.97,1,1.21,0,0,13:36:45.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8100,0,29.2C/0.0C,2.23ms,0.88ms,0.00ms,13.13ms,2(DR0,0.24,0.26(W0.31),1.00,17.90/22.90,21.09,1,1.21,0,0,13:36:46.069,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8100,0,29.2C/0.0C,2.26ms,0.93ms,0.00ms,13.15ms,2(DR0,0.24,0.13(W0.19),1.00,17.95/23.34,21.28,1,1.21,0,0,13:36:47.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,3,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8100,0,29.2C/0.0C,2.51ms,0.84ms,0.00ms,13.26ms,2(DR0,0.25,0.22(W0.24),1.00,18.02/23.67,22.08,1,1.21,0,0,13:36:48.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8100,0,29.2C/0.0C,2.50ms,0.82ms,0.00ms,13.87ms,2(DR0,0.26,0.13(W0.23),1.00,18.56/23.85,22.12,1,1.21,0,0,13:36:49.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,71,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8100,0,29.2C/0.0C,2.49ms,0.83ms,0.00ms,13.87ms,2(DR0,0.25,0.20(W0.22),1.00,18.42/23.93,22.00,1,1.21,0,0,13:36:50.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8100,0,29.2C/0.0C,2.27ms,0.83ms,0.00ms,13.86ms,2(DR0,0.24,0.12(W0.15),1.00,18.91/22.73,21.76,1,1.21,0,0,13:36:51.062,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8100,0,29.0C/0.0C,2.49ms,0.83ms,0.00ms,13.87ms,2(DR0,0.25,0.15(W0.24),1.00,18.10/22.68,21.34,1,1.21,0,0,13:36:52.063,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8100,0,29.0C/0.0C,2.50ms,0.88ms,0.00ms,13.86ms,2(DR0,0.26,0.19(W0.24),1.00,18.27/22.55,21.46,1,1.21,0,0,13:36:53.063,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8100,0,29.0C/0.0C,2.50ms,0.78ms,0.00ms,13.87ms,2(DR0,0.25,0.19(W0.26),1.00,18.38/22.23,21.15,1,1.21,0,0,13:36:54.063,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8100,0,29.0C/0.0C,2.51ms,0.74ms,0.00ms,13.87ms,2(DR0,0.25,0.25(W0.36),1.00,18.26/22.79,21.21,1,1.21,0,0,13:36:55.063,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8100,0,29.0C/0.0C,2.51ms,0.79ms,0.00ms,13.87ms,2(DR0,0.25,0.12(W0.16),1.00,18.08/22.75,21.28,1,1.21,0,0,13:36:56.063,old_experiments,Quest-Pro,BeatSaber-W,record0,Quest-Pro,PopStars-Hard
