timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 3:46:01 PM,524616032.0,525000000.0,16.195,1682.734,0.621,2.65,7.845,27.117,16.06,1.803,3122616576.0,19708186.0,1011794560.0,734372224.0,3015460.0,49.734,18.961,36.214,43.867,42.381,24.433,51.773,0.0,0.0,28.044,117461592.0,6299780608.0,0.14,6.252,50.497,3.136,71.956,350974656.0,51949633536.0,8552423936.0,65412653056.0,10690883584.0,0.516,3.544,2.883,58.569,15.176,111084032.0,71.715,0.018,1.057,231564448.0,11.158,0.034,100.0,0.029,-15.655,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:02 PM,307128768.0,525000000.0,33.78,198.794,304.526,1.453,28.709,31.634,9.652,7.377,3156503040.0,1444973440.0,2818127616.0,123815128.0,5966994.0,78.489,12.82,44.167,48.398,27.0,73.716,88.163,0.0,0.0,2.395,9289256.0,711800448.0,0.467,13.329,73.204,3.423,97.605,1563230336.0,79353733120.0,29615945728.0,84408680448.0,7533449216.0,0.396,2.028,1.033,41.723,4.376,9285459.0,36.301,0.328,1.0,18329950.0,267.616,0.153,99.848,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:03 PM,321528416.0,525000000.0,32.336,208.466,203.411,1.488,29.089,31.888,9.061,6.699,3297079808.0,1464410240.0,2921566976.0,137791344.0,9339288.0,78.245,12.414,44.629,48.998,28.082,73.292,87.899,0.0,0.0,2.52,10490320.0,796618624.0,0.464,13.135,72.523,3.416,97.48,1583422848.0,85463425024.0,30758250496.0,92611600384.0,8399375360.0,0.417,2.105,1.021,43.841,4.778,10448507.0,36.63,0.321,1.004,20693254.0,241.978,0.145,99.87,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:04 PM,305097056.0,525000000.0,31.594,219.003,242.879,1.43,28.147,31.765,9.173,5.883,3056494336.0,1388597120.0,2708565760.0,123945296.0,11630901.0,77.348,11.806,44.709,49.04,27.641,72.644,87.736,0.0,0.0,2.442,9293600.0,711863168.0,0.468,13.337,73.171,3.426,97.558,1496218496.0,78602551296.0,28817514496.0,84494385152.0,7537845248.0,0.408,2.075,1.008,42.963,4.557,9280300.0,36.282,0.334,1.001,18338532.0,256.025,0.157,99.845,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:05 PM,320485632.0,525000000.0,31.221,213.859,266.245,1.502,28.183,31.91,8.879,5.521,3240968448.0,1451491072.0,2875636224.0,134411632.0,9366993.0,77.907,11.231,45.387,49.819,28.165,73.128,87.82,0.0,0.0,2.456,9998435.0,769602624.0,0.472,13.443,73.536,3.437,97.544,1584508160.0,84877123584.0,30867085312.0,91747287040.0,8136395264.0,0.416,2.107,0.991,43.698,4.633,9964525.0,36.122,0.333,1.003,19733056.0,251.764,0.146,99.881,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:06 PM,300211584.0,525000000.0,32.931,189.08,240.075,1.357,29.163,31.816,9.156,6.938,3067119360.0,1377416192.0,2732486144.0,124332448.0,4832798.0,78.773,12.916,44.381,48.678,27.434,74.003,87.769,0.0,0.0,2.432,9293726.0,712014080.0,0.468,13.378,73.187,3.425,97.568,1495920640.0,78589624320.0,28817524736.0,84471832576.0,7536181760.0,0.408,2.075,1.008,42.961,4.557,9283774.0,36.254,0.337,1.001,18339070.0,255.858,0.156,99.845,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:07 PM,307757248.0,525000000.0,32.775,204.01,327.103,1.436,27.938,31.666,9.318,5.804,3241251328.0,1485038592.0,2903212288.0,126796928.0,1489094.75,79.259,11.119,45.443,49.804,27.642,74.463,88.118,0.0,0.0,2.36,9390248.0,726053376.0,0.475,13.503,73.877,3.443,97.64,1618656768.0,82809798656.0,30890645504.0,88312881152.0,7762715136.0,0.398,2.046,0.998,42.11,4.356,9394547.0,35.825,0.342,1.0,18536042.0,271.571,0.167,99.832,0.001,0.002,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:08 PM,310329184.0,525000000.0,31.922,206.569,297.537,1.487,28.248,31.777,9.543,5.962,3153213696.0,1440258688.0,2799710720.0,130014584.0,6878294.5,78.371,11.414,45.412,49.821,28.358,73.414,87.896,0.0,0.0,2.488,10010096.0,759762240.0,0.467,12.988,72.471,3.429,97.512,1572800512.0,82943549440.0,30213146624.0,89260163072.0,8100321280.0,0.408,2.072,1.036,42.961,4.65,9988018.0,37.08,0.32,1.002,19752652.0,253.06,0.144,99.88,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:09 PM,307005536.0,525000000.0,32.984,199.033,227.313,1.382,29.21,31.802,9.194,7.465,3038600192.0,1380161024.0,2699505920.0,123441048.0,7097666.0,78.086,12.993,44.214,48.503,27.339,73.379,88.059,0.0,0.0,2.435,9300172.0,712673216.0,0.467,13.273,73.207,3.423,97.565,1495989120.0,78596456448.0,28819417088.0,84479426560.0,7537326592.0,0.408,2.075,1.008,42.958,4.557,9296420.0,36.3,0.339,1.0,18351802.0,255.711,0.156,99.845,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
12/7/2023 3:46:10 PM,315596736.0,525000000.0,31.132,213.8,120.597,1.477,28.136,31.815,8.831,5.644,3205677568.0,1459519872.0,2840635392.0,132064432.0,11613557.0,78.02,11.317,45.437,49.87,28.176,73.364,87.95,0.0,0.0,2.389,9664533.0,752192256.0,0.486,13.665,74.379,3.451,97.611,1591266560.0,85312208896.0,31021441024.0,92242583552.0,8169481216.0,0.414,2.109,0.98,43.748,4.633,9649100.0,34.865,0.361,1.002,19063714.0,256.187,0.145,99.853,0.001,0.006,Quest-Pro,BeatSaber,PopStars-Hard,False,True,0.2
