CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8209,0,30.0C/0.0C,4.06ms,0.83ms,1.31ms,13.87ms,3(DR0,0.46,0.10(W0.18),1.00,18.81/24.10,22.42,1,1.21,0,0,15:33:14.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8209,0,30.0C/0.0C,4.04ms,0.81ms,1.31ms,13.87ms,3(DR0,0.46,0.16(W0.18),1.00,18.66/23.35,21.97,1,1.21,0,0,15:33:15.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8209,0,30.0C/0.0C,4.05ms,0.78ms,1.29ms,13.86ms,3(DR0,0.46,0.16(W0.19),1.00,18.53/23.46,21.77,1,1.21,0,0,15:33:16.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8209,0,30.0C/0.0C,4.06ms,0.76ms,1.20ms,13.87ms,3(DR0,0.46,0.11(W0.22),1.00,18.10/23.23,21.75,1,1.21,0,0,15:33:17.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,8209,0,30.0C/0.0C,4.08ms,0.93ms,1.06ms,13.58ms,3(DR0,0.45,0.15(W0.15),1.00,18.61/23.61,21.70,1,1.21,0,0,15:33:18.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8209,0,30.0C/0.0C,4.10ms,0.94ms,1.29ms,13.13ms,3(DR0,0.47,0.10(W0.15),1.00,18.73/23.78,21.98,1,1.21,0,0,15:33:19.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8209,0,30.0C/0.0C,4.06ms,0.88ms,0.94ms,13.12ms,3(DR0,0.44,0.14(W0.25),1.00,18.65/23.80,21.92,1,1.21,0,0,15:33:20.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8209,0,30.0C/0.0C,4.05ms,1.00ms,1.05ms,13.15ms,3(DR0,0.45,0.05(W0.14),1.00,18.98/23.71,22.10,1,1.21,0,0,15:33:21.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8209,0,30.0C/0.0C,4.04ms,0.87ms,1.22ms,13.13ms,3(DR0,0.45,0.09(W0.15),1.00,18.67/23.97,22.08,1,1.21,0,0,15:33:22.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,2092MHz,8209,0,30.0C/0.0C,4.10ms,0.91ms,1.22ms,13.13ms,3(DR0,0.46,0.11(W0.18),1.00,18.91/23.36,21.77,1,1.21,0,0,15:33:23.176,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
