timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 3:33:19 PM,256155328.0,525000000.0,19.652,139.308,192.379,1.152,29.798,31.326,12.594,4.386,1469246976.0,716339072.0,1284104448.0,65773132.0,8113299.5,82.237,13.719,44.333,47.86,25.356,71.145,81.948,0.0,0.0,1.375,3600286.75,370031392.0,0.489,18.269,99.731,3.048,98.625,1418522496.0,66672644096.0,36886888448.0,50783563776.0,4393971712.0,0.299,1.73,0.532,40.946,2.889,3737674.25,7.812,0.729,0.963,7092808.5,419.445,0.197,99.804,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:20 PM,266129200.0,525000000.0,19.286,139.362,126.997,1.174,29.757,31.05,12.276,3.859,1549765376.0,750822656.0,1362821120.0,70469960.0,5868833.0,82.977,12.972,45.413,48.947,26.009,71.784,81.717,0.0,0.0,1.367,3800474.75,388757024.0,0.485,18.542,99.244,3.048,98.633,1506264064.0,71799398400.0,40544866304.0,53032304640.0,4738375680.0,0.295,1.726,0.535,41.568,2.937,3920157.25,7.6,0.853,0.969,7500071.0,423.086,0.186,99.845,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:21 PM,272986272.0,525000000.0,22.678,113.891,59.802,1.112,32.03,30.93,7.134,5.966,1746580096.0,766424320.0,1548918656.0,82629144.0,1322162.625,85.977,13.392,46.157,49.557,26.862,74.815,84.51,0.0,0.0,1.264,3598947.75,369954592.0,0.486,22.959,99.762,3.033,98.736,1497135616.0,76376875008.0,45491716096.0,51518885888.0,5125718016.0,0.282,1.706,0.509,44.62,3.21,3747897.0,9.03,0.823,0.96,7083282.0,446.186,0.189,99.784,0.001,0.043,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:22 PM,270432352.0,525000000.0,23.184,128.985,106.905,1.128,31.174,30.961,8.383,5.667,1735753472.0,906481984.0,1538163328.0,81570112.0,3591584.25,84.229,14.478,44.892,48.267,25.7,73.315,84.104,0.0,0.0,1.31,3616815.75,372274400.0,0.485,22.553,99.87,3.059,98.69,1492267648.0,72893677568.0,42443632640.0,51272740864.0,4813676032.0,0.286,1.721,0.539,42.704,3.019,3728189.75,7.919,0.892,0.97,7127060.0,440.818,0.188,99.813,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:23 PM,270827360.0,525000000.0,21.797,129.414,170.321,1.081,31.917,31.185,9.221,4.771,1653018496.0,935706240.0,1460650240.0,74803312.0,4727411.0,83.432,13.554,45.808,49.246,27.037,72.69,82.865,0.0,0.0,1.307,3623545.25,372553504.0,0.486,20.644,99.786,3.029,98.693,1485058816.0,74431832064.0,43659743232.0,51422711808.0,5060731392.0,0.286,1.664,0.505,43.681,3.187,3777210.0,8.989,0.775,0.959,7130329.0,439.829,0.196,99.805,0.001,0.01,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:24 PM,285555520.0,525000000.0,21.774,174.178,90.648,1.061,31.068,31.216,9.6,4.2,1761265024.0,989291136.0,1560123648.0,74164912.0,8184101.5,82.345,12.785,46.106,49.518,27.089,71.875,82.962,0.0,0.0,1.28,3624108.75,372515936.0,0.486,20.464,99.76,3.029,98.72,1534605952.0,76096028672.0,45020102656.0,51843788800.0,5154029568.0,0.282,1.642,0.524,43.318,3.147,3789020.5,8.95,0.783,0.956,7128721.5,452.886,0.22,99.76,0.002,0.037,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:25 PM,284888064.0,525000000.0,22.397,123.276,23.267,1.162,31.051,31.516,9.585,4.117,1838339968.0,1028094464.0,1639379584.0,80715656.0,1334304.75,84.696,13.099,45.468,48.976,26.594,73.607,83.572,0.0,0.0,1.349,4001070.0,409443392.0,0.486,20.174,99.278,3.055,98.651,1610753408.0,77270573056.0,44105560064.0,55917449216.0,5206283264.0,0.29,1.661,0.527,41.809,3.021,4115322.75,7.151,0.807,0.972,7885422.0,429.119,0.179,99.824,0.001,0.006,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:26 PM,275060576.0,525000000.0,21.391,119.343,21.875,1.079,32.195,31.383,9.15,4.294,1650308096.0,925118528.0,1462495744.0,73650936.0,2459423.0,84.503,13.0,46.707,50.182,27.679,73.616,82.567,0.0,0.0,1.297,3623286.75,372604352.0,0.485,20.327,99.809,3.027,98.703,1497780352.0,76181823488.0,45208543232.0,51546738688.0,5199915008.0,0.283,1.658,0.501,44.333,3.248,3775986.25,8.968,0.815,0.96,7124625.0,443.682,0.195,99.806,0.001,0.012,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:27 PM,274450112.0,525000000.0,21.53,129.425,2.059,1.125,31.461,31.617,9.211,3.948,1689587968.0,932331968.0,1499611136.0,74116688.0,231929.25,84.426,13.282,45.727,49.249,26.901,73.316,82.748,0.0,0.0,1.328,3664066.0,378320640.0,0.491,20.228,100.207,3.044,98.672,1496686336.0,73707683840.0,42324234240.0,52779876352.0,4993511936.0,0.292,1.669,0.502,42.876,3.116,3833124.5,8.852,0.789,0.956,7211689.5,435.888,0.221,99.768,0.001,0.024,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
12/7/2023 3:33:28 PM,271314368.0,525000000.0,22.236,144.29,35.949,1.116,31.281,31.488,8.982,4.187,1698660736.0,963307648.0,1511167104.0,74624584.0,2505435.0,83.677,13.234,45.697,49.186,26.901,72.829,83.006,0.0,0.0,1.325,3598448.25,369924736.0,0.489,20.738,99.752,3.05,98.675,1468317440.0,72213110784.0,41731043328.0,51172360192.0,4895889408.0,0.289,1.664,0.511,42.844,3.116,3732309.75,7.968,0.789,0.964,7086599.0,435.064,0.198,99.803,0.001,0.011,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
