Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-82031,3927,0.32213573700000003
0.255,-56152,3927,0.220508904
0.255,-56152,3927,0.220508904
1.002,-56152,3927,0.220508904
1.259,86914,3927,0.34131127800000005
1.26,86914,3927,0.34131127800000005
2.006,86914,3934,0.34191967600000006
2.262,0,3934,0.0
2.261,0,3934,0.0
3.01,0,3934,0.0
3.264,-72265,3934,0.28429051
3.267,-72265,3934,0.28429051
4.013,-72265,3934,0.28429051
4.266,26855,3934,0.10564757000000001
4.269,26855,3934,0.10564757000000001
5.016,26855,3934,0.10564757000000001
5.27,165038,3934,0.6492594920000001
5.271,165038,3934,0.6492594920000001
6.019,165038,3938,0.6499196440000001
6.272,15624,3938,0.06152731200000001
6.272,15624,3938,0.06152731200000001
7.023,15624,3938,0.06152731200000001
7.274,33203,3938,0.130753414
7.274,33203,3938,0.130753414
8.025,33203,3933,0.13058739900000002
8.276,118164,3933,0.464739012
8.276,118164,3933,0.464739012
9.031,118164,3933,0.464739012
9.277,101562,3933,0.399443346
9.278,101562,3933,0.399443346
10.033,101562,3936,0.399748032
10.28,-6347,3936,0.024981792
10.279,-6347,3936,0.024981792
11.035,-6347,3936,0.024981792
11.281,-26855,3936,0.10570128
11.282,-26855,3936,0.10570128
12.038,-26855,3936,0.10570128
12.284,72265,3936,0.28443504
12.284,72265,3936,0.28443504
13.041,72265,3936,0.28443504
13.286,-39062,3936,0.153748032
13.286,-39062,3936,0.153748032
14.043,-39062,3936,0.153748032
14.288,-65429,3936,0.257528544
14.288,-65429,3936,0.257528544
15.049,-65429,3936,0.257528544
15.291,32226,3936,0.12684153599999998
15.291,32226,3936,0.12684153599999998
16.051,32226,3936,0.12684153599999998
16.294,94726,3934,0.37265208400000005
16.295,94726,3934,0.37265208400000005
17.054,94726,3934,0.37265208400000005
17.297,-55664,3929,0.21870385599999997
17.297,-55664,3929,0.21870385599999997
18.056,-55664,3929,0.21870385599999997
18.299,116210,3934,0.45717014
18.3,116210,3934,0.45717014
19.059,116210,3934,0.45717014
19.302,44921,3934,0.176719214
19.302,44921,3934,0.176719214
20.07,-20507,3934,0.080674538
20.304,-20507,3934,0.080674538
20.305,-20507,3934,0.080674538
21.072,-37109,3934,0.14598680600000002
21.306,-37109,3934,0.14598680600000002
