timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1701947160414.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362682948,10323927094,12420051,17630243,0,0,0,0,601322,24173196800,494724,10794153472,217.5625,218828.703125,168.40625,1770.0625,1872.109375,7.7,4701.0,0.0,4701.0,936957577,517692302,0,3202514444
1701947161414.7832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362691866,10323946942,12420077,17630268,0,0,0,0,601749,24328840704,494731,10794382848,217.59375,218840.0625,168.453125,1770.328125,1872.484375,6.0,4701.0,0.0,4701.0,937041891,517742583,0,3203127419
1701947162414.7727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362714431,10323992133,12420135,17630324,0,0,0,0,601886,24331055104,495274,10798492160,217.6875,218851.28125,168.46875,1770.59375,1873.0,7.4,4701.0,0.0,4701.0,937133522,517795014,0,3203686223
1701947163415.4563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362734150,10324060919,12420202,17630392,0,0,0,0,602022,24333945344,495966,10802403840,217.703125,218862.84375,168.515625,1770.8125,1873.21875,4.1,4701.0,0.0,4701.0,937222733,517845944,0,3204333739
1701947164404.6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362746558,10324086186,12420232,17630417,0,0,0,0,602542,24346688512,496060,10803403264,217.75,218874.40625,168.546875,1771.015625,1873.4375,4.1,4701.0,0.0,4701.0,937337115,517909796,0,3204847050
1701947165405.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362752082,10324100856,12420247,17630431,0,0,0,0,602544,24346819584,496064,10803481088,217.8125,218886.1875,168.578125,1771.15625,1873.515625,2.6,4701.0,0.0,4701.0,937393341,517945026,0,3205211770
1701947166407.7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362761893,10324110611,12420264,17630448,0,0,0,0,602890,24368442880,496110,10803898880,217.828125,218897.703125,168.59375,1771.234375,1873.90625,4.2,4701.0,0.0,4701.0,937447644,517981094,0,3205629525
1701947167405.5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362826231,10324190093,12420411,17630575,0,0,0,0,603123,24430854144,496166,10804660736,217.828125,218909.25,168.59375,1771.328125,1874.296875,4.0,4701.0,0.0,4701.0,937517355,518022434,0,3206106137
1701947168404.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362868671,10324201338,12420537,17630698,0,0,0,0,603124,24430882816,496236,10808007168,217.84375,218921.09375,168.59375,1771.4375,1874.34375,1.4,4701.0,0.0,4701.0,937589193,518065610,0,3206563835
1701947169414.2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362879296,10324209303,12420614,17630787,0,0,0,0,603126,24431046656,496241,10808105472,217.890625,218932.875,168.625,1771.515625,1874.484375,2.5,4701.0,0.0,4701.0,937654096,518105747,0,3206946549
1701947170401.6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362883070,10324215853,12420646,17630845,0,0,0,0,603128,24431243264,496286,10808584704,217.90625,218944.40625,168.65625,1771.640625,1874.640625,2.8,4701.0,0.0,4701.0,937725413,518148778,0,3207415502
1701947171417.2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362883408,10324216826,12420649,17630848,0,0,0,0,603130,24431374336,496327,10809059840,217.96875,218956.390625,168.65625,1771.796875,1874.6875,2.2,4701.0,0.0,4701.0,937789145,518188667,0,3207799655
1701947172408.4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362883801,10324218237,12420654,17630853,0,0,0,0,603133,24431538176,496372,10809543168,218.0,218968.21875,168.703125,1771.921875,1874.734375,2.1,4701.0,0.0,4701.0,937853533,518229060,0,3208239470
1701947173407.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362889398,10324221919,12420673,17630872,0,0,0,0,603135,24431669248,496384,10809784832,218.015625,218980.09375,168.703125,1772.015625,1874.765625,1.2,4701.0,0.0,4701.0,937919234,518269533,0,3208670175
1701947174417.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362889537,10324222198,12420675,17630875,0,0,0,0,603140,24431890432,496422,10810337792,218.0625,218991.859375,168.734375,1772.234374999971,1874.78125,2.6,4701.0,0.0,4701.0,937985870,518310593,0,3209122442
1701947175424.3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362890346,10324227619,12420682,17630886,0,0,0,0,603455,24481415680,496465,10810792448,218.09375,219003.84375,168.734375,1772.312499999971,1874.90625,1.9,4701.0,0.0,4701.0,938058480,518354861,0,3209533695
1701947176403.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362897179,10324234396,12420720,17630922,0,0,0,0,603489,24482296832,496465,10810792448,218.140625,219015.375,168.765625,1772.484374999971,1875.015625,3.0,4701.0,0.0,4701.0,938127605,518396238,0,3210016900
1701947177421.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362899477,10324235672,12420735,17630933,0,0,0,0,603493,24482477056,496546,10811496960,218.203125,219027.375,168.765625,1772.593749999971,1875.09375,2.0,4701.0,0.0,4701.0,938195534,518437538,0,3210416306
1701947178406.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362899855,10324236072,12420740,17630938,0,0,0,0,603507,24482845696,496581,10811759104,218.234375,219038.84375,168.78125,1772.703124999971,1875.328125,3.3,4701.0,0.0,4701.0,938265864,518479469,0,3210862155
1701947179410.2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362902948,10324238102,12420763,17630955,0,0,0,0,603509,24482976768,496621,10812328448,218.265625,219050.625,168.796875,1772.843749999971,1875.40625,2.2,4701.0,0.0,4701.0,938333014,518520334,0,3211273041
1701947180412.3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362903616,10324238393,12420768,17630959,0,0,0,0,603512,24483132416,496622,10812332544,218.3125,219062.390625,168.828125,1773.015624999971,1875.46875,2.6,4701.0,0.0,4701.0,938403190,518562604,0,3211733149
1701947181410.3962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362904114,10324251998,12420775,17630979,0,0,0,0,603517,24483276800,496663,10812750336,218.34375,219074.203125,168.859375,1773.124999999971,1875.546875,2.1,4701.0,0.0,4701.0,938469818,518603256,0,3212129926
1701947182418.4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362905594,10324256377,12420791,17631010,0,0,0,0,603519,24483407872,496694,10813053440,218.390625,219086.09375,168.890625,1773.328124999971,1875.640625,3.1,4701.0,0.0,4701.0,938540682,518645476,0,3212610817
1701947183416.5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362907261,10324258853,12420803,17631022,0,0,0,0,603521,24483538944,496719,10813442560,218.390625,219097.78125,168.90625,1773.390624999971,1875.703125,1.2,4701.0,0.0,4701.0,938610768,518687994,0,3213008033
1701947184403.5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362907402,10324260656,12420805,17631028,0,0,0,0,603523,24483670016,496720,10813446656,218.4375,219109.4375,168.90625,1773.562499999971,1875.796875,2.6,4701.0,0.0,4701.0,938679062,518729012,0,3213441215
1701947185420.3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362908829,10324262408,12420820,17631045,0,0,0,0,603525,24483801088,496742,10813680128,218.46875,219121.5,168.90625,1773.624999999971,1875.9375,1.9,4701.0,0.0,4701.0,938748143,518770640,0,3213860386
1701947186404.7576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362908939,10324262724,12420822,17631049,0,0,0,0,603528,24483948544,496781,10814167552,218.546875,219133.0,168.9375,1773.796874999971,1876.078125,3.5,4701.0,0.0,4701.0,938815995,518811367,0,3214306942
1701947187417.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362909101,10324264052,12420824,17631052,0,0,0,0,603531,24484096000,496818,10814622208,218.578125,219144.953125,168.9375,1773.937499999971,1876.140625,1.9,4701.0,0.0,4701.0,938881841,518851757,0,3214692340
1701947188401.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362911338,10324269146,12420848,17631078,0,0,0,0,603550,24495855616,496818,10814622208,218.609375,219156.3125,168.984375,1774.234374999971,1876.234375,4.0,4701.0,0.0,4701.0,938953418,518894201,0,3215172869
1701947189417.5784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362912014,10324276721,12420856,17631100,0,0,0,0,603570,24496038912,496842,10814913024,218.65625,219168.359375,168.984375,1774.406249999971,1876.296875,2.3,4701.0,0.0,4701.0,939022125,518935967,0,3215551521
1701947190402.2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362912956,10324277994,12420863,17631106,0,0,0,0,603593,24496261120,496877,10815392256,218.703125,219179.8125,169.0,1774.609374999971,1876.359375,2.8,4701.0,0.0,4701.0,939089136,518976094,0,3215974089
1701947191418.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362916288,10324280547,12420890,17631128,0,0,0,0,603595,24496392192,496877,10815392256,218.75,219191.875,169.0,1774.734374999971,1876.4375,2.0,4701.0,0.0,4701.0,939156995,519017168,0,3216391432
1701947192407.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362918383,10324281589,12420902,17631134,0,0,0,0,603596,24496424960,496920,10815842816,218.765625,219203.453125,169.015625,1774.843749999971,1876.578125,2.4,4701.0,0.0,4701.0,939224604,519057755,0,3216853684
1701947193405.3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362918586,10324281942,12420904,17631136,0,0,0,0,603689,24516082688,496962,10816301568,218.796875,219215.109375,169.0625,1774.999999999971,1876.75,3.4,4701.0,0.0,4701.0,939301603,519102759,0,3217267684
1701947194410.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362921895,10324284080,12420931,17631155,0,0,0,0,603700,24516488192,497001,10816801280,218.8125,219226.84375,169.078125,1775.109374999971,1876.921875,2.6,4701.0,0.0,4701.0,939388143,519151752,0,3217765375
1701947195414.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362921895,10324284080,12420931,17631155,0,0,0,0,603703,24516619264,497001,10816801280,218.828125,219238.625,169.078125,1775.218749999971,1877.03125,2.0,4701.0,0.0,4701.0,939487535,519207480,0,3218186530
1701947196400.1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362922388,10324284416,12420937,17631161,0,0,0,0,603706,24516779008,497026,10817075712,218.859375,219250.21875,169.09375,1775.374999999971,1877.09375,2.2,4701.0,0.0,4701.0,939574219,519256483,0,3218641321
1701947197418.1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362922658,10324284718,12420941,17631165,0,0,0,0,603708,24516910080,497057,10817399296,218.890625,219262.421875,169.125,1775.499999999971,1877.140625,1.9,4701.0,0.0,4701.0,939659427,519305307,0,3219043480
1701947198415.3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362926392,10324287148,12420966,17631184,0,0,0,0,603712,24517073920,497094,10817845760,218.9375,219273.96875,169.140625,1775.656249999971,1877.25,2.8,4701.0,0.0,4701.0,939749492,519356291,0,3219508215
1701947199417.0967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362926757,10324287449,12420971,17631188,0,0,0,0,603714,24517204992,497097,10817878528,218.9375,219285.78125,169.15625,1775.718749999971,1877.375,1.7,4701.0,0.0,4701.0,939832576,519404398,0,3219909123
1701947200404.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362926884,10324287449,12420972,17631188,0,0,0,0,603715,24517336064,497120,10818112000,219.03125,219297.4375,169.1875,1775.937499999971,1877.5,3.9,4701.0,0.0,4701.0,939919232,519453822,0,3220365357
1701947201409.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362927101,10324287768,12420976,17631192,0,0,0,0,603717,24517467136,497152,10818501120,219.0625,219309.234375,169.203125,1776.015624999971,1877.625,2.1,4701.0,0.0,4701.0,940001397,519501417,0,3220766019
1701947202401.9783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66362927209,10324287822,12420977,17631193,0,0,0,0,603719,24517598208,497182,10819193344,219.0625,219320.9375,169.21875,1776.187499999971,1877.75,2.6,4701.0,0.0,4701.0,940089405,519551360,0,3221230100
