CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7516,0,26.2C/0.0C,4.23ms,1.04ms,1.75ms,13.86ms,3(DR0,0.53,0.21(W0.32),1.00,19.13/22.88,21.77,1,1.21,0,0,12:05:55.009,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.21ms,0.99ms,1.70ms,13.86ms,3(DR0,0.52,0.18(W0.24),1.00,19.29/23.78,21.76,1,1.21,0,0,12:05:56.009,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.23ms,1.01ms,1.34ms,13.87ms,3(DR0,0.51,0.20(W0.26),1.00,19.12/23.02,21.62,1,1.21,0,0,12:05:57.009,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.25ms,0.60ms,0.78ms,13.86ms,3(DR0,0.45,0.15(W0.19),1.00,19.07/22.85,21.77,1,1.21,0,0,12:05:58.009,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.24ms,0.92ms,1.39ms,13.86ms,3(DR0,0.50,0.17(W0.19),1.00,19.02/23.19,21.83,1,1.21,0,0,12:05:59.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.24ms,1.15ms,1.50ms,13.86ms,3(DR0,0.51,0.15(W0.23),1.00,19.18/22.98,21.74,1,1.21,0,0,12:06:00.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7516,0,26.2C/0.0C,4.23ms,0.92ms,1.61ms,13.86ms,3(DR0,0.52,0.23(W0.27),1.00,18.76/22.51,21.59,1,1.21,0,0,12:06:01.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7516,0,26.2C/0.0C,4.21ms,1.07ms,1.36ms,13.86ms,3(DR0,0.50,0.15(W0.19),1.00,19.04/23.18,21.77,1,1.21,0,0,12:06:02.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7516,0,26.2C/0.0C,4.27ms,0.95ms,1.37ms,13.86ms,3(DR0,0.50,0.15(W0.20),1.00,18.89/22.63,21.65,1,1.21,0,0,12:06:03.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7516,0,26.2C/0.0C,4.09ms,1.07ms,1.37ms,13.86ms,3(DR0,0.48,0.24(W0.30),1.00,19.02/23.28,21.67,1,1.21,0,0,12:06:04.010,old_experiments,Quest-Pro,BeatSaber,replay0.1,Quest-Pro,PopStars-Eas
