Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,52246,4256,0.222358976
1.003,-65917,4256,0.280542752
2.007,-72753,4256,0.309636768
3.012,48828,4253,0.207665484
4.014,67871,4259,0.28906258900000004
5.017,82031,4260,0.34945206
6.022,-164550,4260,0.700983
7.024,-380859,4260,1.62245934
8.027,-611327,4260,2.60425302
9.03,-570312,4260,2.42952912
10.035,-523925,4260,2.2319204999999998
11.038,-549804,4224,2.322372096
12.042,-625487,4224,2.642057088
13.045,-270507,4224,1.142621568
14.047,-164550,4242,0.6980211000000001
15.05,-456542,4242,1.9366511639999997
16.052,-432616,4242,1.835157072
17.055,-249999,4242,1.060495758
18.057,-354492,4242,1.5037550640000001
19.059,-364257,4234,1.542264138
20.061,-269042,4240,1.1407380799999998
21.063,-94726,4240,0.40163824000000004
22.065,-336425,4240,1.4264420000000002
23.068,-282226,4240,1.19663824
24.07,-236328,4241,1.002267048
25.075,-137206,4241,0.581890646
26.077,-290527,4241,1.2321250069999998
27.079,-317870,4237,1.34681519
28.081,-156249,4237,0.662027013
29.083,-244140,4237,1.03442118
30.086,-423827,4237,1.7957549990000001
31.088,-371581,4237,1.574388697
32.09,-272460,4237,1.15441302
33.092,-222656,4237,0.943393472
34.095,-341796,4236,1.4478478559999999
35.096,-304199,4236,1.2885869639999998
36.099,-207031,4238,0.8773973780000001
37.101,-318847,4238,1.351273586
38.103,-94238,4238,0.39938064400000006
39.105,-272460,4241,1.15550286
40.108,-235839,4241,1.000193199
41.111,-257812,4240,1.09312288
42.114,-341796,4240,1.4492150400000001
43.116,-285156,4240,1.2090614400000002
44.119,-268066,4239,1.1363317739999999
45.122,-288085,4239,1.221192315
46.124,-418456,4239,1.7738349839999998
47.127,-256835,4239,1.0887235649999998
48.129,-148437,4239,0.629224443
49.131,-375488,4239,1.591693632
50.133,-262695,4239,1.113564105
51.135,-102539,4239,0.43466282100000003
52.137,-202636,4244,0.8599871839999998
53.139,-418945,4232,1.77297524
54.141,-449706,4231,1.902706086
55.144,-243163,4231,1.028822653
56.146,-532226,4231,2.251848206
57.149,-407226,4231,1.7229732059999998
58.154,-266601,4231,1.127988831
59.156,-209960,4231,0.88834076
60.158,-366699,4234,1.552603566
61.161,-430663,4234,1.8234271420000001
62.163,-312499,4234,1.3231207660000002
63.166,-367675,4234,1.5567359500000002
64.168,-311523,4236,1.3196114280000002
65.17,-320800,4236,1.3589088
66.172,-140136,4243,0.594597048
67.174,-246581,4243,1.046243183
68.176,-89843,4241,0.38102416299999997
69.178,-55175,4241,0.23399717499999995
70.181,-237792,4241,1.008475872
71.183,-211425,4241,0.8966534249999999
72.185,-112304,4241,0.476281264
73.188,-172363,4241,0.7309914829999999
74.191,-256347,4244,1.087936668
75.193,-278808,4244,1.183261152
76.195,-115234,4239,0.4884769259999999
77.197,-240722,4239,1.020420558
78.199,-136230,4239,0.5774789699999999
79.202,-216308,4239,0.916929612
80.204,-155273,4239,0.658202247
81.206,-238281,4239,1.0100731589999998
82.209,-395019,4239,1.674485541
83.212,-341308,4239,1.446804612
