timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/5/2023 10:42:27 PM,320446016.0,525000000.0,19.173,179.144,14.798,1.052,34.133,31.163,6.649,5.059,1756418560.0,775728768.0,1527021568.0,89625112.0,4815404.0,83.57,12.885,47.362,50.636,28.757,74.018,83.687,0.0,0.0,1.19,3852741.25,396637056.0,0.493,23.263,99.879,3.071,98.81,1674501760.0,91206541312.0,56583909376.0,56489074688.0,6378098176.0,0.27,1.609,0.461,47.495,3.571,3980730.0,6.8,0.876,0.968,7583375.5,459.459,0.192,99.782,0.001,0.046,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:28 PM,300727904.0,525000000.0,21.371,217.104,17.345,1.142,32.249,31.772,7.216,6.064,1742653056.0,744150976.0,1531546752.0,87665056.0,2617244.25,81.564,13.931,44.032,47.313,26.256,70.547,85.639,0.0,0.0,1.294,3782884.0,388211232.0,0.495,23.174,99.539,3.084,98.706,1569895168.0,74772586496.0,42609811456.0,54057226240.0,5134159360.0,0.288,1.594,0.521,41.541,3.063,3900860.0,7.306,0.996,0.97,7481186.5,440.139,0.193,99.809,0.002,0.01,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:29 PM,335281760.0,525000000.0,19.48,218.93,14.386,0.94,36.095,30.822,6.999,5.784,1750923520.0,773026048.0,1522553600.0,83074168.0,9386429.0,82.734,12.837,48.86,51.982,30.226,73.459,82.633,0.0,0.0,1.103,3602258.25,369841408.0,0.488,23.062,99.621,3.048,98.897,1683557888.0,95862464512.0,62176366592.0,53712830464.0,6829683200.0,0.255,1.534,0.459,49.867,3.825,3754792.5,8.743,1.219,0.959,7099191.5,497.485,0.228,99.749,0.002,0.046,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:30 PM,259787872.0,525000000.0,23.855,184.045,11.453,1.298,27.491,32.106,7.141,6.629,1637520128.0,669126016.0,1438589952.0,81885256.0,2576075.25,80.224,15.575,39.04,42.577,21.823,67.557,87.02,0.0,0.0,1.527,3585209.75,368189824.0,0.49,22.84,99.638,3.059,98.473,1323552768.0,53404008448.0,25310803968.0,49317908480.0,3434249728.0,0.319,1.71,0.567,35.059,2.409,3720249.25,7.358,0.84,0.964,7080705.0,391.2,0.229,99.773,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:31 PM,193717792.0,525000000.0,36.309,138.776,16.03,0.626,41.807,31.277,7.046,10.785,1662990208.0,688390080.0,1524493824.0,58487732.0,1367777.875,75.124,16.1,34.539,37.545,33.78,73.397,84.256,0.0,0.0,1.171,2731630.5,166858000.0,0.64,21.411,59.435,1.648,98.829,985273856.0,31952840704.0,13261224960.0,30519109632.0,3432061184.0,0.373,1.968,0.824,27.405,3.298,2771241.0,31.513,0.877,0.986,5532649.0,525.145,0.283,99.677,0.002,0.054,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:32 PM,174120352.0,525000000.0,43.386,139.352,104.153,0.543,39.578,31.235,7.054,10.615,1889728896.0,1156379008.0,1744970752.0,54376244.0,9239591.0,70.387,16.444,33.255,36.149,32.394,68.88,82.957,0.0,0.0,1.183,2546477.5,154582192.0,0.631,21.354,59.065,1.639,98.817,902251904.0,29067333632.0,12131814400.0,27651786752.0,3109626368.0,0.37,1.959,0.832,27.24,3.263,2570077.75,31.825,0.897,0.991,5160411.5,520.965,0.293,99.709,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:33 PM,177930128.0,525000000.0,45.583,139.243,88.782,0.566,39.596,31.233,7.056,10.946,1971542400.0,1218129408.0,1828551424.0,54443660.0,8115849.0,70.47,16.41,33.5,36.415,32.633,68.902,82.807,0.0,0.0,1.182,2544477.75,154460800.0,0.631,21.397,59.065,1.639,98.818,901543488.0,29044506624.0,12122287104.0,27630071808.0,3107184384.0,0.37,1.959,0.832,27.24,3.263,2568059.5,31.825,0.897,0.991,5156359.0,520.965,0.293,99.709,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:34 PM,188146640.0,525000000.0,44.855,154.237,136.416,0.555,39.603,31.262,6.982,10.94,2076713856.0,1295293696.0,1924199936.0,58444612.0,9263609.0,70.048,16.235,33.452,36.382,32.652,68.495,83.083,0.0,0.0,1.18,2731655.5,165762112.0,0.63,21.395,59.043,1.639,98.82,961494592.0,31132022784.0,12957195264.0,29676687360.0,3336484096.0,0.372,1.967,0.827,27.305,3.278,2758612.0,31.735,0.953,0.99,5540509.0,516.306,0.274,99.753,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:35 PM,172448640.0,525000000.0,44.694,139.423,70.321,0.588,38.55,31.306,7.04,8.826,1990523136.0,1214096640.0,1847330432.0,54528392.0,8120016.0,69.922,14.568,34.844,37.877,33.943,68.329,82.17,0.0,0.0,1.199,2547782.5,154661408.0,0.631,21.402,59.065,1.639,98.801,902714304.0,29082230784.0,12138031104.0,27665956864.0,3111219968.0,0.371,1.959,0.832,27.24,3.263,2571394.75,31.825,0.897,0.991,5163056.0,520.965,0.293,99.709,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
12/5/2023 10:42:36 PM,179365152.0,525000000.0,43.995,154.124,73.156,0.591,38.567,31.377,6.732,8.584,2066599936.0,1261642624.0,1915559040.0,58689276.0,8134221.0,69.617,14.073,35.229,38.332,34.728,67.998,82.173,0.0,0.0,1.217,2729457.75,165638464.0,0.63,21.502,59.046,1.639,98.783,939122240.0,30834198528.0,12672737280.0,29654863872.0,3334030592.0,0.378,1.987,0.81,27.679,3.356,2756464.0,31.734,0.951,0.99,5536375.0,504.688,0.277,99.725,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,True,False,0
