timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/7/2023 1:39:24 PM,324908736.0,525000000.0,23.399,189.058,13.567,1.106,32.602,31.053,7.008,8.489,1752228096.0,776825216.0,1536787968.0,88108360.0,4832252.0,82.726,16.118,43.102,46.362,24.879,72.394,84.975,0.0,0.0,1.288,3853208.25,395757984.0,0.489,22.866,99.662,3.047,98.712,1547218432.0,77337149440.0,44933894144.0,54519615488.0,5143446016.0,0.288,1.74,0.511,43.64,3.109,3983598.75,8.33,1.051,0.967,7585230.0,430.537,0.18,99.885,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:25 PM,318695552.0,525000000.0,21.468,184.132,16.325,1.1,31.659,31.012,6.896,6.728,1709678080.0,745764736.0,1498193536.0,87841816.0,3700963.0,83.318,14.246,45.048,48.385,26.14,72.608,84.522,0.0,0.0,1.276,3852230.5,395401280.0,0.49,22.803,99.592,3.05,98.724,1557604480.0,79995551744.0,47178539008.0,54931255296.0,5351383552.0,0.287,1.752,0.496,44.802,3.212,3982228.0,8.422,0.901,0.967,7597425.0,434.116,0.178,99.854,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:26 PM,305143104.0,525000000.0,20.489,184.181,8.035,1.099,31.174,30.896,7.001,5.526,1663216384.0,726145472.0,1459629312.0,82679184.0,1454016.5,83.495,13.308,46.23,49.59,26.789,72.724,83.816,0.0,0.0,1.25,3641542.25,374139424.0,0.483,22.704,99.726,3.016,98.75,1513324032.0,78877712384.0,47317344256.0,52572360704.0,5274185728.0,0.282,1.746,0.497,45.54,3.263,3824080.75,9.962,1.025,0.952,7165606.5,446.441,0.21,99.773,0.002,0.023,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:27 PM,298217568.0,525000000.0,21.887,183.159,12.003,1.124,31.4,30.851,7.063,6.87,1636180224.0,720550720.0,1437462528.0,82146608.0,1445943.0,83.366,13.963,45.599,48.934,26.37,72.623,84.096,0.0,0.0,1.262,3593324.0,369129664.0,0.487,22.861,99.688,3.038,98.738,1484316928.0,76322676736.0,45424586752.0,51609911296.0,5093133824.0,0.283,1.743,0.504,44.929,3.213,3739544.0,8.895,1.08,0.961,7077911.0,442.889,0.187,99.805,0.002,0.013,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:28 PM,302308576.0,525000000.0,22.502,183.681,12.873,1.083,31.605,30.889,9.173,6.266,1713856128.0,896773952.0,1520225408.0,79569112.0,329156.406,82.747,14.893,45.106,48.425,25.915,72.272,83.418,0.0,0.0,1.297,3761182.0,382589216.0,0.478,21.155,98.704,3.016,98.703,1539062400.0,76731334656.0,45515636736.0,52261740544.0,5084827136.0,0.282,1.723,0.536,43.615,3.095,3894782.5,8.522,1.112,0.966,7420078.5,439.122,0.183,99.849,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:29 PM,295803360.0,525000000.0,19.418,164.254,21.398,1.078,30.341,30.593,10.531,5.05,1523840000.0,760133888.0,1320401536.0,74218728.0,8161329.5,80.868,13.824,45.424,48.831,26.231,70.702,83.168,0.0,0.0,1.305,3654729.5,375662432.0,0.481,20.308,99.785,3.003,98.695,1475318912.0,74675142656.0,43870121984.0,51667066880.0,4971492352.0,0.288,1.742,0.514,44.133,3.148,3830531.0,9.787,0.962,0.954,7180017.0,434.565,0.189,99.812,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:30 PM,288915232.0,525000000.0,22.523,194.027,24.708,1.079,30.395,31.2,8.605,6.521,1665896192.0,860245312.0,1461620096.0,76828616.0,8210998.0,80.566,14.479,43.981,47.348,25.308,70.503,84.266,0.0,0.0,1.31,3621923.25,372161984.0,0.486,21.212,99.723,3.03,98.69,1452684288.0,71509188608.0,41112788992.0,51306303488.0,4743245824.0,0.292,1.737,0.523,42.909,3.048,3775194.75,8.697,0.969,0.959,7128465.0,429.021,0.192,99.809,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:31 PM,306075808.0,525000000.0,23.932,193.067,20.42,1.081,31.379,31.273,8.294,7.539,1791886080.0,914933824.0,1584328960.0,82279728.0,3699275.25,82.183,15.523,43.277,46.616,24.838,71.937,84.73,0.0,0.0,1.312,3848699.0,395308992.0,0.488,21.379,99.671,3.042,98.688,1547185024.0,75052793856.0,42765312000.0,54644027392.0,4965468160.0,0.293,1.733,0.529,42.296,2.997,4001865.0,8.17,0.999,0.962,7585409.0,428.472,0.18,99.825,0.002,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:32 PM,294593184.0,525000000.0,22.366,174.23,5.409,1.139,31.002,30.868,7.669,5.887,1751716480.0,873883648.0,1549569920.0,81026008.0,1436214.5,82.977,14.632,44.411,47.834,25.631,72.227,84.15,0.0,0.0,1.306,3717316.0,385799808.0,0.5,21.797,100.717,3.068,98.694,1512875008.0,75077984256.0,42789773312.0,54589538304.0,4993444352.0,0.295,1.749,0.503,43.211,3.079,3886578.25,8.486,0.919,0.956,7323662.5,432.588,0.21,99.783,0.001,0.012,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
12/7/2023 1:39:33 PM,284541248.0,525000000.0,20.973,109.128,2.05,1.225,30.414,31.396,6.426,4.841,1791311744.0,803904576.0,1576839552.0,93053216.0,195557.984,84.498,13.352,44.412,47.871,25.743,73.497,85.044,0.0,0.0,1.342,4060268.5,415788000.0,0.485,22.918,99.362,3.042,98.658,1546776192.0,77197721600.0,43643473920.0,56798191616.0,5155154944.0,0.298,1.762,0.488,43.374,3.104,4194040.0,7.816,0.871,0.968,7998214.5,407.408,0.177,99.824,0.001,0.0,Quest-Pro,BeatSaber,PopStars-Medium,False,False,0.1
