timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/9/2023 7:03:44 PM,147694272.0,525000000.0,48.51,92.312,152.62,1.253,47.609,31.185,7.447,9.905,1807732480.0,881226752.0,1714509952.0,42252936.0,3456478.75,88.629,13.324,37.053,40.202,35.814,88.629,89.39,0.0,0.0,0.798,902861.688,106342072.0,1.996,46.799,114.789,2.994,99.202,966264512.0,30580502528.0,12965994496.0,28739459072.0,3244777728.0,0.366,1.938,0.87,26.862,3.189,884389.5,0.146,0.125,1.021,1748004.0,1136.352,0.252,99.749,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:45 PM,145118592.0,525000000.0,48.969,112.67,179.82,1.271,47.483,31.092,8.681,11.447,1848822912.0,608828800.0,1756096896.0,38696312.0,5744863.0,85.929,12.072,38.871,42.119,36.935,85.929,88.725,0.0,0.0,0.806,848961.5,99946712.0,1.995,45.581,114.736,2.993,99.194,945303360.0,29179729920.0,12627972096.0,27005499392.0,3049007872.0,0.357,1.901,0.896,26.3,3.069,831590.812,0.19,0.163,1.021,1643057.75,1182.565,0.265,99.736,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:46 PM,142935744.0,525000000.0,50.808,115.994,208.18,1.276,48.891,31.294,7.999,12.226,1998871936.0,662434560.0,1900612480.0,40756324.0,4572953.5,86.907,13.459,37.969,41.178,36.677,86.907,89.052,0.0,0.0,0.813,896219.188,105517640.0,1.995,45.476,114.744,2.993,99.187,962399936.0,30417485824.0,12897185792.0,28585017344.0,3227792640.0,0.367,1.936,0.868,26.848,3.187,880685.625,0.184,0.158,1.018,1734479.875,1138.234,0.288,99.671,0.001,0.054,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:47 PM,134780992.0,525000000.0,33.285,148.416,207.41,1.324,47.229,31.279,13.849,7.394,1293984512.0,400845440.0,1203428864.0,34173440.0,8085210.5,83.026,10.579,40.825,44.261,38.862,83.026,81.632,0.0,0.0,0.839,878739.438,103402184.0,1.995,38.889,114.68,2.991,99.161,956002112.0,29579638784.0,12783191040.0,27405502464.0,3093695744.0,0.359,1.905,0.892,26.333,3.076,845336.062,0.246,0.211,1.04,1700289.375,1176.336,0.265,99.782,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:48 PM,139185024.0,525000000.0,48.714,89.461,131.77,1.356,49.846,31.238,8.419,10.57,1930174080.0,608414912.0,1843036800.0,42045028.0,1282516.125,89.434,12.097,39.294,42.65,37.993,89.434,88.189,0.0,0.0,0.831,923518.188,108783264.0,1.996,45.527,114.798,2.994,99.169,987436288.0,31259269120.0,13257682944.0,29371666432.0,3315753472.0,0.366,1.939,0.87,26.85,3.186,903260.188,0.139,0.119,1.022,1788071.5,1135.412,0.252,99.787,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:49 PM,113657096.0,525000000.0,37.071,69.687,1081.539,1.366,50.354,31.545,11.324,8.92,1357548416.0,386597120.0,1266744064.0,34345500.0,7992245.0,85.647,10.578,40.592,44.093,39.809,85.647,82.905,0.0,0.0,0.853,861956.562,101556592.0,1.997,39.846,114.826,2.995,99.147,891420800.0,28820594688.0,12002086912.0,27440721920.0,3098146048.0,0.377,1.971,0.843,27.351,3.294,844256.125,0.116,0.099,1.021,1668999.875,1098.104,0.275,99.726,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:50 PM,126392072.0,525000000.0,39.894,143.941,690.599,1.272,46.579,31.51,9.144,9.781,1545719936.0,496336000.0,1441771648.0,36704300.0,13706496.0,80.119,10.898,39.566,42.978,38.803,80.119,85.779,0.0,0.0,0.837,860547.375,101267744.0,1.994,42.652,114.687,2.991,99.163,888886336.0,28738623488.0,11967950848.0,27362676736.0,3089334528.0,0.377,1.971,0.844,27.351,3.294,843046.125,0.239,0.205,1.021,1665146.375,1097.096,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:51 PM,117770824.0,525000000.0,34.987,74.643,864.851,1.376,50.078,31.39,13.473,8.036,1370386560.0,366397664.0,1278108672.0,32718798.0,6875294.5,86.424,10.55,40.837,44.292,39.29,86.424,80.881,0.0,0.0,0.828,877196.812,103296544.0,1.995,37.299,114.764,2.993,99.172,964995200.0,30377820160.0,12944479232.0,28443195392.0,3211742464.0,0.367,1.931,0.87,26.694,3.156,874579.312,0.119,0.102,1.003,1697963.375,1147.601,0.296,99.71,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:52 PM,123218624.0,525000000.0,42.398,134.36,420.714,1.29,47.944,31.435,9.039,10.019,1617801216.0,495236320.0,1520593792.0,37899920.0,9248777.0,82.904,10.824,39.811,43.243,39.043,82.904,86.252,0.0,0.0,0.843,862633.938,101529688.0,1.995,43.935,114.706,2.992,99.157,891185472.0,28812959744.0,11998908416.0,27433453568.0,3097325568.0,0.376,1.971,0.845,27.351,3.294,845067.562,0.223,0.191,1.021,1669334.125,1097.23,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
12/9/2023 7:03:53 PM,128679912.0,525000000.0,47.751,99.592,644.681,1.307,48.841,31.421,7.918,11.241,1794195968.0,566308416.0,1699878528.0,39308356.0,6924583.5,85.763,12.076,38.867,42.218,38.117,85.763,88.472,0.0,0.0,0.838,862714.688,101596624.0,1.996,45.564,114.77,2.993,99.162,891772544.0,28831956992.0,12006818816.0,27451539456.0,3099367424.0,0.376,1.971,0.846,27.351,3.294,845067.0,0.165,0.141,1.021,1670016.375,1097.7,0.275,99.726,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,True,0
