timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/9/2023 7:10:40 PM,144092560.0,490000000.0,6.671,74.585,3.374,3.493,0.671,23.775,3.793,0.006,178857088.0,260719392.0,36622808.0,56443416.0,133656.391,74.695,12.327,49.457,55.72,0.787,47.994,74.704,0.0,0.0,10.675,6365157.0,1419684480.0,0.0,8.868,221.851,1.189,89.325,616973504.0,27877255168.0,11773944832.0,32102840320.0,51888796.0,0.095,1.362,0.014,41.411,0.077,7416488.0,1.667,0.144,0.858,8499463.0,157.834,0.002,99.745,0.002,0.256,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:41 PM,161760416.0,490000000.0,6.1,74.648,2.802,2.557,0.773,24.319,2.432,0.002,192940672.0,283861216.0,52734728.0,50980768.0,133768.5,74.662,13.726,44.707,50.047,0.723,48.078,75.902,0.0,0.0,9.02,6327499.0,1339561216.0,0.0,8.057,210.449,1.256,90.98,797041600.0,30044272640.0,12834391040.0,34306187264.0,56788552.0,0.084,1.169,0.011,34.683,0.066,7285675.5,3.314,0.195,0.868,8857824.0,201.25,0.002,99.797,0.002,0.197,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:42 PM,172942896.0,490000000.0,5.925,74.638,2.678,2.843,0.967,24.745,2.135,0.014,210919744.0,278970400.0,57289100.0,60181944.0,133751.094,75.202,15.534,39.693,44.315,0.715,47.67,74.83,0.0,0.0,7.95,6485475.5,1338311552.0,0.0,9.279,205.108,1.247,92.05,895319296.0,28415971328.0,12302738432.0,32105801728.0,60331616.0,0.076,1.012,0.01,29.277,0.062,7461480.0,3.631,0.179,0.869,9237713.0,218.076,0.002,99.765,0.002,0.236,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:43 PM,170933184.0,490000000.0,5.798,69.573,2.638,1.44,0.873,25.782,1.695,0.008,199745136.0,281705280.0,81684088.0,37288156.0,124675.516,74.795,15.106,40.171,44.37,0.782,48.23,76.818,0.0,0.0,5.297,4392983.0,826901632.0,0.0,8.488,186.879,1.353,94.703,920442944.0,29234745344.0,12682434560.0,32961929216.0,71347112.0,0.08,1.013,0.011,29.408,0.072,5084920.5,20.855,0.535,0.864,6787103.0,343.697,0.002,99.936,0.002,0.018,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:44 PM,224791408.0,525000000.0,18.66,142.576,131.764,0.457,18.075,25.202,33.196,4.872,1175366272.0,404927776.0,1048218240.0,42730344.0,2475662.25,81.336,13.0,52.367,55.576,15.999,68.885,84.572,0.001,0.0,1.199,2513695.5,257448560.0,0.008,16.999,99.373,3.045,98.801,1234849920.0,60548014080.0,43315990528.0,30030243840.0,2216903168.0,0.138,1.282,0.771,45.248,1.72,2705248.0,39.3,1.096,0.929,4965552.5,773.978,0.26,99.763,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:45 PM,235000544.0,525000000.0,26.446,149.261,128.831,1.361,29.722,31.869,7.293,6.864,1704731264.0,720390464.0,1503000320.0,83053160.0,5884469.0,80.354,15.562,38.547,41.896,24.364,72.112,86.056,0.0,0.0,1.575,3649184.75,351677120.0,0.481,22.759,93.618,2.754,98.425,1339262592.0,49242796032.0,24060319744.0,43258527744.0,3553211904.0,0.313,1.693,0.565,31.657,2.462,3831134.0,7.825,0.793,0.953,7181607.5,388.89,0.214,99.788,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:46 PM,235291760.0,525000000.0,25.995,189.068,168.417,1.276,32.137,31.175,8.29,6.211,1768107392.0,798415360.0,1562990464.0,84304536.0,3709718.0,80.343,13.571,42.405,45.569,28.456,75.46,83.626,0.001,0.0,1.489,3809327.25,344369984.0,0.461,22.131,87.879,2.523,98.511,1489456256.0,57067552768.0,32800147456.0,39805661184.0,4364572160.0,0.287,1.644,0.582,33.04,2.736,3978841.75,7.045,0.842,0.957,7470017.0,411.336,0.198,99.803,0.002,0.009,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:47 PM,249355376.0,525000000.0,24.377,188.831,124.168,1.363,30.864,31.894,8.887,5.419,1725129088.0,743796608.0,1505374592.0,86171096.0,9314488.0,78.038,13.669,40.124,43.381,27.505,73.155,83.445,0.0,0.0,1.603,3967017.5,362764288.0,0.474,21.722,88.918,2.527,98.397,1496366848.0,52684861440.0,27680440320.0,41804238848.0,4102300672.0,0.304,1.649,0.581,30.174,2.548,4198216.0,5.646,0.858,0.945,7778766.5,390.052,0.197,99.805,0.002,0.007,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:48 PM,248108016.0,525000000.0,22.612,179.186,207.855,1.326,31.89,31.881,8.055,4.858,1621730304.0,704703872.0,1404880512.0,83777376.0,8188071.0,78.868,13.306,41.762,45.055,28.818,74.098,82.741,0.0,0.0,1.539,3814227.0,351120000.0,0.482,21.964,89.526,2.529,98.461,1449693952.0,55826862080.0,30582749184.0,41735929856.0,4376146432.0,0.304,1.685,0.527,32.955,2.803,4060826.5,7.52,0.799,0.939,7471587.0,396.641,0.227,99.785,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
12/9/2023 7:10:49 PM,252968752.0,525000000.0,22.516,174.153,150.987,1.275,32.977,31.44,8.177,5.328,1597446400.0,687175488.0,1387176832.0,81506416.0,7053039.0,79.946,12.973,43.654,46.86,29.671,75.116,82.348,0.0,0.0,1.456,3706941.5,339018688.0,0.473,21.988,88.93,2.525,98.544,1447774592.0,59982327808.0,35240091648.0,40196014080.0,4644228096.0,0.29,1.675,0.523,35.614,2.989,3921806.0,8.447,0.837,0.945,7259454.5,414.683,0.2,99.801,0.002,0.011,Quest-Pro,Phasmophobia,Jenga,False,True,0.0
