CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.61ms,0.74ms,0.50ms,13.10ms,2(DR0,0.37,0.12(W0.25),1.00,19.16/23.15,22.12,1,1.21,0,0,19:14:49.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.62ms,0.79ms,0.63ms,13.12ms,2(DR0,0.38,0.27(W0.35),1.00,18.93/23.54,22.53,1,1.21,0,0,19:14:50.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.50ms,0.81ms,0.55ms,13.88ms,2(DR0,0.38,0.16(W0.21),1.00,19.38/23.08,22.26,1,1.21,0,0,19:14:51.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8150,0,29.2C/0.0C,3.61ms,1.04ms,0.52ms,13.91ms,2(DR0,0.37,0.25(W0.27),1.00,18.91/23.80,22.15,1,1.21,0,0,19:14:52.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8150,0,29.2C/0.0C,3.62ms,0.80ms,0.64ms,13.82ms,2(DR0,0.39,0.14(W0.18),1.00,18.62/22.91,21.68,1,1.21,0,0,19:14:53.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8150,0,29.2C/0.0C,3.44ms,0.82ms,0.60ms,13.11ms,2(DR0,0.37,0.25(W0.29),1.00,18.57/23.44,21.72,1,1.21,0,0,19:14:54.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8150,0,29.2C/0.0C,3.45ms,0.82ms,0.47ms,13.11ms,2(DR0,0.36,0.21(W0.24),1.00,18.67/24.05,21.96,1,1.21,0,0,19:14:55.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8150,0,29.2C/0.0C,3.39ms,0.75ms,0.62ms,13.12ms,2(DR0,0.36,0.15(W0.20),1.00,18.56/23.89,22.47,1,1.21,0,0,19:14:56.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8150,0,29.2C/0.0C,3.44ms,0.71ms,0.59ms,13.77ms,2(DR0,0.37,0.16(W0.24),1.00,19.15/24.25,22.43,1,1.21,0,0,19:14:57.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.41ms,0.70ms,0.53ms,13.90ms,2(DR0,0.35,0.21(W0.26),1.00,18.86/23.96,22.26,1,1.21,0,0,19:14:58.018,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.43ms,0.97ms,0.65ms,13.64ms,2(DR0,0.38,0.09(W0.11),1.00,18.73/23.25,21.90,1,1.21,0,0,19:14:59.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.43ms,0.82ms,0.60ms,13.10ms,2(DR0,0.37,0.15(W0.19),1.00,18.54/22.46,21.44,1,1.21,0,0,19:15:00.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.43ms,0.96ms,0.51ms,13.10ms,2(DR0,0.38,0.12(W0.15),1.00,18.40/22.36,21.23,1,1.21,0,0,19:15:01.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.46ms,0.95ms,0.54ms,13.11ms,2(DR0,0.38,0.15(W0.19),1.00,18.36/22.50,21.29,1,1.21,0,0,19:15:02.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.39ms,0.78ms,0.66ms,13.10ms,2(DR0,0.37,0.15(W0.18),1.00,18.23/22.50,21.15,1,1.21,0,0,19:15:03.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8150,0,29.2C/0.0C,3.38ms,0.83ms,0.68ms,13.11ms,2(DR0,0.37,0.09(W0.11),1.00,18.43/22.16,21.07,1,1.21,0,0,19:15:04.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8140,0,29.0C/0.0C,3.37ms,0.78ms,0.61ms,13.11ms,2(DR0,0.37,0.24(W0.35),1.00,18.39/22.73,21.03,1,1.21,0,0,19:15:05.026,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8140,0,29.0C/0.0C,3.39ms,0.86ms,0.53ms,13.11ms,2(DR0,0.36,0.12(W0.15),1.00,18.30/22.23,21.03,1,1.21,0,0,19:15:06.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8140,0,29.0C/0.0C,3.38ms,0.81ms,0.65ms,13.11ms,2(DR0,0.37,0.15(W0.19),1.00,18.40/22.65,21.26,1,1.21,0,0,19:15:07.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8140,0,29.0C/0.0C,3.49ms,0.79ms,0.63ms,13.38ms,2(DR0,0.38,0.26(W0.38),1.00,18.90/22.88,21.48,1,1.21,0,0,19:15:08.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8140,0,29.0C/0.0C,3.48ms,0.74ms,0.52ms,13.90ms,2(DR0,0.36,0.08(W0.19),1.00,18.69/22.54,21.31,1,1.21,0,0,19:15:09.019,old_experiments,Quest-Pro,Phasmophobia-W,replay0.1,Quest-Pro,Jeng
