timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/9/2023 6:39:49 PM,156307072.0,525000000.0,52.653,139.273,23.293,1.116,49.244,31.391,7.079,12.09,2089872512.0,1001857088.0,1996787200.0,40460020.0,3618857.25,84.782,17.672,33.315,36.188,32.672,84.782,88.277,0.0,0.0,0.796,863977.062,101507384.0,1.99,46.83,114.503,2.986,99.204,890774656.0,28799674368.0,11993374720.0,27420803072.0,3095897088.0,0.375,1.971,0.847,27.351,3.294,845314.562,0.231,0.198,1.022,1668624.0,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:50 PM,171719632.0,525000000.0,51.394,150.85,28.864,1.154,47.619,31.354,7.103,11.663,2237898496.0,1061480640.0,2131086208.0,44965404.0,5763972.5,83.576,16.259,34.687,37.678,34.018,83.576,88.736,0.0,0.0,0.797,965914.25,113491840.0,1.991,46.552,114.511,2.986,99.203,995943680.0,32199903232.0,13409371136.0,30658236416.0,3461413888.0,0.374,1.971,0.847,27.351,3.294,945038.625,0.223,0.192,1.022,1865571.5,1096.469,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:51 PM,143419088.0,525000000.0,33.506,139.36,39.089,1.348,49.123,31.61,11.313,7.942,1219750400.0,481903904.0,1131832448.0,35196340.0,3621119.75,82.842,12.93,39.077,42.447,38.323,82.842,83.253,0.0,0.0,0.857,864517.25,101570848.0,1.99,40.712,114.503,2.986,99.143,891331584.0,28817680384.0,12000873472.0,27437948928.0,3097832960.0,0.377,1.971,0.843,27.351,3.294,845843.062,0.231,0.198,1.022,1669667.375,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:52 PM,153717360.0,525000000.0,46.035,144.362,20.625,1.245,48.873,31.537,6.97,11.276,1898333952.0,661840000.0,1801713792.0,42854816.0,2506685.0,84.438,14.985,36.511,39.707,36.341,84.438,88.629,0.0,0.0,0.839,925052.875,108705152.0,1.991,46.327,114.526,2.986,99.161,920307264.0,30430590976.0,12435866624.0,29359812608.0,3314817536.0,0.384,2.006,0.82,27.874,3.408,905111.0,0.223,0.191,1.022,1786785.625,1057.962,0.3,99.702,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:53 PM,151754576.0,525000000.0,44.078,154.173,31.582,1.223,48.504,31.43,7.871,11.512,1801412096.0,648596352.0,1698192256.0,42252628.0,7004970.5,82.153,14.773,37.26,40.484,36.663,82.153,87.424,0.0,0.0,0.85,926687.25,108879656.0,1.991,45.595,114.508,2.986,99.15,947658048.0,30805721088.0,12775092224.0,29418393600.0,3321431552.0,0.376,1.979,0.84,27.478,3.321,906734.312,0.23,0.197,1.022,1789954.875,1087.346,0.258,99.743,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:54 PM,124658304.0,525000000.0,46.899,69.698,183.452,1.224,48.647,31.461,7.666,11.664,1789651456.0,639791616.0,1690567040.0,39707448.0,7993488.0,83.709,14.602,37.349,40.57,36.628,83.709,88.006,0.0,0.0,0.838,863763.438,101596920.0,1.993,45.97,114.632,2.989,99.162,891559424.0,28825077760.0,12003954688.0,27444992000.0,3098628096.0,0.375,1.971,0.846,27.351,3.294,844945.062,0.115,0.099,1.022,1669259.625,1097.35,0.275,99.726,0.001,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:55 PM,158870224.0,525000000.0,45.417,154.149,87.77,1.149,47.002,31.311,8.259,12.474,1921470080.0,692967616.0,1810666240.0,42637312.0,10381104.0,80.643,15.297,36.633,39.747,35.408,80.643,87.769,0.0,0.0,0.807,926794.75,108865704.0,1.99,46.005,114.48,2.985,99.193,988941504.0,31298160640.0,13270278144.0,29413912576.0,3320925696.0,0.366,1.938,0.87,26.862,3.189,906735.5,0.238,0.204,1.022,1789741.875,1134.745,0.253,99.749,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:56 PM,143988320.0,525000000.0,43.986,139.374,60.957,1.212,47.438,31.357,7.77,11.076,1734861568.0,604070400.0,1636735744.0,39556764.0,6993236.0,81.923,14.174,37.013,40.205,36.299,81.923,88.106,0.0,0.0,0.836,864607.375,101581432.0,1.99,45.751,114.503,2.986,99.164,891424448.0,28820684800.0,12002124800.0,27440807936.0,3098155776.0,0.374,1.971,0.846,27.351,3.294,845931.25,0.231,0.198,1.022,1669841.375,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:57 PM,152568928.0,525000000.0,46.811,134.293,45.686,1.17,48.258,31.202,8.127,12.88,1843726848.0,653179136.0,1750427776.0,39786320.0,3609790.25,84.059,16.538,35.603,38.61,34.134,84.059,88.492,0.0,0.0,0.799,864109.5,101506568.0,1.99,46.043,114.484,2.985,99.201,939081216.0,29389387776.0,12583802880.0,27419637760.0,3095765760.0,0.362,1.922,0.882,26.58,3.129,845278.625,0.222,0.191,1.022,1668493.5,1155.875,0.268,99.752,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:58 PM,145934896.0,525000000.0,43.476,139.374,65.759,1.188,47.65,31.443,7.862,11.883,1705642368.0,592064832.0,1605367040.0,39445820.0,8117132.0,81.41,15.175,36.408,39.548,35.706,81.41,87.915,0.0,0.0,0.822,864605.562,101581224.0,1.99,45.623,114.503,2.986,99.178,891422528.0,28820625408.0,12002099200.0,27440750592.0,3098149376.0,0.374,1.971,0.846,27.351,3.294,845929.5,0.231,0.198,1.022,1669837.875,1096.41,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:39:59 PM,155488496.0,525000000.0,44.346,154.091,108.47,1.173,47.913,31.299,8.31,12.536,1851772160.0,636799360.0,1745878656.0,42152832.0,8132485.5,81.726,15.661,36.434,39.55,35.425,81.726,87.779,0.0,0.0,0.827,926382.875,108823448.0,1.99,45.503,114.486,2.985,99.173,974761664.0,31120617472.0,13099587584.0,29402734592.0,3319663616.0,0.368,1.951,0.86,27.062,3.231,906371.0,0.238,0.204,1.022,1789061.75,1118.925,0.255,99.747,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:00 PM,149747104.0,525000000.0,45.302,139.394,125.423,1.165,48.035,31.463,7.434,11.904,1820996352.0,624928000.0,1717792128.0,39921844.0,6994240.5,82.048,15.243,36.358,39.489,35.775,82.048,88.088,0.0,0.0,0.818,864811.25,101597784.0,1.99,46.162,114.494,2.985,99.182,899880704.0,29227767808.0,12112060416.0,27924934656.0,3153240320.0,0.378,1.978,0.838,27.475,3.323,859882.625,0.227,0.195,1.006,1670081.25,1088.263,0.311,99.649,0.002,0.053,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:01 PM,139698352.0,525000000.0,38.986,139.223,92.458,1.267,46.746,31.449,8.809,9.007,1514155776.0,530281024.0,1415362560.0,38256880.0,8108345.5,80.559,11.943,39.207,42.588,38.451,80.559,85.892,0.0,0.0,0.852,863669.625,101471264.0,1.99,44.296,114.503,2.986,99.148,890457728.0,28789426176.0,11989107712.0,27411046400.0,3094795520.0,0.375,1.971,0.845,27.351,3.294,845013.75,0.231,0.198,1.022,1668030.25,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:02 PM,134420160.0,525000000.0,32.164,139.111,37.904,1.377,47.349,31.621,9.886,6.905,1223694720.0,419431360.0,1130619392.0,36659204.0,5858248.0,81.396,10.416,40.641,44.146,39.857,81.396,83.909,0.0,0.0,0.864,862975.938,101389760.0,1.99,42.48,114.503,2.986,99.136,889742528.0,28766302208.0,11979478016.0,27389030400.0,3092309760.0,0.377,1.971,0.844,27.351,3.294,844335.062,0.231,0.198,1.022,1666690.5,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:03 PM,155671088.0,525000000.0,40.85,148.352,66.358,1.276,47.62,31.477,8.559,10.012,1779966208.0,632064512.0,1669972608.0,43492460.0,8081728.5,81.724,13.074,38.287,41.589,37.549,81.724,86.399,0.0,0.0,0.833,981514.938,115333000.0,1.991,44.312,114.519,2.986,99.167,1012100800.0,32722278400.0,13626909696.0,31155601408.0,3517568000.0,0.375,1.971,0.845,27.351,3.294,960290.75,0.216,0.185,1.022,1895777.125,1096.528,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:04 PM,143267872.0,525000000.0,46.0,139.356,26.659,1.223,47.704,31.45,7.424,11.04,1829666688.0,631094400.0,1737245056.0,39784820.0,3621029.75,83.676,14.593,36.572,39.726,35.867,83.676,88.49,0.0,0.0,0.823,864495.75,101568320.0,1.99,46.021,114.503,2.986,99.177,891309376.0,28816963584.0,12000575488.0,27437264896.0,3097755904.0,0.375,1.971,0.846,27.351,3.294,845822.062,0.231,0.198,1.022,1669625.75,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:05 PM,152412384.0,525000000.0,44.346,143.569,72.979,1.248,47.526,31.556,7.24,10.277,1872295040.0,639485056.0,1771518848.0,41462324.0,5846377.0,82.654,13.773,37.078,40.323,36.904,82.654,88.231,0.0,0.0,0.838,919971.875,108108072.0,1.991,45.069,114.526,2.986,99.162,915252416.0,30263445504.0,12367560704.0,29198548992.0,3296610304.0,0.384,2.006,0.82,27.874,3.408,900139.562,0.223,0.191,1.022,1776971.375,1057.962,0.3,99.702,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:06 PM,159017792.0,525000000.0,49.127,149.013,45.381,1.144,47.221,31.281,7.348,13.507,2024708608.0,695388928.0,1930260992.0,41971076.0,5874704.5,82.934,16.424,34.993,38.063,34.147,82.934,89.522,0.0,0.0,0.814,898531.0,105597656.0,1.991,46.711,114.536,2.987,99.186,925743424.0,29614905344.0,12449187840.0,28007976960.0,3161728768.0,0.369,1.958,0.859,27.062,3.235,863592.312,0.242,0.207,1.04,1735231.375,1114.307,0.267,99.775,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:07 PM,167380160.0,525000000.0,49.352,129.313,31.464,1.172,48.715,31.412,7.17,13.604,1941348608.0,658296064.0,1848367104.0,40274364.0,2477717.25,84.339,16.601,35.091,38.118,34.415,84.339,89.587,0.0,0.0,0.81,863761.25,101498392.0,1.991,46.627,114.521,2.986,99.19,890698560.0,28797122560.0,11992312832.0,27418374144.0,3095622912.0,0.375,1.971,0.846,27.351,3.294,845080.5,0.214,0.184,1.022,1668356.875,1096.548,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:08 PM,198778384.0,525000000.0,49.301,139.291,3.358,1.178,49.246,31.386,7.082,13.693,2061686656.0,692781312.0,1967819904.0,43219436.0,249609.844,85.169,16.844,34.938,37.961,34.378,85.169,89.714,0.0,0.0,0.803,926803.938,108909728.0,1.991,46.633,114.525,2.986,99.197,947919680.0,30814228480.0,12778620928.0,29426518016.0,3322348800.0,0.376,1.979,0.841,27.478,3.321,906825.562,0.215,0.184,1.022,1790329.875,1087.47,0.258,99.743,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:09 PM,181882160.0,525000000.0,48.491,143.11,17.129,1.191,49.266,31.533,6.755,12.769,2029716992.0,669270336.0,1934732544.0,42786400.0,1370701.0,84.747,16.528,35.153,38.23,34.988,84.747,89.254,0.0,0.0,0.828,917031.375,107762528.0,1.991,46.658,114.526,2.986,99.172,912326976.0,30166714368.0,12328030208.0,29105221632.0,3286073344.0,0.384,2.006,0.82,27.874,3.408,897262.375,0.223,0.191,1.022,1771291.625,1057.962,0.3,99.702,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:10 PM,164189648.0,525000000.0,49.812,143.977,44.693,1.146,47.757,31.249,7.484,13.885,1982078720.0,686869696.0,1888347008.0,40219492.0,3620990.25,83.738,16.614,34.978,37.957,33.869,83.738,89.601,0.0,0.0,0.796,862550.938,101319408.0,1.99,46.629,114.48,2.985,99.204,916684864.0,29076746240.0,12301858816.0,27369553920.0,3090110976.0,0.367,1.942,0.867,26.912,3.2,843853.812,0.239,0.205,1.022,1665565.0,1130.29,0.272,99.73,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
12/9/2023 6:40:11 PM,152237760.0,525000000.0,57.686,139.379,63.073,1.119,47.916,31.381,7.122,13.18,2306776320.0,1098795264.0,2207907072.0,40271864.0,6993497.0,82.902,17.618,33.971,36.901,33.316,82.902,88.749,0.0,0.0,0.795,864639.625,101585232.0,1.99,46.576,114.503,2.986,99.205,891457728.0,28821760000.0,12002572288.0,27441831936.0,3098271488.0,0.374,1.971,0.847,27.351,3.294,845962.812,0.231,0.198,1.022,1669903.75,1096.411,0.276,99.726,0.002,0.0,Quest-Pro,Phasmophobia,Jenga,True,False,0
