Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-526855,4231,2.2291235050000004
0.615,-526855,4231,2.2291235050000004
1.003,-514648,4231,2.177475688
1.619,-514648,4231,2.177475688
2.006,-495605,4237,2.0998783850000002
2.622,-495605,4237,2.0998783850000002
3.009,-512695,4237,2.172288715
3.624,-512695,4237,2.172288715
4.011,-404784,4235,1.71426024
4.626,-404784,4235,1.71426024
5.013,-532226,4235,2.25397711
5.628,-532226,4235,2.25397711
6.017,-482909,4235,2.045119615
6.631,-482909,4235,2.045119615
7.023,-620116,4235,2.62619126
7.633,-620116,4235,2.62619126
8.026,-544921,4235,2.307740435000001
8.636,-544921,4235,2.307740435000001
9.027,-655761,4235,2.777147835
9.638,-655761,4235,2.777147835
10.029,-470214,4234,1.990886076
10.64,-470214,4234,1.990886076
11.033,-603515,4234,2.55528251
11.646,-603515,4234,2.55528251
12.035,-572265,4234,2.4229700100000002
12.65,-572265,4234,2.4229700100000002
13.038,-615722,4234,2.606966948
13.654,-615722,4234,2.606966948
14.04,-177734,4247,0.754836298
14.656,-177734,4247,0.754836298
15.042,-67871,4247,0.288248137
15.659,-67871,4247,0.288248137
16.044,-74706,4247,0.317276382
16.661,-74706,4247,0.317276382
17.046,-31738,4247,0.134791286
17.667,-31738,4247,0.134791286
18.049,-427245,4241,1.8119460449999998
18.669,-427245,4241,1.8119460449999998
19.053,-687499,4241,2.9156832589999997
19.671,-687499,4241,2.9156832589999997
20.056,-676269,4241,2.868056829
20.673,-676269,4241,2.868056829
21.058,-664062,4241,2.816286942
21.675,-624999,4241,2.6506207589999997
22.06,-624999,4241,2.6506207589999997
22.677,-646972,4241,2.7438082519999996
23.064,-646972,4241,2.7438082519999996
23.679,-770507,4241,3.2677201869999997
24.067,-770507,4220,3.2515395399999996
24.684,-687987,4220,2.90330514
25.069,-687987,4220,2.90330514
25.689,-714843,4220,3.0166374599999997
26.073,-714843,4220,3.0166374599999997
26.693,-728515,4223,3.076518845
27.075,-728515,4223,3.076518845
27.698,-545409,4223,2.303262207
28.078,-545409,4232,2.3081708880000003
28.7,-494628,4232,2.093265696
29.08,-494628,4232,2.093265696
29.704,-503417,4232,2.130460744
30.082,-503417,4232,2.130460744
30.706,-602538,4232,2.5499408160000003
31.088,-602538,4232,2.5499408160000003
31.708,-473632,4232,2.004410624
32.091,-473632,4232,2.004410624
32.71,-570800,4232,2.4156256
33.094,-570800,4232,2.4156256
33.713,-438476,4232,1.8556304319999999
34.097,-438476,4236,1.8573843359999997
34.715,-554687,4236,2.349654132
35.1,-554687,4236,2.349654132
35.718,-499999,4236,2.117995764
36.102,-499999,4236,2.117995764
36.724,-594237,4236,2.517187932
37.105,-594237,4236,2.517187932
37.726,-524413,4236,2.221413468
38.106,-524413,4236,2.221413468
38.729,-586913,4236,2.486163468
39.108,-586913,4236,2.486163468
39.732,-537597,4236,2.2772608919999997
40.112,-537597,4236,2.2772608919999997
40.734,-583495,4236,2.4716848199999997
41.115,-583495,4236,2.4716848199999997
41.739,-752929,4236,3.189407244
42.118,-752929,4236,3.189407244
42.742,-537597,4221,2.269196937
43.124,-537597,4221,2.269196937
43.744,-645019,4221,2.722625199
44.127,-645019,4227,2.726495313
44.746,-631347,4227,2.668703769
45.13,-631347,4226,2.668072422
45.748,-628905,4226,2.65775253
46.132,-628905,4226,2.65775253
46.751,-457519,4226,1.933475294
47.135,-457519,4226,1.933475294
47.755,-690917,4226,2.919815242
48.138,-690917,4226,2.919815242
48.759,-407714,4238,1.7278919320000004
49.14,-407714,4238,1.7278919320000004
49.762,-586425,4238,2.48526915
50.142,-586425,4238,2.48526915
50.766,-583495,4229,2.467600355
51.145,-583495,4229,2.467600355
51.768,-525390,4229,2.22187431
52.147,-525390,4229,2.22187431
52.77,-507812,4229,2.1475369480000004
53.149,-507812,4229,2.1475369480000004
53.773,-659179,4229,2.7876679909999997
54.152,-659179,4225,2.7850312749999997
54.777,-495605,4225,2.093931125
55.155,-495605,4225,2.093931125
55.779,-513183,4225,2.1681981749999997
56.157,-513183,4225,2.1681981749999997
56.783,-602050,4225,2.5436612499999995
57.16,-602050,4225,2.5436612499999995
57.786,-486816,4225,2.0567976
58.162,-486816,4225,2.0567976
58.79,-602538,4229,2.5481332020000003
59.165,-602538,4229,2.5481332020000003
59.792,-476073,4229,2.013312717
60.169,-476073,4229,2.013312717
60.794,-568847,4229,2.4056539630000002
61.174,-568847,4229,2.4056539630000002
61.798,-583007,4229,2.465536603
62.176,-583007,4229,2.465536603
62.802,-606445,4229,2.564655905
63.178,-606445,4229,2.564655905
63.816,-519042,4229,2.1950286180000003
64.18,-519042,4231,2.196066702
64.819,-620605,4231,2.6257797550000004
65.183,-620605,4231,2.6257797550000004
65.821,-527831,4231,2.2332529610000003
66.185,-527831,4231,2.2332529610000003
66.824,-587402,4229,2.484123058
67.187,-587402,4229,2.484123058
67.826,-567382,4229,2.3994584779999997
68.19,-567382,4229,2.3994584779999997
68.829,-601562,4229,2.5440056980000003
69.192,-601562,4229,2.5440056980000003
69.831,-488769,4232,2.068470408
70.195,-488769,4232,2.068470408
