Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-2213377,3571,7.903969267
1.003,-2260741,3571,8.073106111
2.005,-2264647,3571,8.087054437
3.008,-2264647,3577,8.100642319
4.01,-2251463,3577,8.053483151
5.013,-2196776,3577,7.857867752
6.019,-2141600,3577,7.6605032
7.021,-2191405,3577,7.838655685
8.024,-2094237,3577,7.491085749000001
9.031,-2106932,3577,7.536495763999999
10.034,-2104979,3577,7.5295098829999985
11.036,-2103514,3577,7.524269578
12.038,-2248045,3577,8.041256965
13.04,-2240233,3578,8.015553674000001
14.042,-2255858,3578,8.071459924000001
15.045,-2264158,3578,8.101157324
16.047,-2282713,3578,8.167547114
17.049,-2263182,3578,8.097665195999998
18.051,-2193846,3578,7.8495809880000005
19.055,-2293944,3578,8.207731631999998
20.058,-2312010,3578,8.27237178
21.061,-2342772,3578,8.382438216
22.063,-2321776,3578,8.307314528
23.065,-2429197,3568,8.667374896000002
24.071,-2311033,3568,8.245765744
25.074,-2324705,3568,8.294547439999999
26.076,-2309080,3568,8.238797439999999
27.078,-2324217,3568,8.292806256
28.082,-2310057,3568,8.242283375999998
29.089,-2179198,3568,7.775378464
30.091,-2284666,3568,8.151688288
31.098,-2299803,3568,8.205697103999999
32.1,-2303221,3568,8.217892528
33.103,-2336912,3571,8.345112752
34.105,-2308592,3571,8.243982032
35.11,-2332518,3571,8.329421778
36.112,-2351561,3571,8.397424331000002
37.115,-2337889,3571,8.348601619
38.117,-2301268,3571,8.217828028
39.12,-2343748,3571,8.369524108
40.124,-2384276,3571,8.514249595999999
41.127,-2478514,3571,8.850773494
42.129,-2473143,3563,8.811808509
43.133,-2300291,3572,8.216639452
44.136,-2298826,3572,8.211406472
45.138,-2342772,3572,8.368381584
46.141,-2312498,3572,8.260242856000001
47.143,-2352537,3572,8.403262164
48.148,-2342283,3572,8.366634876
49.151,-2325194,3572,8.305592968
50.153,-2317381,3572,8.277684932
51.155,-2285155,3572,8.16257366
52.157,-2356932,3572,8.418961104
53.161,-2301756,3571,8.219570676
54.163,-2322264,3571,8.292804744000001
55.166,-2297362,3571,8.203879702
56.168,-2298826,3571,8.209107646
57.173,-2292479,3571,8.186442508999999
58.176,-2329588,3571,8.318958748000002
59.179,-2318358,3571,8.278856418000002
60.182,-2285155,3571,8.160288505
61.184,-2294432,3571,8.193416672
62.187,-2276854,3571,8.130645633999999
63.197,-2329100,3570,8.314886999999999
64.2,-2316893,3570,8.271308009999998
65.202,-2299803,3570,8.21029671
66.204,-2287596,3570,8.166717720000001
67.207,-2284178,3570,8.154515459999999
68.209,-2280272,3570,8.14057104
69.211,-2294920,3570,8.192864400000001
70.215,-2333983,3570,8.33231931
71.218,-2410643,3570,8.60599551
72.22,-2435057,3570,8.693153489999998
73.224,-2293455,3570,8.18763435
74.231,-2479002,3570,8.85003714
75.233,-2332030,3570,8.3253471
76.235,-2316405,3570,8.26956585
77.237,-2318846,3570,8.278280220000001
78.239,-2306639,3570,8.23470123
79.242,-2316893,3570,8.271308009999998
80.244,-2297850,3570,8.203324499999999
81.245,-2313963,3570,8.26084791
82.248,-2306639,3569,8.232394591
83.251,-2368651,3566,8.446609465999998
84.255,-2346678,3566,8.368253747999999
85.26,-2324705,3566,8.289898029999998
86.262,-2304198,3566,8.216770067999999
87.266,-2299803,3566,8.201097498
88.269,-2368162,3566,8.444865691999999
89.272,-2331053,3566,8.312534997999999
90.274,-2354490,3566,8.39611134
91.276,-2340819,3566,8.347360553999998
92.279,-2393553,3566,8.535409997999999
93.282,-2481932,3560,8.835677919999998
94.284,-2338865,3560,8.3263594
95.287,-2439451,3560,8.68444556
96.296,-2336424,3560,8.31766944
97.302,-2334471,3560,8.31071676
98.31,-2311033,3560,8.22727748
99.312,-2349119,3560,8.36286364
100.314,-2491697,3560,8.870441320000001
101.316,-2469237,3560,8.790483720000001
102.318,-2302244,3560,8.19598864
103.321,-2393065,3567,8.536062855
104.324,-2331541,3567,8.316606747000002
105.33,-2327147,3567,8.300933349000001
106.336,-2300291,3567,8.205137997000001
107.338,-2304686,3567,8.220814962
108.34,-2324217,3567,8.290482039
109.344,-2314940,3567,8.25739098
110.347,-2310057,3567,8.239973318999999
111.349,-2362303,3567,8.426334801
