CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.28ms,2.34ms,0.43ms,13.13ms,4(DR0,0.53,0.16(W0.22),1.00,18.94/23.75,21.85,1,1.21,0,0,16:27:10.011,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.27ms,2.03ms,0.72ms,13.13ms,4(DR0,0.52,0.11(W0.14),1.00,19.24/23.47,21.79,1,1.21,0,0,16:27:11.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.30ms,2.21ms,0.57ms,13.13ms,4(DR0,0.53,0.15(W0.25),1.00,19.08/23.19,21.85,1,1.21,0,0,16:27:12.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.28ms,1.72ms,0.95ms,13.87ms,4(DR0,0.53,0.09(W0.18),1.00,18.98/23.29,21.82,1,1.21,0,0,16:27:13.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.30ms,2.28ms,0.33ms,13.87ms,4(DR0,0.53,0.12(W0.22),1.00,19.28/23.72,22.17,1,1.21,0,0,16:27:14.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.2C/0.0C,4.28ms,2.03ms,0.63ms,13.87ms,4(DR0,0.53,0.14(W0.18),1.00,18.85/22.97,21.92,1,1.21,0,0,16:27:15.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.5C/0.0C,4.27ms,1.84ms,1.09ms,13.81ms,4(DR0,0.51,0.20(W0.35),1.00,19.02/23.89,21.84,1,1.21,0,0,16:27:16.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,71,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.5C/0.0C,4.20ms,2.17ms,1.19ms,14.10ms,4(DR0,0.51,0.11(W0.18),1.00,19.76/26.65,25.23,1,1.21,0,0,16:27:17.003,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,72,0ms,0,0,5,2/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.5C/0.0C,4.19ms,2.06ms,0.74ms,13.16ms,4(DR0,0.53,0.19(W0.26),1.00,20.78/25.28,23.75,1,1.21,0,0,16:27:18.004,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8220,0,33.5C/0.0C,4.20ms,1.91ms,0.88ms,13.12ms,4(DR0,0.53,0.16(W0.19),1.00,19.77/23.74,22.34,1,1.21,0,0,16:27:19.004,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,True,0.0
