timestamp,Clocks / Second,GPU Frequency,GPU % Bus Busy,Preemptions / second,Avg Preemption Delay,% Vertex Fetch Stall,% Texture Fetch Stall,% Texture L1 Miss,% Texture L2 Miss,% Stalled on System Memory,Read Total (Bytes/sec),Write Total (Bytes/sec),Texture Memory Read BW (Bytes/Second),Vertex Memory Read (Bytes/Second),SP Memory Read (Bytes/Second),% Shaders Busy,% Shaders Stalled,% Shader ALU Capacity Utilized,% Time ALUs Working,% Time EFUs Working,% Texture Pipes Busy,% Wave Context Occupancy,% Instruction Cache Miss,% Time Compute,% Time Shading Vertices,Vertices Shaded / Second,Vertex Instructions / Second,Textures / Vertex,Avg Bytes / Vertex,ALU / Vertex,EFU / Vertex,% Time Shading Fragments,Fragments Shaded / Second,Fragment Instructions / Second,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,L1 Texture Cache Miss Per Pixel,Textures / Fragment,Avg Bytes / Fragment,ALU / Fragment,EFU / Fragment,Pre-clipped Polygons/Second,% Prims Trivially Rejected,% Prims Clipped,Average Vertices / Polygon,Reused Vertices / Second,Average Polygon Area,% Nearest Filtered,% Linear Filtered,% Anisotropic Filtered,% Non-Base Level Textures,device,app,app_details,is_record,is_wireless,repetition
12/5/2023 10:07:29 PM,191968992.0,525000000.0,35.278,129.121,17.274,0.65,42.446,31.483,6.595,10.205,1635453568.0,673205120.0,1493091072.0,60109856.0,3595365.25,74.934,15.493,34.945,38.144,34.983,73.184,83.674,0.0,0.0,1.204,2778257.5,172031056.0,0.659,21.636,60.252,1.669,98.796,963340928.0,32297230336.0,13062189056.0,31407040512.0,3531520256.0,0.386,2.021,0.788,28.154,3.456,2815345.0,31.423,0.868,0.987,5642073.0,504.953,0.248,99.952,0.001,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:30 PM,176352224.0,525000000.0,35.769,129.228,73.686,0.623,41.223,31.391,6.897,10.285,1585862016.0,664976768.0,1439896064.0,58117268.0,6965089.0,73.38,15.165,35.171,38.288,34.728,71.633,83.357,0.0,0.0,1.224,2728332.5,165589776.0,0.63,21.301,59.053,1.639,98.776,926364480.0,30492606464.0,12516679680.0,29352085504.0,3299884032.0,0.378,1.992,0.808,27.718,3.364,2746176.0,31.834,0.93,0.994,5534539.5,500.538,0.262,99.786,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:31 PM,175680000.0,525000000.0,34.291,144.385,57.997,0.642,39.724,31.459,6.975,8.465,1598849408.0,663616000.0,1447148416.0,57935948.0,8140686.0,71.926,13.133,36.48,39.684,35.99,70.206,82.655,0.0,0.0,1.238,2725152.5,165498160.0,0.632,21.26,59.09,1.64,98.762,938013568.0,30749704192.0,12632450048.0,29579886592.0,3327310336.0,0.379,1.985,0.811,27.699,3.361,2748891.5,31.916,0.841,0.991,5518026.5,507.302,0.297,99.669,0.002,0.045,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:32 PM,161241984.0,525000000.0,34.521,139.368,39.025,0.634,38.877,31.36,7.278,8.008,1530027392.0,641075264.0,1387627776.0,54206104.0,8116804.0,71.71,12.327,37.055,40.279,36.096,69.985,82.831,0.0,0.0,1.224,2546744.75,154599744.0,0.631,21.284,59.065,1.639,98.776,902031168.0,29070725120.0,12133229568.0,27655012352.0,3109989120.0,0.372,1.959,0.831,27.249,3.264,2570367.75,31.825,0.897,0.991,5161013.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:33 PM,161123936.0,525000000.0,36.651,134.36,105.555,0.624,39.191,31.344,7.185,8.751,1596028800.0,702600064.0,1453730560.0,54196580.0,8106031.0,71.827,12.882,36.761,39.96,35.81,70.113,82.639,0.0,0.0,1.223,2546093.0,154564400.0,0.631,21.286,59.067,1.639,98.777,901824832.0,29064079360.0,12130456576.0,27648690176.0,3109278208.0,0.371,1.959,0.831,27.249,3.264,2569700.5,31.823,0.895,0.991,5159774.0,520.798,0.274,99.727,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:34 PM,170184720.0,525000000.0,44.02,74.652,106.63,0.577,40.677,31.195,7.384,10.195,1967279232.0,1205073024.0,1819670272.0,55563568.0,6876128.5,73.183,16.38,33.879,36.78,32.606,71.632,82.552,0.0,0.0,1.132,2575910.5,158066192.0,0.646,21.57,59.708,1.655,98.868,981354368.0,31036418048.0,13146361856.0,29208426496.0,3285841664.0,0.364,1.931,0.85,26.838,3.178,2617447.0,31.214,0.851,0.984,5228663.0,551.425,0.291,99.694,0.001,0.016,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:35 PM,165753472.0,525000000.0,42.676,139.394,123.173,0.547,39.553,31.253,7.086,11.048,1823472256.0,1138949120.0,1671013376.0,54270448.0,13745080.0,69.463,16.568,33.451,36.362,32.586,67.986,82.976,0.0,0.0,1.188,2547222.75,154628768.0,0.631,21.306,59.065,1.639,98.812,902200256.0,29076183040.0,12135506944.0,27660204032.0,3110572800.0,0.37,1.959,0.831,27.249,3.264,2570850.25,31.825,0.897,0.991,5161982.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:36 PM,176273232.0,525000000.0,44.293,139.343,24.831,0.586,41.572,31.246,7.092,11.862,1789363072.0,1092720128.0,1656413824.0,54474228.0,2497035.25,72.948,17.846,33.559,36.48,32.691,71.31,82.703,0.0,0.0,1.192,2546293.25,154572336.0,0.631,21.394,59.065,1.639,98.808,901871232.0,29065570304.0,12131078144.0,27650109440.0,3109437696.0,0.37,1.959,0.831,27.249,3.264,2569912.0,31.825,0.897,0.991,5160098.5,520.783,0.274,99.727,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:37 PM,186568576.0,525000000.0,41.055,139.379,45.142,0.583,40.341,31.41,6.89,9.607,1874872576.0,1122512512.0,1720405888.0,58015964.0,8117418.5,71.363,15.922,34.427,37.439,33.832,69.747,82.113,0.0,0.0,1.201,2724635.5,165466864.0,0.632,21.293,59.09,1.64,98.799,959411392.0,31315316736.0,12924085248.0,30027659264.0,3377402112.0,0.377,1.979,0.815,27.563,3.332,2763542.0,31.738,0.856,0.986,5516879.5,514.689,0.292,99.687,0.002,0.032,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
12/5/2023 10:07:38 PM,207555952.0,525000000.0,43.139,139.321,30.791,0.554,41.614,31.298,7.22,12.273,1767376896.0,1086263040.0,1630814976.0,56857600.0,2496631.5,72.791,18.247,33.015,35.884,32.095,71.148,83.253,0.0,0.0,1.211,2696985.0,162006544.0,0.615,21.082,58.445,1.624,98.789,922863808.0,29673441280.0,12415694848.0,28177956864.0,3168768000.0,0.37,1.956,0.835,27.183,3.25,2709215.5,32.309,0.914,0.995,5472935.0,509.022,0.268,99.735,0.002,0.0,Quest-Pro,PistolWhip,BlackMagic-Easy,True,False,0
