CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7522,0,22.7C/0.0C,4.30ms,0.96ms,1.41ms,13.90ms,3(DR0,0.50,0.17(W0.21),1.00,19.26/23.18,21.79,1,1.21,0,0,14:04:43.118,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7522,0,22.7C/0.0C,4.27ms,0.98ms,1.42ms,13.90ms,3(DR0,0.51,0.26(W0.33),1.00,19.12/22.80,21.74,1,1.21,0,0,14:04:44.118,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,7522,0,22.7C/0.0C,4.28ms,1.03ms,1.34ms,13.90ms,3(DR0,0.50,0.09(W0.15),1.00,19.10/22.94,21.84,1,1.21,0,0,14:04:45.118,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7522,0,22.5C/0.0C,4.28ms,1.11ms,1.13ms,13.90ms,3(DR0,0.49,0.16(W0.23),1.00,19.06/23.06,21.74,1,1.21,0,0,14:04:46.118,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7522,0,22.5C/0.0C,3.94ms,0.92ms,1.51ms,13.89ms,3(DR0,0.48,0.19(W0.19),1.00,18.72/22.92,21.82,1,1.21,0,0,14:04:47.118,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7522,0,22.5C/0.0C,4.12ms,0.82ms,1.37ms,13.90ms,3(DR0,0.47,0.20(W0.32),1.00,19.01/23.06,21.89,1,1.21,0,0,14:04:48.119,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7522,0,22.5C/0.0C,4.11ms,0.98ms,1.26ms,13.90ms,3(DR0,0.48,0.15(W0.20),1.00,19.03/23.17,21.84,1,1.21,0,0,14:04:49.119,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7520,0,22.5C/0.0C,4.25ms,0.98ms,1.02ms,13.90ms,3(DR0,0.47,0.18(W0.20),1.00,18.89/22.72,21.65,1,1.21,0,0,14:04:50.128,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7520,0,22.5C/0.0C,4.13ms,1.08ms,1.12ms,13.89ms,3(DR0,0.48,0.24(W0.36),1.00,18.87/23.43,22.21,1,1.21,0,0,14:04:51.119,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,7520,0,22.5C/0.0C,4.11ms,0.91ms,1.28ms,13.90ms,3(DR0,0.47,0.21(W0.23),1.00,19.65/23.48,22.37,1,1.21,0,0,14:04:52.119,True,True,999999,0,Quest-Pro,PistolWhip,BlackMagic-Easy,False,False,0.2
