timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 1,net.bytes_recv.Local Area Connection* 1,net.packets_sent.Local Area Connection* 1,net.packets_recv.Local Area Connection* 1,net.errin.Local Area Connection* 1,net.errout.Local Area Connection* 1,net.dropin.Local Area Connection* 1,net.dropout.Local Area Connection* 1,net.bytes_sent.Local Area Connection* 2,net.bytes_recv.Local Area Connection* 2,net.packets_sent.Local Area Connection* 2,net.packets_recv.Local Area Connection* 2,net.errin.Local Area Connection* 2,net.errout.Local Area Connection* 2,net.dropin.Local Area Connection* 2,net.dropout.Local Area Connection* 2,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,disk.read_count.PhysicalDrive1,disk.read_bytes.PhysicalDrive1,disk.write_count.PhysicalDrive1,disk.write_bytes.PhysicalDrive1,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702425024915.3394,0,0,0,0,0,0,0,0,115255532632,36836313232,101211416,77368681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550426,153753254912,2746252,74930900992,279,473600,0,0,2101.546875,1036323.0312499999,1471.375,28020.000000000116,48910.640625,5.6,4701.0,0.0,4701.0,3450427621,2534951596,0,2403053265
1702425025914.3198,0,0,0,0,0,0,0,0,115257516724,36837423054,101213522,77370583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550428,153753320448,2746265,74931400704,279,473600,0,0,2101.59375,1036334.1093749999,1471.40625,28020.312500000116,48911.25,8.3,4701.0,0.0,4701.0,3450476386,2534992448,0,2403201580
1702425026904.8616,0,0,0,0,0,0,0,0,115259013947,36838110276,101215593,77372831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550428,153753320448,2746267,74931408896,279,473600,0,0,2101.640625,1036345.3437499999,1471.4375,28020.640625000116,48911.6875,7.0,4701.0,0.0,4701.0,3450521213,2535034376,0,2403316916
1702425027900.03,0,0,0,0,0,0,0,0,115261585267,36838805301,101218445,77375201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550428,153753320448,2746272,74931888128,279,473600,0,0,2101.703125,1036356.4843749999,1471.453125,28020.984375000116,48912.015625,6.3,4701.0,0.0,4701.0,3450565901,2535077460,0,2403430689
1702425028902.2476,0,0,0,0,0,0,0,0,115263274240,36839497126,101220716,77377463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550429,153753336832,2746278,74932195328,279,473600,0,0,2101.75,1036367.8593749999,1471.484375,28021.171875000116,48912.453125,5.8,4701.0,0.0,4701.0,3450613670,2535120532,0,2403583124
1702425029912.7852,0,0,0,0,0,0,0,0,115265844088,36840202131,101223570,77379895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550432,153753435136,2746286,74932449280,279,473600,0,0,2101.78125,1036379.4218749999,1471.5,28021.484375000116,48912.765625,5.5,4701.0,0.0,4701.0,3450659521,2535163701,0,2403710194
1702425030904.0996,0,0,0,0,0,0,0,0,115268275803,36840883787,101226243,77382226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550432,153753435136,2746296,74932756480,279,473600,0,0,2101.828125,1036391.0312499999,1471.53125,28021.687500000116,48912.953125,3.9,4701.0,0.0,4701.0,3450702524,2535204556,0,2403817561
1702425031913.1365,0,0,0,0,0,0,0,0,115270537499,36841584224,101228798,77384580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746314,74932994048,279,473600,0,0,2101.90625,1036402.2812499999,1471.53125,28022.000000000116,48913.390625,6.9,4701.0,0.0,4701.0,3450751211,2535248145,0,2403967531
1702425032913.6504,0,0,0,0,0,0,0,0,115272452497,36842255949,101231079,77386764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746318,74933047296,279,473600,0,0,2101.953125,1036413.6874999999,1471.53125,28022.218750000116,48913.765625,5.3,4701.0,0.0,4701.0,3450793670,2535288569,0,2404073707
1702425033909.6594,0,0,0,0,0,0,0,0,115274506024,36842932636,101233574,77389049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746325,74933207040,279,473600,0,0,2101.953125,1036424.8593749999,1471.578125,28022.515625000116,48914.296875,7.3,4701.0,0.0,4701.0,3450841625,2535331876,0,2404229057
1702425034911.8801,0,0,0,0,0,0,0,0,115276926037,36843651749,101236467,77391517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746334,74933624832,279,473600,0,0,2101.984375,1036435.5312499999,1471.59375,28023.000000000116,48915.140625,11.4,4701.0,0.0,4701.0,3450900866,2535382310,0,2404443857
1702425035908.417,0,0,0,0,0,0,0,0,115278840365,36844347506,101238974,77393926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746368,74933915648,279,473600,0,0,2102.03125,1036446.9687499999,1471.609375,28023.265625000116,48915.4375,5.2,4701.0,0.0,4701.0,3450945280,2535425450,0,2404567044
1702425036901.558,0,0,0,0,0,0,0,0,115281188922,36845049648,101241869,77396421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746377,74934132736,279,473600,0,0,2102.078125,1036458.1874999999,1471.625,28023.562500000116,48915.734375,5.5,4701.0,0.0,4701.0,3450990463,2535469317,0,2404689703
1702425037911.356,0,0,0,0,0,0,0,0,115283595229,36845776267,101244843,77398914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550433,153753447424,2746409,74934611968,279,473600,0,0,2102.171875,1036469.1874999999,1471.625,28023.937500000116,48916.546875,10.4,4701.0,0.0,4701.0,3451043639,2535517189,0,2404862713
1702425038908.198,0,0,0,0,0,0,0,0,115285894122,36846454156,101247652,77401238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550434,153753447936,2746449,74934972928,279,473600,0,0,2102.21875,1036479.1718749999,1471.640625,28024.640625000116,48917.859375,17.2,4701.0,0.0,4701.0,3451117044,2535575061,0,2405160486
1702425039915.1196,0,0,0,0,0,0,0,0,115288230853,36847209576,101250506,77403644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550434,153753447936,2746606,74936009216,279,473600,0,0,2102.34375,1036488.5781249999,1471.6875,28025.593750000116,48919.5,22.7,4701.0,0.0,4701.0,3451191154,2535681523,0,2405437821
1702425040910.785,0,0,0,0,0,0,0,0,115290020027,36847919043,101253039,77406069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550435,153753464320,2746615,74936201728,279,473600,0,0,2102.390625,1036499.2343749999,1471.734375,28026.171875000116,48920.265625,11.9,4701.0,0.0,4701.0,3451256154,2535733910,0,2405656838
1702425041912.3833,0,0,0,0,0,0,0,0,115291099673,36848642507,101255585,77408645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550436,153753480704,2746653,74936787456,279,473600,0,0,2102.4375,1036509.7968749999,1471.78125,28026.812500000116,48921.0625,12.7,4701.0,0.0,4701.0,3451319942,2535787360,0,2405835854
1702425042909.074,0,0,0,0,0,0,0,0,115292710557,36849356875,101258434,77411261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550436,153753480704,2746679,74938053120,279,473600,0,0,2102.4375,1036520.7812499999,1471.8125,28027.093750000116,48921.796875,8.7,4701.0,0.0,4701.0,3451377964,2535837674,0,2406009779
1702425043899.9949,0,0,0,0,0,0,0,0,115294787487,36850075175,101261582,77413960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550436,153753480704,2746705,74938847744,279,473600,0,0,2102.484375,1036531.4531249999,1471.8125,28027.515625000116,48922.515625,10.0,4701.0,0.0,4701.0,3451438413,2535889796,0,2406195455
1702425044911.8936,0,0,0,0,0,0,0,0,115297002849,36850774099,101264542,77416376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,1,0,0,0,0,0,3550436,153753480704,2746705,74938847744,279,473600,0,0,2102.515625,1036542.0312499999,1471.84375,28028.015625000116,48923.625,13.6,4701.0,0.0,4701.0,3451498573,2535975096,0,2406384631
