CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2801,0,46.5C/0.0C,3.41ms,0.86ms,0.27ms,13.94ms,2(DR0,0.35,0.16(W0.26),1.00,15.56/21.48,19.22,0,1.21,0,0,00:45:04.269,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.5C/0.0C,3.41ms,0.90ms,0.27ms,13.92ms,2(DR0,0.36,0.16(W0.23),1.00,15.55/21.28,19.14,0,1.21,0,0,00:45:05.269,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.5C/0.0C,3.43ms,0.85ms,0.27ms,13.86ms,2(DR0,0.35,0.10(W0.19),1.00,15.61/21.18,19.09,0,1.21,0,0,00:45:06.269,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.5C/0.0C,3.41ms,0.86ms,0.27ms,13.87ms,2(DR0,0.35,0.20(W0.24),1.00,15.55/21.16,19.04,0,1.21,0,0,00:45:07.269,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.5C/0.0C,3.41ms,0.87ms,0.27ms,13.86ms,2(DR0,0.36,0.19(W0.29),1.00,15.55/21.16,19.04,0,1.21,0,0,00:45:08.269,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.5C/0.0C,3.41ms,0.83ms,0.29ms,13.86ms,2(DR0,0.35,0.11(W0.11),1.00,15.61/21.13,19.06,0,1.21,0,0,00:45:09.270,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2801,0,46.7C/0.0C,3.41ms,0.83ms,0.29ms,13.86ms,2(DR0,0.28,0.06(W0.10),1.00,15.50/21.06,19.06,0,1.21,0,0,00:45:10.270,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1353MHz,2801,0,46.7C/0.0C,3.41ms,0.83ms,0.29ms,13.86ms,2(DR0,0.28,0.06(W0.10),1.00,15.50/21.06,19.06,0,1.21,0,0,00:45:11.270,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,29,0ms,0,0,72,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1353MHz,2801,0,46.7C/0.0C,3.38ms,-4.69ms,0.28ms,13.87ms,2(DR0,0.28,0.06(W0.14),1.00,15.44/21.30,19.06,0,1.21,0,0,00:45:12.270,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
5,4,1478,525,24,0ms,0,0,73,0/0/0/0,1,0,0,FF,0/70/0,N/N/N,1353MHz,2801,0,46.7C/0.0C,3.51ms,-5.43ms,0.31ms,29.69ms,2(DR0,0.28,0.07(W0.10),1.00,15.24/21.73,19.21,0,1.21,0,0,00:45:13.270,old_experiments,bandwidth-network-20Mbps,Quest-2,replay0.1,bandwidth-network-20Mbps,BeatSaber-W
