Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1688475,3649,6.161245275
1.003,-1767577,3644,6.441050588
2.005,-1689452,3644,6.156363088
3.007,-1694335,3644,6.174156740000001
4.011,-1684569,3644,6.138569436
5.013,-1663085,3644,6.060281740000001
6.015,-1681151,3649,6.134519999
7.018,-1711424,3649,6.244986176
8.02,-1670409,3649,6.095322441
9.022,-1668456,3649,6.088195944
10.024,-1686034,3649,6.152338066
11.026,-1417479,3649,5.172380871
12.028,-1440917,3664,5.279519888
13.03,-1639647,3664,6.007666608
14.032,-1622557,3664,5.945048848000001
15.035,-1587401,3664,5.816237264000001
16.037,-1574217,3661,5.763208437000001
17.04,-1609374,3661,5.891918214
18.042,-1554198,3661,5.689918878000001
19.044,-1579100,3661,5.781085099999999
20.047,-1566405,3661,5.734608705
21.049,-1610839,3661,5.8972815789999995
22.052,-1697264,3661,6.213683504
23.054,-1488280,3661,5.44859308
24.056,-1491698,3661,5.461106378000001
25.059,-1482421,3661,5.427143281
26.061,-1496581,3661,5.478983041
27.063,-1364257,3661,4.994544877
28.065,-1618651,3661,5.925881311
29.067,-1555663,3661,5.695282243
30.069,-1532714,3661,5.611265953999999
31.071,-1557128,3661,5.700645607999999
32.073,-1462401,3661,5.353850061
33.075,-1584960,3661,5.80253856
34.077,-1663085,3661,6.0885541850000005
35.082,-1660643,3661,6.079614023
36.084,-1759764,3650,6.4231386
37.086,-1676268,3650,6.1183782
38.088,-1684569,3650,6.14867685
39.09,-1526854,3650,5.5730170999999995
40.093,-1623534,3650,5.9258991
41.096,-1672362,3650,6.1041213
42.097,-1532225,3650,5.59262125
43.1,-1640135,3650,5.986492749999999
44.101,-1692381,3650,6.17719065
45.103,-1643065,3650,5.99718725
46.105,-1529784,3649,5.582181816
47.108,-1647948,3649,6.013362252
48.11,-1624999,3649,5.929621351000001
49.112,-1481932,3649,5.407569868
50.115,-1655760,3649,6.0418682399999994
51.117,-1656737,3649,6.045433313
52.121,-1671385,3649,6.0988838649999995
53.123,-1455565,3649,5.311356685
54.125,-1675292,3649,6.113140508
55.127,-1663085,3649,6.068597165000001
