CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,72,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.35ms,0.84ms,0.27ms,13.86ms,2(DR0,0.34,0.14(W0.18),1.00,15.68/21.18,19.05,0,1.21,0,0,21:05:50.243,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.34ms,0.88ms,0.27ms,13.89ms,2(DR0,0.35,0.08(W0.14),1.00,15.68/21.29,19.17,0,1.21,0,0,21:05:51.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,3,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.34ms,0.88ms,0.27ms,13.88ms,2(DR0,0.34,0.17(W0.22),1.00,15.71/21.25,19.18,0,1.21,0,0,21:05:52.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.36ms,0.86ms,0.27ms,13.87ms,2(DR0,0.35,0.14(W0.18),1.00,15.56/21.17,19.01,0,1.21,0,0,21:05:53.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.5C/0.0C,3.33ms,0.84ms,0.27ms,13.86ms,2(DR0,0.34,0.12(W0.14),1.00,15.33/21.23,19.00,0,1.21,0,0,21:05:54.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,3,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.5C/0.0C,3.35ms,0.92ms,0.27ms,13.93ms,2(DR0,0.35,0.10(W0.11),1.00,15.54/21.49,19.17,0,1.21,0,0,21:05:55.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.5C/0.0C,3.34ms,0.85ms,0.27ms,13.86ms,2(DR0,0.34,0.10(W0.14),1.00,15.68/21.49,19.10,0,1.21,0,0,21:05:56.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.33ms,0.84ms,0.27ms,13.90ms,2(DR0,0.34,0.17(W0.22),1.00,15.39/21.33,19.15,0,1.21,0,0,21:05:57.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,3,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1804MHz,2853,0,44.2C/0.0C,3.33ms,0.85ms,0.27ms,13.93ms,2(DR0,0.34,0.24(W0.28),1.00,15.82/21.18,19.24,0,1.21,0,0,21:05:58.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.34ms,0.88ms,0.27ms,13.86ms,2(DR0,0.34,0.13(W0.19),1.00,15.45/21.43,19.17,0,1.21,0,0,21:05:59.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.34ms,0.86ms,0.27ms,13.89ms,2(DR0,0.34,0.12(W0.15),1.00,15.70/21.21,19.10,0,1.21,0,0,21:06:00.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.37ms,0.84ms,0.27ms,13.86ms,2(DR0,0.34,0.17(W0.22),1.00,15.67/21.20,19.09,0,1.21,0,0,21:06:01.251,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.31ms,0.78ms,0.30ms,13.86ms,2(DR0,0.33,0.20(W0.25),1.00,15.54/21.30,19.02,0,1.21,0,0,21:06:02.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.29ms,0.74ms,0.27ms,13.86ms,2(DR0,0.34,0.10(W0.15),1.00,15.36/21.56,19.18,0,1.21,0,0,21:06:03.244,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.31ms,0.80ms,0.27ms,13.85ms,2(DR0,0.34,0.20(W0.28),1.00,14.87/21.55,19.17,0,1.21,0,0,21:06:04.245,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2853,0,44.2C/0.0C,3.33ms,0.86ms,0.27ms,13.89ms,2(DR0,0.35,0.16(W0.19),1.00,15.57/21.59,19.28,0,1.21,0,0,21:06:05.245,True,True,999999,0,cloud-network-sending,Quest-2,BeatSaber-W,False,False,0.0
