Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1506835,4086,6.156927810000001
1.004,-1519530,4086,6.208799580000001
2.007,-1509276,4086,6.166901736000001
3.011,-1523436,4086,6.224759496000001
4.017,-1536132,4086,6.2766353520000004
5.021,-1525878,4086,6.234737508
6.024,-1549315,4086,6.33050109
7.028,-1535155,4086,6.272643330000001
8.031,-1515135,4086,6.19084161
9.034,-1516112,4086,6.194833632000001
10.039,-1513671,4086,6.184859706
11.043,-1525389,4085,6.231214065
12.046,-1503905,4085,6.143451925
13.05,-1533690,4085,6.26512365
14.055,-1530760,4085,6.253154599999999
15.059,-1524901,4085,6.229220585
16.063,-1535155,4085,6.271108175
17.066,-1531249,4085,6.255152165
18.07,-1495116,4085,6.10754886
19.074,-1520018,4085,6.20927353
20.078,-1525389,4085,6.231214065
21.081,-1528807,4083,6.242118981
22.088,-1520995,4083,6.2102225849999995
23.092,-1444823,4083,5.899212309000001
24.096,-1439452,4083,5.877282516
25.102,-1446288,4083,5.905193904000001
26.105,-1472655,4083,6.012850365
27.108,-1452147,4083,5.929116200999999
28.112,-1466307,4083,5.986931481
29.116,-1440428,4083,5.881267524
30.12,-1469237,4083,5.998894671
31.123,-1480467,4086,6.049188162000001
32.127,-1487303,4086,6.077120058
33.131,-1470214,4086,6.0072944040000005
34.135,-1464843,4086,5.985348498000001
35.14,-1461425,4086,5.97138255
36.144,-1485839,4086,6.071138154
37.147,-1489257,4086,6.085104102000001
38.151,-1501952,4086,6.136975872
39.154,-1489745,4086,6.08709807
40.158,-1491698,4086,6.095078028000001
41.161,-1518065,4084,6.199777459999999
42.169,-1504393,4084,6.143941012
43.172,-1502928,4082,6.134952096
44.179,-1529784,4082,6.244578288
45.183,-1494628,4082,6.101071495999999
46.186,-1509276,4082,6.160864632
47.19,-1473632,4082,6.015365824
48.194,-1488280,4083,6.076647240000001
49.198,-1513671,4083,6.180318693
50.203,-1524901,4083,6.226170783000001
51.206,-1517089,4081,6.191240209
52.209,-1480956,4081,6.043781436000001
53.212,-1505370,4081,6.14341497
54.218,-1491698,4081,6.087619538000001
55.221,-1475585,4081,6.021862385000001
56.225,-1504882,4081,6.141423442000001
57.229,-1499022,4081,6.117508782
58.232,-1509764,4081,6.161346884
59.235,-1482421,4081,6.049760101
60.242,-1496092,4081,6.105551452000001
61.245,-1517577,4081,6.1932317370000005
62.249,-1483397,4081,6.053743157
63.253,-1493163,4081,6.093598203000001
64.258,-1510741,4081,6.1653340210000005
65.261,-1475096,4081,6.019866776000001
66.265,-1507323,4081,6.151385163000001
67.269,-1481932,4081,6.047764492000001
68.272,-1483885,4081,6.055734685
69.275,-1467284,4081,5.987986004000001
70.282,-1464843,4082,5.979489126
71.286,-1523925,4082,6.22066185
72.289,-1513671,4082,6.178805022
73.296,-1500487,4082,6.124987934
74.3,-1487303,4082,6.071170846
75.303,-1526366,4082,6.230626011999999
76.307,-1500487,4082,6.124987934
77.31,-1498046,4082,6.115023772
78.314,-1467772,4082,5.991445303999999
79.317,-1518065,4082,6.19674133
80.323,-1512206,4078,6.166776068
81.327,-1523925,4078,6.2145661500000005
82.331,-1501952,4078,6.1249602560000005
83.336,-1494139,4078,6.093098842
84.339,-1499022,4079,6.114510737999999
85.345,-1483397,4080,6.052259759999999
86.348,-1527831,4080,6.23355048
87.352,-1498046,4080,6.11202768
88.355,-1506835,4080,6.147886800000001
89.359,-1491210,4080,6.0841368000000005
90.363,-1483885,4079,6.052766914999999
91.366,-1494628,4079,6.096587611999999
92.37,-1525389,4079,6.222061730999999
93.374,-1498534,4077,6.109523118
94.378,-1506835,4077,6.143366295000001
95.382,-1492186,4077,6.083642322
96.386,-1494628,4077,6.093598355999999
97.39,-1496581,4077,6.101560737
98.393,-1502928,4077,6.127437456
99.397,-1501952,4077,6.123458304
100.401,-1505858,4076,6.137877207999999
101.404,-1501464,4076,6.119967263999999
102.408,-1507811,4076,6.1458376359999995
103.411,-1499022,4076,6.110013671999999
104.416,-1462889,4076,5.962735563999999
105.422,-1499999,4076,6.113995924
106.425,-1522948,4076,6.207536048000001
107.429,-1499022,4076,6.110013671999999
108.432,-1522948,4076,6.207536048000001
109.436,-1494139,4076,6.090110563999999
110.439,-1510253,4074,6.152770721999999
111.443,-1512206,4074,6.160727243999999
112.448,-1489257,4074,6.067233018
113.453,-1474120,4074,6.00556488
114.456,-1487303,4074,6.059272422
115.462,-1479491,4074,6.0274463339999995
116.466,-1485839,4074,6.0533080859999995
117.469,-1485839,4074,6.0533080859999995
118.473,-1506346,4074,6.136853604
119.477,-1502928,4074,6.122928672
120.48,-1511229,4074,6.156746945999999
121.484,-1499022,4074,6.107015627999999
122.489,-1489257,4074,6.067233018
123.493,-1516112,4074,6.176640288000001
124.5,-1485839,4074,6.0533080859999995
125.504,-1507323,4074,6.140833902000001
126.506,-1479979,4074,6.029434446
127.51,-1531249,4074,6.238308426
128.514,-1495116,4074,6.091102584
129.517,-1479003,4074,6.025458221999999
130.521,-1496581,4073,6.0955744130000005
131.526,-1499999,4073,6.109495927000001
132.53,-1471190,4073,5.9921568700000005
133.534,-1512206,4073,6.159215038
134.539,-1532225,4073,6.240752425
135.543,-1473632,4073,6.002103136000001
136.546,-1513671,4073,6.165181983000001
137.549,-1505370,4073,6.13137201
138.552,-1494139,4073,6.085628147
139.555,-1511229,4073,6.155235717
140.559,-1491698,4072,6.074194256000001
141.563,-1499022,4072,6.104017583999999
142.566,-1501464,4072,6.113961408
143.57,-1502928,4072,6.119922816
144.574,-1494139,4072,6.0841340079999995
145.58,-1481932,4072,6.034427104000001
146.584,-1491698,4072,6.074194256000001
147.587,-1525878,4072,6.213375215999999
148.59,-1495116,4072,6.088112352
149.594,-1502440,4072,6.11793568
150.596,-1501464,4071,6.112459943999999
151.602,-1490721,4071,6.0687251909999995
152.606,-1470214,4071,5.985241193999999
153.609,-1508788,4071,6.142275948
154.613,-1537108,4071,6.257566667999999
155.619,-1519042,4071,6.184019982
156.622,-1513671,4071,6.162154641
157.627,-1506835,4071,6.134325285
158.63,-1466307,4071,5.969335796999999
159.634,-1492186,4071,6.0746892059999995
160.637,-1488280,4071,6.05878788
161.642,-1549803,4071,6.3092480129999995
162.646,-1513671,4071,6.162154641
163.649,-1518553,4071,6.1820292629999996
164.655,-1526366,4071,6.213835985999999
165.66,-1488768,4071,6.060774528
166.663,-1527342,4071,6.217809282
167.667,-1483885,4071,6.040895834999999
168.67,-1486815,4071,6.052823865
169.673,-1504882,4071,6.126374622
170.676,-1540526,4066,6.263778716
171.68,-1497557,4069,6.093559433
172.685,-1516600,4069,6.1710454
173.688,-1502440,4069,6.11342836
174.691,-1500975,4069,6.107467274999999
175.695,-1488768,4069,6.057796992
176.699,-1487792,4069,6.053825648
177.705,-1515624,4069,6.167074056000001
178.709,-1522460,4069,6.194889740000001
179.712,-1496092,4069,6.087598348000001
180.715,-1493163,4068,6.074187083999999
181.718,-1497069,4068,6.090076691999999
182.722,-1540526,4068,6.266859768
183.727,-1489745,4068,6.060282659999999
184.731,-1487303,4068,6.050348604
185.734,-1516600,4068,6.169528799999999
186.737,-1482421,4068,6.030488628
187.745,-1463866,4068,5.955006887999999
188.748,-1561034,4068,6.350286312
189.751,-1491210,4068,6.06624228
190.754,-1501464,4066,6.104952623999999
191.757,-1440428,4066,5.856780248
192.761,-1514159,4066,6.1565704939999994
193.766,-1513182,4066,6.1525980119999994
194.769,-1459960,4066,5.93619736
195.773,-1515135,4066,6.16053891
196.776,-1509276,4066,6.136716216
197.784,-1516600,4066,6.166495599999999
198.787,-1536620,4066,6.24789692
199.79,-1480956,4066,6.021567095999999
200.794,-1511717,4065,6.145129605000001
201.797,-1557616,4065,6.33170904
202.8,-1481932,4065,6.02405358
203.803,-1523925,4065,6.194755125
204.809,-1505370,4065,6.11932905
205.812,-1494628,4065,6.07566282
206.815,-1492186,4065,6.065736090000001
207.821,-1487303,4065,6.045886695000001
208.825,-1511229,4065,6.143145885
209.828,-1488768,4065,6.051841920000001
210.833,-1494628,4065,6.07566282
211.836,-1508788,4065,6.1332232200000005
212.839,-1535155,4065,6.240405075000001
213.844,-1500487,4064,6.097979168
214.848,-1509764,4064,6.135680895999999
215.851,-1511229,4064,6.141634656
216.854,-1517089,4064,6.165449696
217.86,-1507811,4064,6.127743904
218.864,-1503905,4064,6.11186992
219.867,-1506346,4064,6.121790144
220.871,-1499510,4063,6.092509129999999
221.874,-1489745,4063,6.052833934999999
222.878,-1511229,4063,6.140123426999999
223.881,-1495604,4063,6.076639051999999
224.886,-1520507,4063,6.177819941
225.89,-1490721,4063,6.056799422999999
226.893,-1516600,4063,6.1619458
227.896,-1497069,4063,6.082591346999999
228.9,-1493651,4063,6.068704013
229.903,-1498534,4063,6.088543641999999
230.906,-1495604,4062,6.075143448
231.909,-1495604,4062,6.075143448
232.912,-1483885,4062,6.02754087
233.915,-1440428,4062,5.851018536000001
234.918,-1450194,4062,5.8906880280000005
235.922,-1509276,4062,6.130679112000001
236.925,-1472655,4062,5.981924610000001
237.929,-1485839,4062,6.035478018
238.932,-1499022,4062,6.089027364
239.936,-1493163,4062,6.065228106
240.94,-1531737,4062,6.221915694000001
241.944,-1474120,4062,5.98787544
242.948,-1464354,4062,5.948205948
243.95,-1538085,4062,6.247701270000001
244.954,-1506835,4062,6.120763770000001
245.957,-1598143,4062,6.4916568660000005
246.961,-1584471,4062,6.436121202000001
247.964,-1579589,4062,6.416290518
248.967,-1568846,4062,6.3726524520000005
249.97,-1604979,4062,6.519424698
250.975,-1591796,4053,6.4515491879999995
251.978,-1606932,4053,6.512895396
252.982,-1558104,4053,6.314995511999999
253.986,-1424803,4053,5.774726559
254.99,-1504882,4053,6.099286746
255.992,-1524901,4057,6.1865233570000004
256.995,-1517577,4057,6.156809889000001
257.999,-1528807,4057,6.202369999000001
259.002,-1534178,4057,6.224160146000001
260.005,-1519042,4057,6.162753394000001
261.008,-1531249,4057,6.212277193000001
262.012,-1539549,4057,6.245950293000001
263.016,-1530760,4057,6.21029332
264.018,-1510253,4057,6.127096421
265.023,-1520018,4057,6.166713026000001
266.026,-1527831,4057,6.198410367
267.03,-1533202,4057,6.220200514
268.033,-1536132,4057,6.232087524000001
269.036,-1540526,4057,6.249913982000001
270.039,-1532225,4057,6.216236825
271.042,-1543456,4055,6.258714079999999
272.046,-1554198,4055,6.30227289
273.05,-1543456,4055,6.258714079999999
274.053,-1549315,4055,6.282472325
275.057,-1522948,4055,6.17555414
276.061,-1547362,4055,6.27455291
277.065,-1627440,4055,6.599269199999999
278.068,-1596678,4055,6.4745292899999995
279.071,-1555663,4055,6.308213465
280.075,-1528319,4055,6.197333544999999
281.077,-1547850,4054,6.2749839000000005
282.08,-1554198,4054,6.300718692000001
283.084,-1545409,4054,6.2650880860000004
284.088,-1572753,4054,6.375940662
