CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.35ms,0.86ms,0.27ms,13.87ms,2(DR0,0.34,0.15(W0.22),1.00,15.52/21.10,19.08,0,1.21,0,0,20:29:30.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.35ms,0.85ms,0.28ms,13.87ms,2(DR0,0.34,0.10(W0.14),1.00,15.50/21.23,19.10,0,1.21,0,0,20:29:31.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.36ms,0.91ms,0.27ms,13.86ms,2(DR0,0.35,0.14(W0.19),1.00,15.66/21.18,19.07,0,1.21,0,0,20:29:32.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.35ms,0.88ms,0.27ms,13.87ms,2(DR0,0.34,0.08(W0.14),1.00,15.60/21.05,19.08,0,1.21,0,0,20:29:33.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.36ms,0.90ms,0.27ms,13.87ms,2(DR0,0.35,0.16(W0.24),1.00,15.50/21.06,19.04,0,1.21,0,0,20:29:34.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.36ms,0.91ms,0.27ms,13.85ms,2(DR0,0.35,0.19(W0.22),1.00,15.57/21.27,19.11,0,1.21,0,0,20:29:35.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.34ms,0.86ms,0.27ms,13.93ms,2(DR0,0.34,0.19(W0.23),1.00,15.57/21.57,19.18,0,1.21,0,0,20:29:36.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,3,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.36ms,0.87ms,0.27ms,13.88ms,2(DR0,0.34,0.20(W0.32),1.00,15.45/21.48,19.09,0,1.21,0,0,20:29:37.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.34ms,0.88ms,0.27ms,13.86ms,2(DR0,0.34,0.12(W0.15),1.00,15.63/21.20,19.06,0,1.21,0,0,20:29:38.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.33ms,0.86ms,0.27ms,13.90ms,2(DR0,0.34,0.18(W0.25),1.00,15.55/21.52,19.11,0,1.21,0,0,20:29:39.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2824,0,42.2C/0.0C,3.35ms,0.83ms,0.27ms,13.89ms,2(DR0,0.34,0.15(W0.23),1.00,15.51/21.18,19.05,0,1.21,0,0,20:29:40.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.33ms,0.92ms,0.27ms,13.89ms,2(DR0,0.35,0.15(W0.25),1.00,15.52/21.27,19.00,0,1.21,0,0,20:29:41.101,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,42.2C/0.0C,3.33ms,0.86ms,0.27ms,13.86ms,2(DR0,0.34,0.09(W0.15),1.00,15.65/21.23,19.14,0,1.21,0,0,20:29:42.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.35ms,0.88ms,0.27ms,13.89ms,2(DR0,0.35,0.21(W0.26),1.00,15.64/21.40,19.15,0,1.21,0,0,20:29:43.094,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.35ms,0.87ms,0.27ms,13.87ms,2(DR0,0.34,0.18(W0.25),1.00,15.65/20.94,19.07,0,1.21,0,0,20:29:44.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1670,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2815,0,42.2C/0.0C,3.34ms,0.83ms,0.27ms,13.86ms,2(DR0,0.34,0.05(W0.10),1.00,15.61/21.26,19.14,0,1.21,0,0,20:29:45.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.33ms,0.87ms,0.27ms,13.88ms,2(DR0,0.34,0.17(W0.18),1.00,15.71/21.21,19.09,0,1.21,0,0,20:29:46.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.34ms,0.88ms,0.27ms,13.89ms,2(DR0,0.35,0.22(W0.29),1.00,15.81/21.17,19.20,0,1.21,0,0,20:29:47.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.34ms,0.89ms,0.27ms,13.90ms,2(DR0,0.35,0.13(W0.14),1.00,15.60/21.04,19.05,0,1.21,0,0,20:29:48.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.34ms,0.83ms,0.27ms,13.88ms,2(DR0,0.35,0.08(W0.14),1.00,15.59/21.36,19.19,0,1.21,0,0,20:29:49.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.34ms,0.86ms,0.27ms,13.85ms,2(DR0,0.35,0.14(W0.14),1.00,15.62/21.18,19.14,0,1.21,0,0,20:29:50.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.35ms,0.90ms,0.27ms,13.88ms,2(DR0,0.34,0.10(W0.14),1.00,15.53/21.12,19.05,0,1.21,0,0,20:29:51.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.33ms,0.86ms,0.27ms,13.87ms,2(DR0,0.34,0.13(W0.18),1.00,15.63/21.20,18.99,0,1.21,0,0,20:29:52.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,7,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.33ms,0.90ms,0.27ms,13.87ms,2(DR0,0.35,0.05(W0.06),1.00,15.76/21.16,19.15,0,1.21,0,0,20:29:53.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.36ms,0.87ms,0.27ms,14.02ms,2(DR0,0.35,0.16(W0.25),1.00,15.76/21.40,19.20,0,1.21,0,0,20:29:54.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.21ms,0.85ms,0.26ms,13.89ms,2(DR0,0.33,0.07(W0.10),1.00,15.76/21.40,19.20,0,1.21,0,0,20:29:55.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.18ms,0.92ms,0.27ms,13.87ms,2(DR0,0.34,0.13(W0.23),1.00,15.63/21.25,19.02,0,1.21,0,0,20:29:56.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,3,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.19ms,0.80ms,0.27ms,13.97ms,2(DR0,0.33,0.19(W0.23),1.00,15.52/21.17,18.99,0,1.21,0,0,20:29:57.095,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.17ms,0.79ms,0.27ms,13.87ms,2(DR0,0.33,0.12(W0.19),1.00,15.39/21.41,19.11,0,1.21,0,0,20:29:58.096,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2815,0,42.2C/0.0C,3.20ms,0.84ms,0.27ms,13.84ms,2(DR0,0.33,0.09(W0.11),1.00,15.28/21.29,19.02,0,1.21,0,0,20:29:59.096,old_experiments,cloud-network,Quest-2,replay0.2,cloud-network,BeatSaber-W
