CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,altered_bandwidth,altered_dropchance,bandwidth,dropchance,device,app,app_details,is_record,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.33ms,0.89ms,0.27ms,13.86ms,2(DR0,0.34,0.17(W0.23),1.00,15.25/21.24,19.03,0,1.21,0,0,20:34:28.115,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.33ms,0.94ms,0.27ms,13.88ms,2(DR0,0.34,0.11(W0.14),1.00,15.51/21.47,19.13,0,1.21,0,0,20:34:29.115,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.35ms,0.86ms,0.27ms,13.90ms,2(DR0,0.35,0.15(W0.20),1.00,15.37/21.43,19.19,0,1.21,0,0,20:34:30.115,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.35ms,0.88ms,0.27ms,13.88ms,2(DR0,0.34,0.10(W0.15),1.00,15.48/21.17,19.08,0,1.21,0,0,20:34:31.115,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.36ms,0.79ms,0.27ms,13.90ms,2(DR0,0.34,0.16(W0.23),1.00,15.70/21.13,19.06,0,1.21,0,0,20:34:32.115,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.35ms,0.87ms,0.27ms,13.90ms,2(DR0,0.34,0.11(W0.14),1.00,15.40/21.20,18.99,0,1.21,0,0,20:34:33.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.34ms,0.86ms,0.27ms,13.88ms,2(DR0,0.34,0.13(W0.19),1.00,15.14/21.27,18.98,0,1.21,0,0,20:34:34.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.35ms,0.85ms,0.28ms,13.87ms,2(DR0,0.35,0.14(W0.18),1.00,15.47/21.31,19.07,0,1.21,0,0,20:34:35.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,7,2/0/0/3,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.33ms,0.85ms,0.27ms,13.93ms,2(DR0,0.34,0.16(W0.25),1.00,15.65/21.46,19.14,0,1.21,0,0,20:34:36.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,70,0ms,0,0,4,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.33ms,0.67ms,0.27ms,14.63ms,2(DR0,0.35,0.15(W0.17),1.00,15.57/21.38,19.12,0,1.21,0,0,20:34:37.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2819,0,43.0C/0.0C,3.35ms,0.88ms,0.27ms,13.86ms,2(DR0,0.35,0.14(W0.15),1.00,15.57/20.97,19.07,0,1.21,0,0,20:34:38.116,True,True,999999,0,cloud-network,Quest-2,BeatSaber-W,False,False,0.3
