CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,65,0ms,0,0,12,1/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.93ms,0.57ms,0.00ms,15.13ms,1(DR72,0.21,0.15(W0.17),1.00,17.69/21.75,20.51,1,1.21,0,0,22:00:40.132,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.96ms,0.80ms,0.00ms,13.89ms,1(DR72,0.21,0.05(W0.11),1.00,17.53/22.20,20.48,1,1.21,0,0,22:00:41.132,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.92ms,0.73ms,0.00ms,13.89ms,1(DR72,0.21,0.12(W0.18),1.00,17.69/21.73,20.37,1,1.21,0,0,22:00:42.132,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.89ms,0.78ms,0.00ms,13.87ms,1(DR72,0.21,0.03(W0.10),1.00,17.83/22.70,20.88,1,1.21,0,0,22:00:43.132,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.87ms,0.81ms,0.00ms,13.88ms,1(DR72,0.21,0.14(W0.19),1.00,17.89/22.33,20.94,1,1.21,0,0,22:00:44.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.86ms,0.75ms,0.00ms,13.89ms,1(DR72,0.20,0.08(W0.14),1.00,18.01/22.66,20.72,1,1.21,0,0,22:00:45.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.86ms,0.78ms,0.00ms,13.89ms,1(DR72,0.20,0.03(W0.05),1.00,17.64/22.20,20.56,1,1.21,0,0,22:00:46.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.86ms,0.74ms,0.00ms,13.89ms,1(DR72,0.20,0.13(W0.18),1.00,17.81/22.17,20.49,1,1.21,0,0,22:00:47.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.87ms,0.75ms,0.00ms,13.89ms,1(DR72,0.20,0.07(W0.10),1.00,17.88/22.14,20.54,1,1.21,0,0,22:00:48.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7970,0,29.2C/0.0C,1.86ms,0.73ms,0.00ms,13.89ms,1(DR72,0.20,0.08(W0.14),1.00,17.77/22.14,20.47,1,1.21,0,0,22:00:49.133,old_experiments,cloud-network,Quest-Pro,replay0.0,cloud-network,BeatSab
