Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,power
0.0,-1855467,3858,7.158391686000001
0.587,-1902831,3858,7.341121998
0.587,-1902831,3858,7.341121998
0.724,-1902831,3858,7.341121998
1.04,-1902831,3858,7.341121998
1.591,-1917479,3855,7.3918815449999995
1.591,-1917479,3855,7.3918815449999995
1.728,-1917479,3855,7.3918815449999995
2.045,-1917479,3855,7.3918815449999995
2.594,-1878905,3855,7.2431787750000005
2.594,-1878905,3855,7.2431787750000005
2.731,-1878905,3855,7.2431787750000005
3.048,-1878905,3855,7.2431787750000005
3.598,-1897948,3855,7.316589540000001
3.6,-1897948,3855,7.316589540000001
3.734,-1897948,3855,7.316589540000001
4.05,-1897948,3855,7.316589540000001
4.601,-1862792,3855,7.18106316
4.603,-1862792,3855,7.18106316
4.736,-1862792,3855,7.18106316
5.055,-1862792,3855,7.18106316
5.604,-1823729,3855,7.030475295
5.605,-1823729,3855,7.030475295
5.738,-1823729,3855,7.030475295
6.058,-1823729,3855,7.030475295
6.607,-1867674,3855,7.19988327
6.607,-1867674,3855,7.19988327
6.741,-1867674,3855,7.19988327
7.06,-1867674,3855,7.19988327
7.61,-1894041,3856,7.303422095999999
7.61,-1894041,3856,7.303422095999999
7.743,-1894041,3856,7.303422095999999
8.063,-1894041,3856,7.303422095999999
8.616,-1894530,3856,7.30530768
8.616,-1894530,3856,7.30530768
8.746,-1894530,3856,7.30530768
9.065,-1894530,3856,7.30530768
9.619,-1885252,3856,7.269531711999999
9.619,-1885252,3856,7.269531711999999
9.748,-1885252,3856,7.269531711999999
10.068,-1885252,3856,7.269531711999999
10.621,-1889647,3856,7.286478831999999
10.621,-1889647,3856,7.286478831999999
10.75,-1889647,3856,7.286478831999999
11.07,-1889647,3856,7.286478831999999
11.624,-1881346,3854,7.250707484
11.624,-1881346,3854,7.250707484
11.753,-1881346,3854,7.250707484
12.072,-1881346,3854,7.250707484
12.627,-1828124,3854,7.045589896
12.628,-1828124,3854,7.045589896
12.755,-1828124,3854,7.045589896
13.075,-1828124,3854,7.045589896
13.631,-1841795,3854,7.09827793
13.631,-1841795,3854,7.09827793
13.758,-1841795,3854,7.09827793
14.077,-1841795,3854,7.09827793
14.634,-1879881,3854,7.2450613740000005
14.634,-1879881,3854,7.2450613740000005
14.76,-1879881,3854,7.2450613740000005
15.08,-1879881,3854,7.2450613740000005
15.639,-1905760,3854,7.34479904
15.639,-1905760,3854,7.34479904
15.763,-1905760,3854,7.34479904
16.082,-1905760,3854,7.34479904
16.642,-1877928,3854,7.237534512000001
16.642,-1877928,3854,7.237534512000001
16.767,-1877928,3854,7.237534512000001
17.086,-1877928,3854,7.237534512000001
17.644,-1920409,3854,7.401256286000001
17.644,-1920409,3854,7.401256286000001
17.771,-1920409,3854,7.401256286000001
18.087,-1920409,3854,7.401256286000001
18.648,-1899901,3854,7.322218454000001
18.648,-1899901,3854,7.322218454000001
18.773,-1899901,3854,7.322218454000001
19.089,-1899901,3854,7.322218454000001
19.651,-1880370,3854,7.24694598
19.651,-1880370,3854,7.24694598
19.775,-1880370,3854,7.24694598
20.092,-1880370,3854,7.24694598
20.653,-1848143,3854,7.122743122
20.657,-1848143,3854,7.122743122
20.777,-1848143,3854,7.122743122
21.095,-1848143,3854,7.122743122
21.656,-1887206,3855,7.27517913
21.659,-1887206,3855,7.27517913
21.779,-1887206,3855,7.27517913
22.097,-1887206,3855,7.27517913
22.659,-1911131,3855,7.367410005000001
22.66,-1911131,3855,7.367410005000001
22.781,-1911131,3855,7.367410005000001
23.099,-1911131,3855,7.367410005000001
23.662,-1919920,3855,7.4012916
23.663,-1919920,3855,7.4012916
23.784,-1919920,3855,7.4012916
24.102,-1919920,3855,7.4012916
24.665,-1511229,3855,5.825787795
24.665,-1511229,3855,5.825787795
24.786,-1511229,3855,5.825787795
25.105,-1511229,3855,5.825787795
25.67,-1467772,3855,5.658261059999999
25.67,-1467772,3855,5.658261059999999
25.788,-1467772,3855,5.658261059999999
26.109,-1467772,3855,5.658261059999999
26.672,-1464843,3855,5.646969765000001
26.672,-1464843,3855,5.646969765000001
26.791,-1464843,3855,5.646969765000001
27.112,-1464843,3855,5.646969765000001
27.675,-1445800,3855,5.5735589999999995
27.675,-1445800,3855,5.5735589999999995
27.796,-1445800,3855,5.5735589999999995
28.115,-1445800,3855,5.5735589999999995
28.678,-1486815,3855,5.731671825
28.678,-1486815,3855,5.731671825
28.799,-1486815,3855,5.731671825
29.117,-1486815,3855,5.731671825
29.683,-1670409,3855,6.439426695
29.683,-1670409,3855,6.439426695
29.802,-1670409,3855,6.439426695
30.121,-1670409,3855,6.439426695
30.685,-1640624,3855,6.32460552
30.686,-1640624,3855,6.32460552
30.805,-1640624,3855,6.32460552
31.124,-1640624,3855,6.32460552
31.69,-1716307,3865,6.633526555
31.69,-1716307,3865,6.633526555
31.807,-1716307,3865,6.633526555
32.128,-1716307,3865,6.633526555
32.693,-1694823,3865,6.550490895000001
32.693,-1694823,3865,6.550490895000001
32.812,-1694823,3865,6.550490895000001
33.133,-1694823,3865,6.550490895000001
33.697,-1665038,3865,6.43537187
33.697,-1665038,3865,6.43537187
33.815,-1665038,3865,6.43537187
34.135,-1665038,3865,6.43537187
34.702,-1484862,3865,5.738991630000001
34.702,-1484862,3865,5.738991630000001
34.817,-1484862,3865,5.738991630000001
35.137,-1484862,3865,5.738991630000001
35.704,-1616698,3865,6.248537770000001
