CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.5C/0.0C,3.35ms,0.84ms,0.27ms,13.89ms,2(DR0,0.34,0.13(W0.15),1.00,15.61/21.17,19.01,0,1.21,0,0,20:56:21.211,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.5C/0.0C,3.35ms,0.89ms,0.27ms,13.89ms,2(DR0,0.35,0.13(W0.19),1.00,15.38/21.17,18.91,0,1.21,0,0,20:56:22.204,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.34ms,0.85ms,0.27ms,13.90ms,2(DR0,0.34,0.14(W0.22),1.00,15.37/21.22,18.93,0,1.21,0,0,20:56:23.204,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.32ms,0.85ms,0.27ms,13.88ms,2(DR0,0.35,0.15(W0.25),1.00,15.69/21.45,19.22,0,1.21,0,0,20:56:24.204,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.32ms,0.86ms,0.27ms,13.86ms,2(DR0,0.34,0.09(W0.15),1.00,15.63/21.34,19.14,0,1.21,0,0,20:56:25.204,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.34ms,0.88ms,0.27ms,13.95ms,2(DR0,0.35,0.11(W0.18),1.00,15.70/21.26,19.09,0,1.21,0,0,20:56:26.205,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,2,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.34ms,0.88ms,0.27ms,13.86ms,2(DR0,0.34,0.16(W0.22),1.00,15.70/21.30,19.10,0,1.21,0,0,20:56:27.205,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.35ms,0.88ms,0.27ms,13.86ms,2(DR0,0.35,0.22(W0.26),1.00,15.60/21.15,19.06,0,1.21,0,0,20:56:28.205,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.34ms,0.86ms,0.27ms,13.92ms,2(DR0,0.35,0.09(W0.11),1.00,15.71/21.67,19.16,0,1.21,0,0,20:56:29.205,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
5,4,1478,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1353MHz,2828,0,42.7C/0.0C,3.34ms,0.88ms,0.27ms,13.87ms,2(DR0,0.35,0.17(W0.26),1.00,15.56/21.76,19.27,0,1.21,0,0,20:56:30.205,old_experiments,cloud-network2,Quest-2,replay0.0,cloud-network2,BeatSaber-W
