device,app,app_details,is_record,is_wireless,repetition,energy(J),length(s),Energy per Second (J/s)
Quest-2,BeatSaber,PopStars-Easy,True,False,0,868.5698766496746,248.156,3.500096216290054
Quest-2,BeatSaber,PopStars-Easy,False,False,0.0,918.1128233589806,245.407,3.7411843319831157
Quest-2,BeatSaber,PopStars-Easy,False,False,0.1,925.8252327505625,245.064,3.7778916232109263
Quest-2,BeatSaber,PopStars-Easy,False,False,0.2,926.558246593497,243.108,3.8113029871229944
Quest-2,BeatSaber,PopStars-Hard,True,False,0,909.141763267475,248.599,3.6570612241701497
Quest-2,BeatSaber,PopStars-Hard,False,False,0.0,905.2035549787324,241.742,3.7445026308160454
Quest-2,BeatSaber,PopStars-Hard,False,False,0.1,902.4790132058021,240.728,3.748957384291823
Quest-2,BeatSaber,PopStars-Hard,False,False,0.2,903.9895879676395,241.698,3.7401616395983397
Quest-2,BeatSaber,PopStars-Medium,True,False,0,872.6042715065125,242.722,3.5950769666800393
Quest-2,BeatSaber,PopStars-Medium,True,False,1,879.6019175273584,243.983,3.605177071875329
Quest-2,BeatSaber,PopStars-Medium,True,False,2,880.7673629523165,243.91,3.61103424604287
Quest-2,BeatSaber,PopStars-Medium,True,False,3,906.2286261314805,249.847,3.627134310724085
Quest-2,BeatSaber,PopStars-Medium,True,False,4,884.5288930987379,242.783,3.643290070139746
Quest-2,BeatSaber,PopStars-Medium,False,False,0.0,912.0864930244805,240.924,3.7857851149096002
Quest-2,BeatSaber,PopStars-Medium,False,False,0.1,906.0985499971946,240.823,3.762508356748295
Quest-2,BeatSaber,PopStars-Medium,False,False,0.2,903.9457646854985,240.756,3.7546136531820538
Quest-2,BeatSaber,PopStars-Easy,True,True,0,1608.4618244367152,252.963,6.358486515564392
Quest-2,BeatSaber,PopStars-Easy,False,True,0.0,1576.0441511093672,249.598,6.314330047153291
Quest-2,BeatSaber,PopStars-Easy,False,True,0.1,1603.1130635892514,248.991,6.438437789274517
Quest-2,BeatSaber,PopStars-Easy,False,True,0.2,1608.7329690573074,247.879,6.4899929766430695
Quest-2,BeatSaber,PopStars-Hard,True,True,0,1599.6637569631266,244.681,6.537752244608803
Quest-2,BeatSaber,PopStars-Hard,False,True,0.0,1564.5556563968244,245.916,6.36215478617424
Quest-2,BeatSaber,PopStars-Hard,False,True,0.1,1563.0816682253053,245.744,6.360609692302988
Quest-2,BeatSaber,PopStars-Hard,False,True,0.2,1552.0284080008564,246.638,6.292738377706827
Quest-2,BeatSaber,PopStars-Medium,True,True,0,1626.5031646729285,250.723,6.487251527274835
Quest-2,BeatSaber,PopStars-Medium,True,True,1,1775.5562631960713,273.736,6.486382000161
