CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.0C/0.0C,3.82ms,1.33ms,0.28ms,13.86ms,3(DR0,0.43,0.16(W0.18),1.00,15.96/21.84,19.52,0,1.21,0,0,20:29:47.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.0C/0.0C,3.81ms,1.37ms,0.29ms,13.86ms,3(DR0,0.43,0.15(W0.25),1.00,15.96/21.95,19.54,0,1.21,0,0,20:29:48.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.0C/0.0C,3.83ms,1.34ms,0.28ms,13.86ms,3(DR0,0.43,0.15(W0.22),1.00,16.09/21.90,19.61,0,1.21,0,0,20:29:49.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.0C/0.0C,3.82ms,1.32ms,0.28ms,13.86ms,3(DR0,0.42,0.10(W0.14),1.00,15.81/21.91,19.58,0,1.21,0,0,20:29:50.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.0C/0.0C,3.82ms,1.32ms,0.27ms,13.86ms,3(DR0,0.43,0.10(W0.15),1.00,16.07/22.05,19.52,0,1.21,0,0,20:29:51.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.2C/0.0C,3.82ms,1.34ms,0.28ms,13.86ms,3(DR0,0.43,0.10(W0.14),1.00,15.85/21.45,19.39,0,1.21,0,0,20:29:52.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2676,0,42.2C/0.0C,3.85ms,1.40ms,0.28ms,13.86ms,3(DR0,0.42,0.34(W0.47),1.00,16.08/21.53,19.43,0,1.21,0,0,20:29:53.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,2676,0,42.2C/0.0C,3.83ms,1.37ms,0.28ms,13.87ms,3(DR0,0.42,0.18(W0.26),1.00,15.96/22.28,19.65,0,1.21,0,0,20:29:54.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1353MHz,2676,0,42.2C/0.0C,3.84ms,1.31ms,0.28ms,13.86ms,3(DR0,0.43,0.17(W0.19),1.00,15.68/22.19,19.63,0,1.21,0,0,20:29:55.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
5,4,1478,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,2676,0,42.2C/0.0C,3.82ms,1.34ms,0.28ms,13.86ms,3(DR0,0.42,0.09(W0.12),1.00,16.02/21.59,19.55,0,1.21,0,0,20:29:56.076,swap-vr,Quest-2,BeatSaber,replay0.0,Quest-2,PopStars-Medium
