timestamp,net.bytes_sent.Bluetooth Network Connection,net.bytes_recv.Bluetooth Network Connection,net.packets_sent.Bluetooth Network Connection,net.packets_recv.Bluetooth Network Connection,net.errin.Bluetooth Network Connection,net.errout.Bluetooth Network Connection,net.dropin.Bluetooth Network Connection,net.dropout.Bluetooth Network Connection,net.bytes_sent.Ethernet,net.bytes_recv.Ethernet,net.packets_sent.Ethernet,net.packets_recv.Ethernet,net.errin.Ethernet,net.errout.Ethernet,net.dropin.Ethernet,net.dropout.Ethernet,net.bytes_sent.Local Area Connection* 10,net.bytes_recv.Local Area Connection* 10,net.packets_sent.Local Area Connection* 10,net.packets_recv.Local Area Connection* 10,net.errin.Local Area Connection* 10,net.errout.Local Area Connection* 10,net.dropin.Local Area Connection* 10,net.dropout.Local Area Connection* 10,net.bytes_sent.Local Area Connection* 9,net.bytes_recv.Local Area Connection* 9,net.packets_sent.Local Area Connection* 9,net.packets_recv.Local Area Connection* 9,net.errin.Local Area Connection* 9,net.errout.Local Area Connection* 9,net.dropin.Local Area Connection* 9,net.dropout.Local Area Connection* 9,net.bytes_sent.Loopback Pseudo-Interface 1,net.bytes_recv.Loopback Pseudo-Interface 1,net.packets_sent.Loopback Pseudo-Interface 1,net.packets_recv.Loopback Pseudo-Interface 1,net.errin.Loopback Pseudo-Interface 1,net.errout.Loopback Pseudo-Interface 1,net.dropin.Loopback Pseudo-Interface 1,net.dropout.Loopback Pseudo-Interface 1,net.bytes_sent.Wi-Fi,net.bytes_recv.Wi-Fi,net.packets_sent.Wi-Fi,net.packets_recv.Wi-Fi,net.errin.Wi-Fi,net.errout.Wi-Fi,net.dropin.Wi-Fi,net.dropout.Wi-Fi,disk.read_count.PhysicalDrive0,disk.read_bytes.PhysicalDrive0,disk.write_count.PhysicalDrive0,disk.write_bytes.PhysicalDrive0,cpu.dpc,cpu.idle,cpu.interrupt,cpu.system,cpu.user,cpu.percent,cpu.freq.current,cpu.freq.min,cpu.freq.max,cpu.ctx_switches,cpu.interrupts,cpu.soft_interrupts,cpu.syscalls
1702843025312.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83515591040,32083866051,24772292,44759495,0,0,0,0,700148,26594228736,591194,22860672512,1332.6875,395332.015625,551.484375,3970.703125,2855.015625,8.3,4701.0,0.0,4701.0,1525378037,897295685,0,605443061
1702843026300.7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83527268004,32084579392,24773635,44761848,0,0,0,0,700156,26594605568,591307,22862134784,1332.71875,395343.671875,551.515625,3970.78125,2855.109375,2.0,4701.0,0.0,4701.0,1525424894,897324785,0,605658822
1702843027303.4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83538997652,32085312271,24775000,44764266,0,0,0,0,700160,26594720256,591337,22862675456,1332.75,395355.46875,551.5625,3970.921875,2855.171875,2.3,4701.0,0.0,4701.0,1525466841,897351673,0,605799119
1702843028306.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83550759519,32086053164,24776371,44766714,0,0,0,0,700163,26594884096,591365,22863355392,1332.828125,395367.328125,551.5625,3971.046875,2855.1875,1.8,4701.0,0.0,4701.0,1525509993,897379040,0,605996442
1702843029301.3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83562629072,32086779037,24777720,44769103,0,0,0,0,700163,26594884096,591366,22863367680,1332.859375,395379.1875,551.578125,3971.140625,2855.234375,1.6,4701.0,0.0,4701.0,1525551455,897405693,0,606132378
1702843030304.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83574400334,32087514837,24779077,44771547,0,0,0,0,700164,26594933248,591386,22863707648,1332.90625,395390.96875,551.59375,3971.3125,2855.28125,2.3,4701.0,0.0,4701.0,1525594436,897433101,0,606326180
1702843031304.3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83586135369,32088241319,24780415,44773953,0,0,0,0,700168,26594998784,591419,22865264128,1332.96875,395402.859375,551.59375,3971.421875,2855.28125,1.4,4701.0,0.0,4701.0,1525636301,897459935,0,606471334
1702843032309.2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83598087758,32088969995,24781781,44776357,0,0,0,0,700168,26594998784,591419,22865264128,1333.0,395414.8125,551.640625,3971.546875,2855.328125,2.0,4701.0,0.0,4701.0,1525679456,897487663,0,606667089
1702843033309.7888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83609924380,32089698321,24783140,44778754,0,0,0,0,700170,26595113472,591449,22865841664,1333.03125,395426.59375,551.640625,3971.671875,2855.34375,1.4,4701.0,0.0,4701.0,1525720951,897514283,0,606804106
1702843034310.1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83621722699,32090424249,24784490,44781127,0,0,0,0,700170,26595113472,591466,22866030080,1333.078125,395438.484375,551.65625,3971.796875,2855.40625,2.1,4701.0,0.0,4701.0,1525764192,897541814,0,606998465
