CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7994,0,25.0C/0.0C,3.53ms,0.79ms,0.24ms,13.86ms,2(DR42,0.35,0.08(W0.14),1.00,18.15/23.10,21.53,1,1.21,0,0,21:31:16.042,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7994,0,25.0C/0.0C,3.54ms,0.77ms,0.24ms,13.86ms,2(DR0,0.35,0.16(W0.19),1.00,18.87/23.61,21.70,1,1.21,0,0,21:31:17.042,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7994,0,25.0C/0.0C,1.85ms,0.76ms,0.00ms,13.87ms,1(DR7,0.21,0.10(W0.14),1.00,18.84/23.30,21.64,1,1.21,0,0,21:31:18.042,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7994,0,25.0C/0.0C,1.83ms,0.75ms,0.00ms,13.85ms,1(DR73,0.21,0.07(W0.10),1.00,17.95/21.42,20.49,1,1.21,0,0,21:31:19.042,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.83ms,0.71ms,0.00ms,13.85ms,1(DR73,0.20,0.05(W0.10),1.00,17.90/21.61,20.67,1,1.21,0,0,21:31:20.049,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,3.54ms,0.75ms,0.25ms,13.84ms,1(DR73,0.34,0.16(W0.22),1.00,18.09/21.73,20.68,1,1.21,0,0,21:31:21.042,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.76ms,0.00ms,13.87ms,1(DR17,0.20,0.07(W0.22),1.00,18.50/22.82,21.56,1,1.21,0,0,21:31:22.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.68ms,0.00ms,13.82ms,1(DR73,0.20,0.14(W0.18),1.00,18.11/22.40,20.66,1,1.21,0,0,21:31:23.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.65ms,0.00ms,13.87ms,1(DR73,0.20,0.16(W0.18),1.00,18.66/24.21,22.42,1,1.21,0,0,21:31:24.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.65ms,0.00ms,13.86ms,1(DR73,0.20,0.14(W0.22),1.00,18.40/23.03,21.34,1,1.21,0,0,21:31:25.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.83ms,0.68ms,0.00ms,13.86ms,1(DR73,0.20,0.11(W0.19),1.00,18.45/22.39,20.88,1,1.21,0,0,21:31:26.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.82ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.08(W0.15),1.00,18.14/22.35,21.00,1,1.21,0,0,21:31:27.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.75ms,0.00ms,13.86ms,1(DR72,0.20,0.08(W0.10),1.00,18.25/22.47,20.82,1,1.21,0,0,21:31:28.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.76ms,0.00ms,13.85ms,1(DR72,0.20,0.06(W0.14),1.00,17.84/21.50,20.65,1,1.21,0,0,21:31:29.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.85ms,0.71ms,0.00ms,13.86ms,1(DR73,0.20,0.15(W0.26),1.00,18.03/21.78,20.72,1,1.21,0,0,21:31:30.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.83ms,0.76ms,0.00ms,13.86ms,1(DR73,0.21,0.18(W0.25),1.00,18.08/21.48,20.62,1,1.21,0,0,21:31:31.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8001,0,25.0C/0.0C,1.84ms,0.73ms,0.00ms,13.86ms,1(DR73,0.20,0.11(W0.14),1.00,17.85/22.22,20.85,1,1.21,0,0,21:31:32.043,swap-vr,Quest-Pro,BeatSaber,record0,Quest-Pro,PopStars-Medium
