CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,type,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.78ms,0.24ms,13.12ms,2(DR0,0.35,0.11(W0.18),1.00,18.88/23.13,21.59,1,1.21,0,0,21:46:05.103,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.72ms,0.25ms,13.13ms,2(DR0,0.35,0.16(W0.23),1.00,18.84/22.67,21.52,1,1.21,0,0,21:46:06.103,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.72ms,0.25ms,13.14ms,2(DR0,0.35,0.15(W0.25),1.00,18.92/22.74,21.51,1,1.21,0,0,21:46:07.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.57ms,0.71ms,0.25ms,13.14ms,2(DR0,0.35,0.03(W0.05),1.00,18.84/22.87,21.58,1,1.21,0,0,21:46:08.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.72ms,0.25ms,13.14ms,2(DR0,0.35,0.08(W0.10),1.00,18.66/22.75,21.60,1,1.21,0,0,21:46:09.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.73ms,0.25ms,13.14ms,2(DR0,0.35,0.14(W0.18),1.00,18.97/22.51,21.66,1,1.21,0,0,21:46:10.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.76ms,0.24ms,13.13ms,2(DR0,0.35,0.24(W0.32),1.00,19.01/22.58,21.49,1,1.21,0,0,21:46:11.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.73ms,0.25ms,13.14ms,2(DR0,0.35,0.09(W0.11),1.00,18.79/22.79,21.60,1,1.21,0,0,21:46:12.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.73ms,0.25ms,13.12ms,2(DR0,0.35,0.11(W0.14),1.00,18.96/22.68,21.47,1,1.21,0,0,21:46:13.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.75ms,0.25ms,13.14ms,2(DR0,0.35,0.15(W0.18),1.00,18.96/23.07,21.69,1,1.21,0,0,21:46:14.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.74ms,0.25ms,13.13ms,2(DR0,0.35,0.11(W0.15),1.00,18.75/22.57,21.42,1,1.21,0,0,21:46:15.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.73ms,0.25ms,13.13ms,2(DR0,0.35,0.12(W0.15),1.00,19.02/22.76,21.48,1,1.21,0,0,21:46:16.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.56ms,0.71ms,0.25ms,13.14ms,2(DR0,0.35,0.07(W0.10),1.00,19.04/23.33,21.64,1,1.21,0,0,21:46:17.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.55ms,0.73ms,0.25ms,13.13ms,2(DR0,0.35,0.16(W0.21),1.00,18.66/22.84,21.52,1,1.21,0,0,21:46:18.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,68,0ms,0,0,7,2/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7996,0,24.5C/0.0C,3.54ms,0.49ms,0.25ms,14.91ms,2(DR0,0.35,0.11(W0.14),1.00,18.95/22.72,21.71,1,1.21,0,0,21:46:19.104,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.79ms,0.25ms,13.86ms,2(DR0,0.35,0.11(W0.14),1.00,18.76/22.52,21.62,1,1.21,0,0,21:46:20.111,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.76ms,0.25ms,13.85ms,2(DR0,0.35,0.10(W0.11),1.00,19.02/23.00,21.59,1,1.21,0,0,21:46:21.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.57ms,0.76ms,0.24ms,13.85ms,2(DR0,0.35,0.10(W0.14),1.00,19.06/22.66,21.65,1,1.21,0,0,21:46:22.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.74ms,0.25ms,13.86ms,2(DR0,0.34,0.02(W0.05),1.00,18.94/22.62,21.68,1,1.21,0,0,21:46:23.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.67ms,0.25ms,13.85ms,2(DR0,0.35,0.11(W0.18),1.00,18.62/22.78,21.61,1,1.21,0,0,21:46:24.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.82ms,0.25ms,13.85ms,2(DR0,0.35,0.17(W0.18),1.00,19.02/22.66,21.58,1,1.21,0,0,21:46:25.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.76ms,0.25ms,13.85ms,2(DR0,0.35,0.04(W0.05),1.00,19.08/22.69,21.58,1,1.21,0,0,21:46:26.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7986,0,24.5C/0.0C,3.55ms,0.74ms,0.25ms,13.86ms,2(DR0,0.35,0.14(W0.14),1.00,18.98/22.42,21.55,1,1.21,0,0,21:46:27.105,swap-vr,Quest-Pro,BeatSaber,replay0.3,Quest-Pro,PopStars-Medium
